event_id,hcp_id,true_event_effect_nrx,true_event_effect_trx
EV2005,HCP101430,4.7019,9.264
EV2005,HCP101454,2.3804,4.0217
EV2005,HCP101464,3.0759,6.076
EV2005,HCP101532,1.5865,3.5356
EV2005,HCP101581,1.0989,1.9213
EV2005,HCP101599,2.9742,5.7904
EV2005,HCP101692,11.2554,24.7645
EV2005,HCP101708,0.0777,0.1492
EV2005,HCP101768,0.6145,1.2015
EV2005,HCP101807,4.9175,14.0195
EV2005,HCP101887,3.768,6.8186
EV2005,HCP102002,2.8366,5.3143
EV2005,HCP102048,2.5408,6.1988
EV2005,HCP102110,5.7326,13.6376
EV2005,HCP102176,0.5693,1.5477
EV2005,HCP102194,0.6017,1.8059
EV2005,HCP102377,2.857,6.5695
EV2005,HCP102411,4.5675,9.1447
EV2005,HCP102456,1.1061,2.8625
EV2005,HCP102476,0.1764,0.3624
EV2005,HCP102481,0.6804,1.739
EV2006,HCP100002,3.2586,7.5017
EV2006,HCP100032,21.7772,45.5912
EV2006,HCP100086,0.4234,0.8515
EV2006,HCP100196,2.9768,5.5171
EV2006,HCP100566,2.3206,6.3622
EV2006,HCP100601,6.548,16.9076
EV2006,HCP100639,21.8683,56.6769
EV2006,HCP100664,2.0206,4.5355
EV2006,HCP100848,3.6847,10.3287
EV2006,HCP100999,12.4363,27.3006
EV2006,HCP101271,15.4508,39.6751
EV2006,HCP101356,0.1925,0.4308
EV2006,HCP101586,1.12,2.8362
EV2006,HCP101605,5.3214,12.3462
EV2006,HCP101986,3.0212,6.1696
EV2006,HCP102202,9.452,20.3669
EV2006,HCP102224,8.619,22.8018
EV2006,HCP102239,23.815,59.1292
EV2006,HCP102336,10.2717,22.5299
EV2006,HCP102375,21.1145,52.9
EV2006,HCP102443,4.1662,10.114
EV2007,HCP100014,7.2226,20.9052
EV2007,HCP100415,3.1808,7.0887
EV2007,HCP100620,11.0776,25.6747
EV2007,HCP100621,10.2447,20.674
EV2007,HCP100679,11.7925,24.5958
EV2007,HCP100820,4.3089,9.798
EV2007,HCP100824,8.7497,20.7141
EV2007,HCP100896,4.0962,8.7128
EV2007,HCP100998,3.025,9.0275
EV2007,HCP101340,14.6342,38.6038
EV2007,HCP101416,29.4392,85.4987
EV2007,HCP101486,7.1128,16.4907
EV2007,HCP101766,1.708,3.4093
EV2007,HCP101820,10.782,24.7974
EV2007,HCP101946,11.9808,24.8661
EV2007,HCP102052,6.1254,12.8817
EV2007,HCP102083,9.9774,20.4318
EV2007,HCP102143,2.5034,5.3442
EV2007,HCP102339,4.537,11.2827
EV2007,HCP102359,11.0075,27.0321
EV2007,HCP102398,6.4825,23.4971
EV2008,HCP100407,0.9917,1.6157
EV2008,HCP100703,-0.9413,-1.6433
EV2008,HCP101708,0.0791,0.1765
EV2008,HCP101739,-5.0538,-12.1125
EV2008,HCP101745,-0.2122,-0.4518
EV2009,HCP100114,7.8073,21.9858
EV2009,HCP100354,15.8481,33.7664
EV2009,HCP100517,9.1563,18.9473
EV2009,HCP100981,13.7176,25.6317
EV2009,HCP101071,3.4991,7.2389
EV2009,HCP101089,24.5072,72.7733
EV2009,HCP101210,2.3842,6.5555
EV2009,HCP101220,20.4484,35.0384
EV2009,HCP101326,11.1185,23.5843
EV2009,HCP102179,3.3304,8.0694
EV2009,HCP102284,2.9923,7.4052
EV2009,HCP102466,44.6596,94.8171
EV2010,HCP100171,1.9315,3.3118
EV2010,HCP100427,0.5294,1.0381
EV2010,HCP100431,6.8308,21.0545
EV2010,HCP100447,2.846,6.8588
EV2010,HCP100511,5.8051,11.6772
EV2010,HCP100636,0.2654,0.5611
EV2010,HCP101057,6.6469,13.9416
EV2010,HCP101074,8.1263,15.5392
EV2010,HCP101171,4.2984,13.0196
EV2010,HCP101460,11.9836,35.1336
EV2010,HCP101504,16.9865,33.1158
EV2010,HCP101538,3.237,5.9399
EV2010,HCP101564,1.0354,2.596
EV2010,HCP101781,6.552,17.7762
EV2010,HCP102162,14.6329,33.8371
EV2010,HCP102404,0.9714,1.8843
EV2011,HCP100267,0.3971,0.8556
EV2011,HCP100321,0.5497,1.902
EV2011,HCP100386,3.6541,8.2909
EV2011,HCP101382,-0.3286,-0.741
EV2011,HCP101577,-2.5762,-4.5732
EV2011,HCP101636,-0.7099,-1.581
EV2011,HCP102452,2.8966,6.8108
EV2012,HCP100102,19.3559,60.734
EV2012,HCP100209,40.2796,104.3524
EV2012,HCP100254,3.8949,8.299
EV2012,HCP100284,47.3955,113.4436
EV2012,HCP100330,2.753,6.6627
EV2012,HCP100462,28.6475,64.7441
EV2012,HCP100554,15.2226,28.8203
EV2012,HCP100773,10.3065,21.6858
EV2012,HCP101054,15.201,34.8187
EV2012,HCP101102,44.9627,95.7984
EV2012,HCP101108,18.975,52.1255
EV2012,HCP101112,16.5918,56.9519
EV2012,HCP101201,6.7434,14.9713
EV2012,HCP101303,40.0487,94.4154
EV2012,HCP101305,9.9595,24.9403
EV2012,HCP101392,24.0213,66.6329
EV2012,HCP101408,4.498,10.808
EV2012,HCP101466,4.5528,9.2554
EV2012,HCP101472,12.0773,27.5834
EV2012,HCP101521,8.6136,23.4741
EV2012,HCP101540,6.5437,11.7473
EV2012,HCP101648,26.6195,75.1595
EV2012,HCP101663,0.7617,1.4883
EV2012,HCP101677,14.8847,31.7287
EV2012,HCP101680,17.7099,43.3166
EV2012,HCP101901,13.6289,27.2688
EV2012,HCP101980,7.1234,14.16
EV2012,HCP101988,2.7436,5.6949
EV2012,HCP102131,31.3975,89.2594
EV2012,HCP102178,25.4847,46.4062
EV2012,HCP102320,21.9969,40.7661
EV2012,HCP102374,44.4199,139.6671
EV2012,HCP102385,21.8328,48.5884
EV2012,HCP102397,52.5184,104.841
EV2012,HCP102484,1.8378,4.2003
EV2014,HCP100106,-0.8337,-2.3346
EV2014,HCP100637,2.1152,4.9003
EV2014,HCP101022,4.1258,11.4349
EV2014,HCP101193,12.9209,27.8593
EV2014,HCP101318,6.6849,11.7995
EV2014,HCP102408,2.0505,4.6009
EV2014,HCP102492,12.9837,34.9537
EV2015,HCP100044,2.9984,7.6706
EV2015,HCP100905,6.1659,18.4741
EV2015,HCP100948,16.6407,35.8687
EV2015,HCP101014,27.1827,56.471
EV2015,HCP101041,2.0237,4.3427
EV2015,HCP101155,13.4471,26.3824
EV2015,HCP101454,40.652,78.712
EV2015,HCP101541,3.6001,9.528
EV2015,HCP101963,4.0686,8.159
EV2015,HCP102330,36.4432,84.9596
EV2016,HCP100173,0.5159,1.209
EV2016,HCP100289,7.5221,13.7684
EV2016,HCP100519,7.4288,17.9305
EV2016,HCP101204,21.2423,46.5473
EV2016,HCP101267,10.3344,21.3614
EV2016,HCP101469,0.4979,1.1347
EV2016,HCP101818,4.7716,9.9791
EV2016,HCP101908,9.5907,21.7178
EV2016,HCP102357,5.2868,10.6554
EV2017,HCP100530,1.5987,4.4166
EV2017,HCP101160,0.6073,1.1588
EV2017,HCP101300,-0.88,-2.0242
EV2017,HCP102378,-0.0118,-0.0234
EV2017,HCP102393,0.3327,0.9168
EV2018,HCP100153,0.7388,1.6435
EV2018,HCP100280,0.896,2.0463
EV2018,HCP100550,4.1484,12.381
EV2018,HCP100752,3.2303,6.1359
EV2018,HCP102425,13.1037,25.7651
EV2019,HCP100034,-6.8425,-16.5643
EV2019,HCP100195,-3.523,-7.2778
EV2019,HCP100208,-4.3174,-10.4519
EV2019,HCP100588,-1.7552,-3.1719
EV2019,HCP100914,-5.3511,-11.4833
EV2019,HCP101015,-2.7568,-6.2188
EV2019,HCP101053,-4.7275,-8.7704
EV2019,HCP101089,-5.8759,-16.4544
EV2019,HCP101129,-0.5898,-1.059
EV2019,HCP101186,-0.2819,-0.7582
EV2019,HCP101403,-3.4217,-6.9292
EV2019,HCP101552,-2.7016,-5.5364
EV2019,HCP101868,-2.7139,-6.1689
EV2019,HCP101872,0.228,0.4806
EV2019,HCP101936,-0.2152,-0.4793
EV2019,HCP101940,-1.1198,-2.7448
EV2019,HCP101980,-0.2311,-0.4729
EV2019,HCP102060,-3.2482,-6.8535
EV2019,HCP102140,-2.774,-4.7734
EV2019,HCP102197,-1.2718,-4.5188
EV2019,HCP102217,-1.7757,-4.0158
EV2019,HCP102394,-0.0928,-0.2525
EV2019,HCP102403,-0.5314,-1.1537
EV2020,HCP100161,-2.5334,-4.0403
EV2020,HCP100168,0.4679,1.2589
EV2020,HCP100334,0.2259,0.5177
EV2020,HCP100361,0.619,2.1653
EV2020,HCP100509,-0.852,-2.22
EV2020,HCP100581,2.5486,4.7641
EV2020,HCP101191,-0.4923,-1.2804
EV2020,HCP101443,1.7284,3.9063
EV2020,HCP101648,0.995,2.7079
EV2020,HCP102049,1.4408,2.5965
EV2020,HCP102160,4.2299,10.8487
EV2020,HCP102185,0.126,0.2451
EV2020,HCP102280,8.1337,24.972
EV2020,HCP102307,7.1088,14.9639
EV2021,HCP100586,7.2851,17.0173
EV2021,HCP100606,3.4062,6.8924
EV2021,HCP100659,31.0211,67.8751
EV2021,HCP100819,4.7208,8.6679
EV2021,HCP100974,1.4827,3.1085
EV2021,HCP101120,14.9659,33.3151
EV2021,HCP101310,25.2628,54.5877
EV2021,HCP101318,8.8228,15.7904
EV2021,HCP101334,3.0598,5.2488
EV2021,HCP101644,6.6506,16.5332
EV2021,HCP102051,24.2236,59.0083
EV2021,HCP102423,11.541,22.7525
EV2021,HCP102461,2.1846,5.1077
EV2022,HCP100233,-0.2057,-0.4073
EV2022,HCP100943,-3.8679,-9.8705
EV2022,HCP101090,-0.3145,-0.7766
EV2022,HCP101741,0.0413,0.0913
EV2022,HCP101786,1.1111,2.0754
EV2022,HCP101787,-0.3765,-1.051
EV2022,HCP102466,-3.2878,-5.88
EV2023,HCP100039,1.6586,2.8799
EV2023,HCP100087,7.5924,22.4716
EV2023,HCP100471,2.7092,6.1837
EV2023,HCP100650,4.1115,8.5873
EV2023,HCP101193,5.9056,11.3964
EV2023,HCP101363,26.3671,64.5849
EV2023,HCP101583,2.6573,6.3463
EV2023,HCP101660,0.5743,1.664
EV2023,HCP101918,8.7856,22.6704
EV2023,HCP101939,21.0736,44.5872
EV2023,HCP102104,11.9356,25.3654
EV2023,HCP102218,2.8023,6.6606
EV2023,HCP102321,18.9201,36.1698
EV2024,HCP100091,6.5259,11.5613
EV2024,HCP100164,6.3285,20.5177
EV2024,HCP100276,3.5426,6.756
EV2024,HCP100413,1.4525,3.9885
EV2024,HCP100482,1.6213,3.6741
EV2024,HCP100484,0.2074,0.5205
EV2024,HCP100529,-0.303,-0.71
EV2024,HCP100670,0.2016,0.4308
EV2024,HCP100681,5.5814,10.584
EV2024,HCP100768,0.8216,1.8699
EV2024,HCP100876,6.6481,19.1274
EV2024,HCP100915,6.51,20.5284
EV2024,HCP100951,3.5052,7.3925
EV2024,HCP101238,3.0613,12.4308
EV2024,HCP101249,17.038,33.3784
EV2024,HCP101512,1.5265,3.2326
EV2024,HCP101562,5.6056,13.0759
EV2024,HCP101782,1.4542,2.8345
EV2024,HCP101969,0.5182,1.3039
EV2024,HCP102118,0.7295,2.0968
EV2024,HCP102350,1.9252,6.8005
EV2025,HCP100126,-12.6061,-25.4647
EV2025,HCP100222,-2.5947,-4.6337
EV2025,HCP100466,0.2504,0.5156
EV2025,HCP100909,0.1278,0.3224
EV2025,HCP101151,-1.9995,-5.4265
EV2025,HCP101219,-0.2758,-0.86
EV2025,HCP101296,-12.2487,-21.2674
EV2025,HCP101471,-3.0048,-6.6287
EV2025,HCP101534,-1.0692,-2.2783
EV2025,HCP101622,-9.3358,-20.453
EV2025,HCP101885,-0.0083,-0.018
EV2025,HCP102360,-1.7976,-4.6221
EV2025,HCP102386,-2.1223,-5.7554
EV2025,HCP102489,-0.4376,-0.8622
EV2026,HCP100156,-5.2895,-11.974
EV2026,HCP100206,-2.4813,-6.2172
EV2026,HCP100290,-6.2431,-15.3118
EV2026,HCP100348,-1.9273,-4.8181
EV2026,HCP100568,-3.0542,-5.5242
EV2026,HCP100580,-0.2607,-0.5552
EV2026,HCP100671,-22.009,-48.8455
EV2026,HCP100750,0.878,2.0478
EV2026,HCP100827,-24.6675,-65.0724
EV2026,HCP101049,-13.951,-45.5436
EV2026,HCP101223,-4.425,-8.6565
EV2026,HCP101332,-5.5331,-11.5561
EV2026,HCP101519,-4.1756,-9.1472
EV2026,HCP101558,-5.0204,-13.9278
EV2026,HCP101717,-0.9693,-1.9818
EV2026,HCP101902,-1.7819,-3.9546
EV2026,HCP102061,-11.499,-23.3912
EV2026,HCP102104,-7.7214,-19.0263
EV2026,HCP102199,-4.0179,-8.5123
EV2026,HCP102222,-1.0636,-2.4849
EV2026,HCP102317,-0.648,-1.0965
EV2027,HCP100143,2.4854,5.6039
EV2027,HCP100174,0.952,2.028
EV2027,HCP100181,1.2889,2.8174
EV2027,HCP100238,0.2091,0.4913
EV2027,HCP100282,1.6424,4.4355
EV2027,HCP100306,1.6337,3.4023
EV2027,HCP100344,3.4074,7.051
EV2027,HCP100351,10.5573,19.0629
EV2027,HCP100431,6.8308,20.8216
EV2027,HCP100507,4.6201,10.8513
EV2027,HCP100633,0.5093,0.8823
EV2027,HCP100870,2.2229,5.2797
EV2027,HCP101613,3.1781,6.2068
EV2027,HCP101659,1.7981,3.0266
EV2027,HCP101662,0.4439,1.1152
EV2027,HCP101675,6.0784,15.084
EV2027,HCP101743,6.3201,14.9056
EV2027,HCP101907,0.4369,0.8956
EV2027,HCP102014,0.5382,1.2301
EV2027,HCP102084,1.5581,3.5413
EV2027,HCP102271,1.5928,4.5706
EV2027,HCP102306,4.4287,9.9143
EV2027,HCP102310,0.2691,0.6812
EV2027,HCP102356,2.7474,6.0081
EV2027,HCP102415,2.6153,4.6652
EV2027,HCP102437,0.7526,1.7424
EV2027,HCP102442,0.6134,1.395
EV2028,HCP100011,0.1004,0.2357
EV2028,HCP100051,0.1901,0.4276
EV2028,HCP100058,1.826,3.1378
EV2028,HCP100089,-0.0815,-0.1809
EV2028,HCP100125,0.2235,0.5162
EV2028,HCP100308,0.0316,0.0745
EV2028,HCP100312,0.1599,0.3493
EV2028,HCP100360,-0.4914,-0.9862
EV2028,HCP100391,-0.216,-0.4307
EV2028,HCP100469,0.117,0.2775
EV2028,HCP100674,3.0291,8.1043
EV2028,HCP100740,-0.1376,-0.4229
EV2028,HCP100757,-0.0425,-0.1283
EV2028,HCP100842,0.6432,1.517
EV2028,HCP100854,0.2938,0.9168
EV2028,HCP100890,-0.0135,-0.032
EV2028,HCP100927,0.2104,0.6445
EV2028,HCP101086,0.3926,0.7484
EV2028,HCP101282,0.1044,0.2793
EV2028,HCP101319,0.0288,0.0896
EV2028,HCP101363,-0.3149,-0.7825
EV2028,HCP101393,1.3486,2.9825
EV2028,HCP101451,-0.0463,-0.118
EV2028,HCP101519,1.8497,4.6483
EV2028,HCP101610,-0.1734,-0.3669
EV2028,HCP101650,-0.0009,-0.0017
EV2028,HCP101906,0.1547,0.3175
EV2028,HCP102107,0.0921,0.2707
EV2028,HCP102126,0.1967,0.4843
EV2028,HCP102193,-0.3922,-0.8901
EV2028,HCP102258,0.2087,0.5392
EV2028,HCP102261,0.0014,0.0032
EV2028,HCP102288,0.0772,0.1823
EV2028,HCP102353,0.2317,0.6513
EV2028,HCP102447,-0.1684,-0.2764
EV2029,HCP100133,5.2761,9.8481
EV2029,HCP100162,0.1792,0.4364
EV2029,HCP100221,0.6332,1.4715
EV2029,HCP100305,1.4747,4.064
EV2029,HCP100434,0.598,1.2379
EV2029,HCP100932,9.2656,23.0761
EV2029,HCP101057,6.6469,13.5988
EV2029,HCP101091,0.9356,2.7373
EV2029,HCP101097,0.8782,1.6489
EV2029,HCP101099,0.6583,1.3354
EV2029,HCP101123,0.2829,1.1525
EV2029,HCP101289,1.9135,3.8484
EV2029,HCP101434,0.0827,0.3238
EV2029,HCP101473,1.3233,3.5058
EV2029,HCP101519,7.9768,18.673
EV2029,HCP101641,2.1777,5.0505
EV2029,HCP101705,0.104,0.2209
EV2029,HCP101760,0.2877,0.5771
EV2029,HCP101780,0.186,0.3983
EV2029,HCP101910,0.8079,2.2631
EV2029,HCP102032,0.6531,1.7219
EV2029,HCP102187,0.8764,2.5343
EV2029,HCP102410,0.8406,1.8734
EV2029,HCP102446,0.6666,1.4964
EV2029,HCP102447,4.9495,7.8477
EV2030,HCP100016,1.2478,2.7166
EV2030,HCP100148,3.0046,9.4903
EV2030,HCP100431,6.8308,23.6714
EV2030,HCP100542,0.7899,1.9198
EV2030,HCP100724,1.3733,2.718
EV2030,HCP101157,14.2738,34.4636
EV2030,HCP101293,4.149,10.0598
EV2030,HCP101519,17.6754,43.7062
EV2031,HCP100439,-1.1105,-2.8368
EV2031,HCP100557,-0.7176,-1.741
EV2031,HCP100565,-3.7417,-8.551
EV2031,HCP100769,-6.6955,-10.7773
EV2031,HCP101063,-0.2522,-0.7373
EV2031,HCP101114,-0.4214,-1.061
EV2031,HCP101141,0.0317,0.0643
EV2031,HCP101264,-0.1379,-0.4561
EV2031,HCP101378,-0.8769,-1.9131
EV2031,HCP101608,-0.9354,-1.9223
EV2031,HCP101627,-0.7013,-1.9279
EV2031,HCP101975,-2.653,-5.2594
EV2031,HCP102241,-2.453,-6.0988
EV2031,HCP102313,-10.8703,-20.4015
EV2031,HCP102322,-0.2161,-0.4771
EV2032,HCP100298,0.6813,2.1797
EV2032,HCP100460,0.1532,0.3897
EV2032,HCP100718,0.3512,1.124
EV2032,HCP101340,1.3765,3.8728
EV2032,HCP101395,-0.3329,-0.6187
EV2032,HCP101653,-1.1281,-2.3401
EV2032,HCP101946,0.2757,0.4776
EV2032,HCP101985,-0.0643,-0.1688
EV2032,HCP102186,-2.3274,-4.5378
EV2032,HCP102411,0.6769,1.4695
EV2032,HCP102488,2.9146,5.9153
EV2033,HCP100072,4.8702,10.3269
EV2033,HCP100170,18.2488,40.659
EV2033,HCP100275,22.66,47.3268
EV2033,HCP100285,1.4653,3.1136
EV2033,HCP100563,5.4126,14.3745
EV2033,HCP100589,8.3763,13.5612
EV2033,HCP100601,23.0332,60.3867
EV2033,HCP100663,27.6221,59.2623
EV2033,HCP100699,48.1349,108.135
EV2033,HCP100742,9.2001,25.882
EV2033,HCP100756,18.3643,41.5591
EV2033,HCP100779,29.2478,79.9602
EV2033,HCP100802,8.1449,20.4394
EV2033,HCP100852,2.338,5.8981
EV2033,HCP100855,3.4289,7.3499
EV2033,HCP100913,14.168,30.1508
EV2033,HCP100954,2.0275,5.1479
EV2033,HCP101048,11.8819,27.2801
EV2033,HCP101119,20.5544,40.9586
EV2033,HCP101208,1.8641,4.2359
EV2033,HCP101389,18.9172,47.2183
EV2033,HCP101488,9.3835,20.7598
EV2033,HCP101623,7.8014,19.8796
EV2033,HCP101640,9.4827,24.046
EV2033,HCP101731,3.7197,12.7454
EV2033,HCP101945,9.6824,23.8873
EV2033,HCP101995,1.8513,5.2163
EV2033,HCP102053,19.2729,37.63
EV2033,HCP102055,18.1055,33.7545
EV2033,HCP102073,4.2787,8.8067
EV2033,HCP102093,4.2547,14.0343
EV2033,HCP102202,28.9829,65.3493
EV2033,HCP102239,31.9425,80.5864
EV2033,HCP102251,15.379,28.0519
EV2033,HCP102259,3.0974,5.7433
EV2033,HCP102375,34.0815,81.928
EV2033,HCP102439,14.1749,25.9825
EV2033,HCP102480,12.7501,25.7801
EV2034,HCP100115,20.4625,36.1947
EV2034,HCP100126,7.363,15.3908
EV2034,HCP100138,0.4831,1.1487
EV2034,HCP100202,14.3351,31.603
EV2034,HCP100249,21.9592,55.2006
EV2034,HCP100269,4.7256,8.5731
EV2034,HCP100307,8.9878,17.6613
EV2034,HCP100393,3.0639,6.6686
EV2034,HCP100504,9.4141,23.4637
EV2034,HCP100605,11.6759,19.7404
EV2034,HCP100640,25.4094,52.244
EV2034,HCP100799,5.2936,12.8274
EV2034,HCP100953,0.3331,0.8048
EV2034,HCP100984,3.6427,7.8536
EV2034,HCP101034,6.2125,12.797
EV2034,HCP101067,5.1592,10.3591
EV2034,HCP101124,5.4056,10.0979
EV2034,HCP101125,1.9917,5.1253
EV2034,HCP101146,1.8809,4.8628
EV2034,HCP101248,5.6767,11.7043
EV2034,HCP101285,4.991,8.5698
EV2034,HCP101346,3.7309,8.9112
EV2034,HCP101347,0.5794,1.3961
EV2034,HCP101365,2.8896,7.9514
EV2034,HCP101369,2.1634,4.6377
EV2034,HCP101394,4.509,9.3576
EV2034,HCP101565,27.0594,57.471
EV2034,HCP101590,2.9723,6.0721
EV2034,HCP101604,10.2554,27.6582
EV2034,HCP101790,1.336,3.26
EV2034,HCP101856,2.5193,5.0096
EV2034,HCP101931,0.9867,2.2919
EV2034,HCP101970,0.0662,0.1349
EV2034,HCP102022,3.4805,6.3672
EV2034,HCP102031,3.707,7.1344
EV2034,HCP102122,1.3033,2.5106
EV2034,HCP102127,2.4143,5.8507
EV2034,HCP102155,5.6127,12.2821
EV2034,HCP102175,3.6316,6.6165
EV2034,HCP102190,1.3691,3.5421
EV2034,HCP102355,25.9426,83.0245
EV2035,HCP100015,1.3559,3.2017
EV2035,HCP100124,1.2138,3.2766
EV2035,HCP100241,-3.6044,-8.4474
EV2035,HCP100426,0.3822,0.7583
EV2035,HCP100451,-0.1907,-0.4488
EV2035,HCP100464,0.4293,0.8037
EV2035,HCP100546,0.1525,0.4056
EV2035,HCP100682,-0.2591,-0.6908
EV2035,HCP100688,-1.3319,-2.4475
EV2035,HCP100698,-0.0035,-0.0075
EV2035,HCP100758,2.3719,4.7138
EV2035,HCP100803,0.1765,0.3347
EV2035,HCP100811,0.0591,0.1385
EV2035,HCP100815,0.903,1.5273
EV2035,HCP100994,2.1997,4.3885
EV2035,HCP101027,0.1273,0.2546
EV2035,HCP101122,-0.5311,-1.3219
