event_id,hcp_id,invited_at,channel,eligible_reason
EV2001,HCP102394,2024-08-05,Rep,Product affinity
EV2001,HCP100824,2024-08-06,Email,Product affinity
EV2001,HCP102448,2024-07-15,Rep,Patient-volume threshold
EV2001,HCP101527,2024-07-28,Email,Patient-volume threshold
EV2001,HCP100990,2024-08-14,Email,Product affinity
EV2001,HCP100760,2024-08-20,Email,Patient-volume threshold
EV2001,HCP100337,2024-08-03,Email,Product affinity
EV2001,HCP101494,2024-07-26,Portal,Product affinity
EV2001,HCP101572,2024-08-18,Email,Combination of factors
EV2001,HCP101939,2024-07-31,Rep,Product affinity
EV2001,HCP100444,2024-08-06,Email,Product affinity
EV2001,HCP100999,2024-08-11,Rep,Combination of factors
EV2001,HCP101618,2024-08-10,Portal,Product affinity
EV2001,HCP100209,2024-07-14,Rep,Product affinity
EV2001,HCP100503,2024-07-30,Email,Combination of factors
EV2001,HCP100406,2024-08-14,Email,Product affinity
EV2001,HCP102329,2024-07-23,Rep,Product affinity
EV2001,HCP100923,2024-08-24,Email,Combination of factors
EV2001,HCP100405,2024-07-31,Email,Combination of factors
EV2001,HCP100121,2024-08-11,Email,Patient-volume threshold
EV2001,HCP102422,2024-08-02,Email,Product affinity
EV2001,HCP102020,2024-08-20,Email,Product affinity
EV2001,HCP101017,2024-08-01,Email,Patient-volume threshold
EV2001,HCP101287,2024-07-29,Email,Product affinity
EV2001,HCP101648,2024-08-02,Rep,Product affinity
EV2001,HCP101384,2024-08-07,Portal,Combination of factors
EV2001,HCP100640,2024-07-29,Email,Combination of factors
EV2001,HCP102475,2024-08-01,Email,Combination of factors
EV2001,HCP100087,2024-08-04,Email,Product affinity
EV2001,HCP102248,2024-07-27,Rep,Patient-volume threshold
EV2001,HCP102109,2024-08-17,Phone,Product affinity
EV2001,HCP101085,2024-08-02,Email,Product affinity
EV2001,HCP100799,2024-07-29,Rep,Patient-volume threshold
EV2001,HCP102386,2024-07-23,Rep,Product affinity
EV2001,HCP102443,2024-08-23,Email,Product affinity
EV2001,HCP100382,2024-08-16,Email,Combination of factors
EV2001,HCP100353,2024-08-15,Email,Specialty match
EV2001,HCP102234,2024-08-11,Email,Product affinity
EV2001,HCP100710,2024-07-31,Email,Product affinity
EV2001,HCP101849,2024-08-13,Email,Product affinity
EV2001,HCP101669,2024-08-06,Rep,Product affinity
EV2001,HCP100496,2024-07-20,Rep,Combination of factors
EV2001,HCP100064,2024-08-05,Email,Combination of factors
EV2001,HCP102156,2024-08-16,Email,Product affinity
EV2001,HCP100817,2024-07-28,Portal,Combination of factors
EV2001,HCP102155,2024-08-15,Email,Combination of factors
EV2001,HCP100081,2024-07-20,Portal,Combination of factors
EV2001,HCP102121,2024-08-19,Email,Combination of factors
EV2001,HCP100664,2024-08-07,Email,Combination of factors
EV2001,HCP102253,2024-08-17,Email,Product affinity
EV2001,HCP100850,2024-08-26,Phone,Product affinity
EV2001,HCP101408,2024-08-01,Rep,Combination of factors
EV2001,HCP100497,2024-08-21,Email,Product affinity
EV2001,HCP101193,2024-07-08,Rep,Patient-volume threshold
EV2001,HCP102239,2024-08-11,Rep,Patient-volume threshold
EV2001,HCP101266,2024-08-16,Email,Product affinity
EV2001,HCP102009,2024-08-17,Email,Product affinity
EV2001,HCP102209,2024-08-19,Email,Product affinity
EV2001,HCP102484,2024-08-24,Email,Combination of factors
EV2001,HCP100111,2024-07-07,Rep,Product affinity
EV2001,HCP101692,2024-08-12,Phone,Product affinity
EV2001,HCP102328,2024-08-22,Email,Combination of factors
EV2001,HCP101271,2024-08-11,Email,Patient-volume threshold
EV2001,HCP101040,2024-07-30,Email,Product affinity
EV2001,HCP101559,2024-08-06,Email,Product affinity
EV2001,HCP101978,2024-08-15,Email,Specialty match
EV2001,HCP100170,2024-07-29,Rep,Combination of factors
EV2001,HCP101519,2024-07-18,Portal,Patient-volume threshold
EV2001,HCP101925,2024-08-24,Email,Patient-volume threshold
EV2001,HCP100363,2024-07-30,Rep,Product affinity
EV2001,HCP101995,2024-08-11,Email,Product affinity
EV2001,HCP100847,2024-08-16,Email,Specialty match
EV2001,HCP101421,2024-08-12,Email,Product affinity
EV2001,HCP101591,2024-07-29,Portal,Combination of factors
EV2001,HCP100559,2024-08-18,Email,Combination of factors
EV2001,HCP100152,2024-08-07,Email,Product affinity
EV2001,HCP100290,2024-08-20,Email,Patient-volume threshold
EV2001,HCP100601,2024-08-09,Rep,Patient-volume threshold
EV2001,HCP102307,2024-07-28,Email,Product affinity
EV2001,HCP100657,2024-07-07,Rep,Product affinity
EV2001,HCP101836,2024-08-17,Phone,Product affinity
EV2001,HCP102004,2024-07-03,Rep,Combination of factors
EV2001,HCP101169,2024-08-11,Phone,Product affinity
EV2001,HCP101416,2024-08-07,Rep,Patient-volume threshold
EV2001,HCP100180,2024-08-24,Email,Product affinity
EV2001,HCP102285,2024-08-08,Rep,Specialty match
EV2001,HCP101664,2024-07-19,Rep,Product affinity
EV2001,HCP100594,2024-08-25,Email,Product affinity
EV2001,HCP101181,2024-08-24,Email,Combination of factors
EV2001,HCP100224,2024-08-05,Email,Combination of factors
EV2001,HCP102300,2024-08-05,Rep,Product affinity
EV2001,HCP101690,2024-08-10,Phone,Product affinity
EV2001,HCP101835,2024-08-02,Email,Combination of factors
EV2001,HCP100375,2024-08-17,Email,Geographic proximity
EV2001,HCP100295,2024-07-21,Portal,Patient-volume threshold
EV2001,HCP102280,2024-08-02,Email,Combination of factors
EV2001,HCP100802,2024-08-08,Phone,Product affinity
EV2001,HCP100810,2024-07-28,Email,Product affinity
EV2001,HCP100961,2024-08-17,Email,Patient-volume threshold
EV2001,HCP102341,2024-07-11,Rep,Combination of factors
EV2001,HCP100358,2024-08-09,Portal,Combination of factors
EV2001,HCP101639,2024-08-06,Email,Product affinity
EV2001,HCP102398,2024-08-20,Phone,Product affinity
EV2001,HCP101823,2024-08-22,Email,Product affinity
EV2001,HCP101879,2024-07-18,Rep,Product affinity
EV2001,HCP101627,2024-08-13,Email,Combination of factors
EV2001,HCP102140,2024-07-19,Rep,Specialty match
EV2002,HCP100344,2024-08-11,Rep,Product affinity
EV2002,HCP100612,2024-07-25,Rep,Product affinity
EV2002,HCP101675,2024-07-14,Rep,Product affinity
EV2002,HCP100225,2024-07-31,Email,Product affinity
EV2002,HCP101368,2024-07-31,Portal,Product affinity
EV2002,HCP100017,2024-08-18,Email,Specialty match
EV2002,HCP100541,2024-07-12,Rep,Product affinity
EV2002,HCP100043,2024-08-16,Phone,Combination of factors
EV2002,HCP100560,2024-08-17,Email,Product affinity
EV2002,HCP102383,2024-08-07,Portal,Specialty match
EV2002,HCP101055,2024-08-12,Portal,Product affinity
EV2002,HCP101157,2024-07-25,Rep,Patient-volume threshold
EV2002,HCP101538,2024-08-25,Email,Product affinity
EV2002,HCP101565,2024-08-22,Phone,Patient-volume threshold
EV2002,HCP101906,2024-07-04,Rep,Product affinity
EV2002,HCP101334,2024-08-09,Email,Specialty match
EV2002,HCP101641,2024-08-23,Email,Product affinity
EV2002,HCP101585,2024-07-10,Rep,Patient-volume threshold
EV2002,HCP101061,2024-08-13,Email,Combination of factors
EV2002,HCP100296,2024-08-10,Email,Product affinity
EV2002,HCP101057,2024-07-13,Rep,Product affinity
EV2002,HCP101458,2024-08-06,Rep,Combination of factors
EV2002,HCP101821,2024-08-22,Phone,Geographic proximity
EV2002,HCP101519,2024-08-04,Email,Product affinity
EV2002,HCP101305,2024-08-03,Rep,Combination of factors
EV2002,HCP100391,2024-08-16,Email,Product affinity
EV2002,HCP100428,2024-07-25,Rep,Product affinity
EV2002,HCP101812,2024-07-22,Rep,Product affinity
EV2002,HCP100815,2024-07-23,Rep,Patient-volume threshold
EV2002,HCP102425,2024-08-24,Email,Product affinity
EV2002,HCP101064,2024-07-24,Rep,Specialty match
EV2002,HCP100353,2024-07-31,Rep,Combination of factors
EV2002,HCP100010,2024-08-15,Email,Product affinity
EV2002,HCP102084,2024-07-26,Rep,Product affinity
EV2002,HCP100400,2024-07-26,Rep,Combination of factors
EV2002,HCP100308,2024-08-13,Email,Product affinity
EV2002,HCP100429,2024-07-08,Rep,Geographic proximity
EV2002,HCP101426,2024-08-07,Email,Product affinity
EV2002,HCP100069,2024-07-30,Email,Specialty match
EV2002,HCP102148,2024-08-11,Phone,Prior engagement
EV2002,HCP101713,2024-07-28,Rep,Combination of factors
EV2002,HCP101780,2024-07-31,Email,Specialty match
EV2002,HCP101803,2024-08-19,Email,Product affinity
EV2002,HCP102074,2024-08-15,Portal,Product affinity
EV2002,HCP100921,2024-08-22,Email,Combination of factors
EV2002,HCP101504,2024-08-11,Email,Product affinity
EV2002,HCP101579,2024-08-12,Phone,Patient-volume threshold
EV2002,HCP101212,2024-08-08,Phone,Product affinity
EV2002,HCP100655,2024-07-29,Email,Combination of factors
EV2002,HCP101300,2024-08-25,Email,Combination of factors
EV2002,HCP102191,2024-08-10,Email,Combination of factors
EV2002,HCP100561,2024-07-13,Rep,Geographic proximity
EV2002,HCP100511,2024-08-17,Email,Product affinity
EV2002,HCP102280,2024-07-15,Rep,Combination of factors
EV2002,HCP101097,2024-07-16,Rep,Product affinity
EV2002,HCP100546,2024-08-16,Email,Combination of factors
EV2002,HCP100873,2024-08-08,Email,Product affinity
EV2002,HCP101440,2024-07-11,Rep,Product affinity
EV2002,HCP102126,2024-08-03,Rep,Product affinity
EV2002,HCP100889,2024-07-31,Email,Geographic proximity
EV2002,HCP100213,2024-08-08,Email,Combination of factors
EV2002,HCP100524,2024-08-05,Rep,Combination of factors
EV2002,HCP100842,2024-07-17,Rep,Product affinity
EV2002,HCP102486,2024-08-26,Phone,Combination of factors
EV2002,HCP100674,2024-07-17,Rep,Product affinity
EV2002,HCP101074,2024-07-29,Email,Product affinity
EV2002,HCP101393,2024-08-08,Email,Product affinity
EV2002,HCP101878,2024-08-24,Email,Product affinity
EV2002,HCP102030,2024-07-21,Rep,Combination of factors
EV2002,HCP100078,2024-08-11,Email,Product affinity
EV2002,HCP102147,2024-07-22,Rep,Combination of factors
EV2002,HCP101086,2024-08-21,Portal,Combination of factors
EV2002,HCP101265,2024-08-26,Email,Combination of factors
EV2002,HCP102397,2024-07-16,Rep,Patient-volume threshold
EV2002,HCP100770,2024-08-01,Rep,Combination of factors
EV2002,HCP102187,2024-08-11,Phone,Combination of factors
EV2002,HCP101355,2024-08-19,Email,Combination of factors
EV2002,HCP101457,2024-08-19,Email,Patient-volume threshold
EV2002,HCP101449,2024-08-16,Portal,Specialty match
EV2002,HCP102353,2024-08-12,Rep,Product affinity
EV2002,HCP100173,2024-08-23,Portal,Patient-volume threshold
EV2002,HCP101871,2024-08-11,Email,Product affinity
EV2002,HCP101612,2024-07-10,Rep,Combination of factors
EV2002,HCP100991,2024-08-01,Email,Product affinity
EV2002,HCP101349,2024-08-08,Email,Combination of factors
EV2002,HCP102474,2024-08-11,Rep,Product affinity
EV2002,HCP101943,2024-08-24,Email,Product affinity
EV2002,HCP100436,2024-08-06,Email,Product affinity
EV2002,HCP102413,2024-07-07,Rep,Product affinity
EV2002,HCP101032,2024-07-20,Rep,Product affinity
EV2002,HCP102111,2024-07-12,Rep,Product affinity
EV2002,HCP101072,2024-08-13,Phone,Product affinity
EV2002,HCP100927,2024-07-04,Rep,Product affinity
EV2002,HCP100016,2024-08-17,Email,Combination of factors
EV2002,HCP101726,2024-08-12,Phone,Geographic proximity
EV2002,HCP100270,2024-07-30,Portal,Patient-volume threshold
EV2002,HCP101325,2024-07-08,Rep,Geographic proximity
EV2002,HCP101249,2024-08-16,Email,Patient-volume threshold
EV2002,HCP102258,2024-07-29,Email,Combination of factors
EV2003,HCP102186,2024-08-14,Email,Product affinity
EV2003,HCP100611,2024-07-30,Email,Combination of factors
EV2003,HCP102499,2024-08-13,Email,Specialty match
EV2003,HCP100407,2024-08-16,Email,Patient-volume threshold
EV2003,HCP101300,2024-08-14,Email,Product affinity
EV2003,HCP100915,2024-07-21,Rep,Combination of factors
EV2003,HCP102110,2024-08-26,Email,Combination of factors
EV2003,HCP101740,2024-08-10,Portal,Combination of factors
EV2003,HCP102217,2024-08-14,Email,Combination of factors
EV2003,HCP102488,2024-07-27,Rep,Product affinity
EV2003,HCP101068,2024-08-12,Email,Product affinity
EV2003,HCP101321,2024-07-29,Rep,Product affinity
EV2003,HCP100670,2024-08-05,Email,Specialty match
EV2003,HCP100019,2024-08-17,Email,Prior engagement
EV2003,HCP101155,2024-08-10,Rep,Product affinity
EV2003,HCP100766,2024-08-04,Email,Product affinity
EV2003,HCP101874,2024-08-23,Email,Product affinity
EV2003,HCP101917,2024-07-15,Rep,Product affinity
EV2003,HCP101416,2024-08-26,Email,Product affinity
EV2003,HCP100370,2024-08-15,Email,Product affinity
EV2003,HCP101268,2024-08-12,Email,Product affinity
EV2003,HCP101216,2024-08-10,Rep,Product affinity
EV2003,HCP102048,2024-08-07,Rep,Product affinity
EV2003,HCP100964,2024-08-18,Email,Product affinity
EV2003,HCP102326,2024-08-08,Portal,Product affinity
EV2003,HCP102158,2024-08-25,Email,Product affinity
EV2003,HCP100270,2024-07-28,Rep,Patient-volume threshold
EV2003,HCP101454,2024-08-14,Email,Combination of factors
EV2003,HCP100261,2024-07-09,Rep,Product affinity
EV2003,HCP102358,2024-07-13,Rep,Product affinity
EV2003,HCP102330,2024-08-21,Email,Product affinity
EV2003,HCP100880,2024-08-26,Phone,Combination of factors
EV2003,HCP100896,2024-08-05,Email,Product affinity
EV2003,HCP101653,2024-07-30,Email,Product affinity
EV2003,HCP100283,2024-08-09,Rep,Combination of factors
EV2003,HCP100074,2024-08-17,Email,Product affinity
EV2003,HCP101794,2024-07-30,Portal,Product affinity
EV2003,HCP100932,2024-08-20,Email,Prior engagement
EV2003,HCP100698,2024-07-31,Rep,Product affinity
EV2003,HCP101267,2024-07-30,Email,Product affinity
EV2003,HCP102120,2024-07-22,Rep,Product affinity
EV2003,HCP100289,2024-08-19,Email,Product affinity
EV2003,HCP101497,2024-07-27,Portal,Prior engagement
EV2003,HCP100781,2024-08-23,Email,Product affinity
EV2003,HCP100889,2024-08-06,Portal,Combination of factors
EV2003,HCP100313,2024-08-18,Email,Product affinity
EV2003,HCP102166,2024-08-01,Email,Product affinity
EV2003,HCP101652,2024-08-24,Email,Patient-volume threshold
EV2003,HCP101536,2024-08-10,Rep,Product affinity
EV2003,HCP101503,2024-08-26,Phone,Product affinity
EV2003,HCP102025,2024-08-28,Phone,Product affinity
EV2003,HCP102171,2024-08-13,Email,Product affinity
EV2003,HCP101841,2024-08-19,Email,Product affinity
EV2003,HCP100311,2024-08-11,Portal,Product affinity
EV2003,HCP101835,2024-07-30,Portal,Combination of factors
EV2003,HCP102141,2024-07-23,Portal,Prior engagement
EV2003,HCP102031,2024-07-30,Email,Combination of factors
EV2003,HCP101420,2024-08-19,Phone,Combination of factors
EV2003,HCP101031,2024-08-21,Email,Combination of factors
EV2003,HCP101599,2024-08-24,Phone,Product affinity
EV2003,HCP101637,2024-08-02,Email,Patient-volume threshold
EV2003,HCP100859,2024-07-17,Rep,Product affinity
EV2003,HCP102472,2024-08-12,Email,Product affinity
EV2003,HCP102279,2024-08-11,Email,Combination of factors
EV2003,HCP100048,2024-08-18,Email,Combination of factors
EV2003,HCP101911,2024-07-09,Rep,Product affinity
EV2003,HCP102043,2024-07-10,Rep,Combination of factors
EV2003,HCP102357,2024-08-26,Email,Product affinity
EV2003,HCP100284,2024-07-22,Rep,Patient-volume threshold
EV2003,HCP101963,2024-08-01,Email,Combination of factors
EV2003,HCP101747,2024-08-13,Portal,Combination of factors
EV2003,HCP101838,2024-08-16,Phone,Combination of factors
EV2003,HCP101807,2024-08-18,Email,Product affinity
EV2003,HCP100818,2024-08-07,Email,Product affinity
EV2003,HCP100962,2024-08-05,Rep,Combination of factors
EV2003,HCP100544,2024-07-11,Rep,Product affinity
EV2003,HCP101705,2024-08-10,Portal,Product affinity
EV2003,HCP101049,2024-07-21,Portal,Patient-volume threshold
EV2003,HCP100926,2024-08-17,Email,Product affinity
EV2003,HCP102405,2024-07-25,Rep,Product affinity
EV2003,HCP101777,2024-08-11,Rep,Combination of factors
EV2003,HCP100195,2024-08-21,Portal,Patient-volume threshold
EV2003,HCP101392,2024-08-13,Rep,Patient-volume threshold
EV2003,HCP101933,2024-08-24,Phone,Product affinity
EV2003,HCP100481,2024-07-09,Rep,Product affinity
EV2003,HCP100787,2024-07-24,Portal,Combination of factors
EV2003,HCP100164,2024-08-13,Rep,Product affinity
EV2003,HCP100234,2024-07-20,Portal,Combination of factors
EV2003,HCP100791,2024-08-18,Email,Product affinity
EV2003,HCP101456,2024-07-31,Portal,Prior engagement
EV2003,HCP100202,2024-08-17,Email,Patient-volume threshold
EV2003,HCP102411,2024-07-20,Rep,Product affinity
EV2003,HCP100614,2024-08-06,Email,Combination of factors
EV2003,HCP100556,2024-07-29,Rep,Combination of factors
EV2003,HCP100621,2024-08-12,Rep,Product affinity
EV2003,HCP100233,2024-07-12,Rep,Product affinity
EV2003,HCP101876,2024-08-10,Phone,Patient-volume threshold
EV2003,HCP100466,2024-07-31,Email,Combination of factors
EV2003,HCP102351,2024-08-08,Email,Prior engagement
EV2003,HCP102366,2024-08-15,Email,Product affinity
EV2003,HCP100905,2024-08-22,Phone,Combination of factors
EV2003,HCP101949,2024-08-03,Email,Product affinity
EV2003,HCP100680,2024-07-28,Rep,Combination of factors
EV2003,HCP100154,2024-08-14,Email,Product affinity
EV2003,HCP101691,2024-08-08,Email,Combination of factors
EV2003,HCP100714,2024-07-28,Rep,Patient-volume threshold
EV2003,HCP101908,2024-08-04,Email,Product affinity
EV2003,HCP101249,2024-08-05,Portal,Product affinity
EV2003,HCP100577,2024-08-10,Email,Specialty match
EV2003,HCP102083,2024-08-01,Email,Product affinity
EV2003,HCP100506,2024-07-10,Rep,Combination of factors
EV2003,HCP102244,2024-07-29,Rep,Patient-volume threshold
EV2003,HCP100504,2024-08-14,Email,Combination of factors
EV2003,HCP101201,2024-07-28,Rep,Patient-volume threshold
EV2004,HCP101048,2024-08-06,Email,Product affinity
EV2004,HCP102294,2024-07-28,Rep,Product affinity
EV2004,HCP100397,2024-08-15,Phone,Product affinity
EV2004,HCP100393,2024-08-23,Email,Combination of factors
EV2004,HCP101606,2024-08-14,Email,Product affinity
EV2004,HCP101318,2024-08-31,Phone,Combination of factors
EV2004,HCP102239,2024-08-26,Portal,Product affinity
EV2004,HCP100699,2024-07-18,Rep,Product affinity
EV2004,HCP101093,2024-08-23,Email,Product affinity
EV2004,HCP102126,2024-08-22,Email,Geographic proximity
EV2004,HCP102386,2024-08-21,Email,Product affinity
EV2004,HCP101046,2024-08-19,Email,Product affinity
EV2004,HCP102213,2024-07-20,Rep,Product affinity
EV2004,HCP100589,2024-07-22,Rep,Product affinity
EV2004,HCP101790,2024-08-11,Rep,Product affinity
EV2004,HCP101507,2024-08-10,Email,Combination of factors
EV2004,HCP101089,2024-08-01,Rep,Product affinity
EV2004,HCP102466,2024-08-11,Rep,Patient-volume threshold
EV2004,HCP101271,2024-08-10,Email,Product affinity
EV2004,HCP101087,2024-08-23,Email,Specialty match
EV2004,HCP100026,2024-08-26,Phone,Product affinity
EV2004,HCP100586,2024-07-23,Rep,Combination of factors
EV2004,HCP101709,2024-07-17,Rep,Geographic proximity
EV2004,HCP100975,2024-08-03,Email,Product affinity
EV2004,HCP102457,2024-07-30,Portal,Combination of factors
EV2004,HCP100776,2024-08-14,Portal,Product affinity
EV2004,HCP101982,2024-08-31,Phone,Combination of factors
EV2004,HCP102381,2024-08-23,Email,Combination of factors
EV2004,HCP102202,2024-08-10,Rep,Product affinity
EV2004,HCP101644,2024-08-15,Portal,Product affinity
EV2004,HCP100846,2024-08-10,Email,Combination of factors
EV2004,HCP101925,2024-08-18,Email,Combination of factors
EV2004,HCP100934,2024-08-25,Email,Combination of factors
EV2004,HCP101015,2024-07-22,Portal,Geographic proximity
EV2004,HCP100970,2024-08-03,Portal,Product affinity
EV2004,HCP102332,2024-07-14,Rep,Product affinity
EV2004,HCP100433,2024-08-05,Email,Product affinity
EV2004,HCP100520,2024-08-29,Phone,Combination of factors
EV2004,HCP100354,2024-08-14,Rep,Combination of factors
EV2004,HCP102429,2024-07-14,Rep,Combination of factors
EV2004,HCP100847,2024-08-28,Email,Patient-volume threshold
EV2004,HCP101052,2024-08-21,Email,Product affinity
EV2004,HCP100620,2024-08-18,Portal,Combination of factors
EV2004,HCP100420,2024-08-24,Email,Product affinity
EV2004,HCP100321,2024-08-14,Rep,Product affinity
EV2004,HCP102355,2024-08-13,Portal,Product affinity
EV2005,HCP102433,2024-07-23,Rep,Patient-volume threshold
EV2005,HCP101300,2024-07-18,Rep,Product affinity
EV2005,HCP101238,2024-07-26,Rep,Combination of factors
EV2005,HCP101517,2024-08-20,Portal,Patient-volume threshold
EV2005,HCP102048,2024-08-16,Rep,Product affinity
EV2005,HCP101325,2024-07-14,Rep,Product affinity
EV2005,HCP101975,2024-08-17,Phone,Product affinity
EV2005,HCP100821,2024-07-09,Rep,Product affinity
EV2005,HCP101204,2024-07-09,Rep,Product affinity
EV2005,HCP101089,2024-08-15,Rep,Patient-volume threshold
EV2005,HCP101454,2024-07-17,Rep,Combination of factors
EV2005,HCP101927,2024-08-25,Email,Specialty match
EV2005,HCP100986,2024-08-10,Email,Combination of factors
EV2005,HCP100160,2024-08-17,Portal,Product affinity
EV2005,HCP102411,2024-09-01,Phone,Product affinity
EV2005,HCP102456,2024-09-02,Phone,Combination of factors
EV2005,HCP100574,2024-08-06,Rep,Product affinity
