hcp_id,date,rep_calls,emails,samples,other_events
HCP100006,2024-11-01,1,1,0,0
HCP100006,2024-12-01,0,3,0,1
HCP100006,2025-01-01,0,1,0,0
HCP100006,2025-02-01,0,8,0,0
HCP100006,2025-03-01,0,5,0,1
HCP100006,2025-04-01,0,4,0,0
HCP100006,2025-05-01,1,2,0,0
HCP100006,2025-06-01,0,6,0,0
HCP100006,2025-07-01,0,4,0,0
HCP100006,2025-08-01,0,4,0,0
HCP100006,2025-09-01,1,5,3,2
HCP100006,2025-10-01,2,3,5,1
HCP100006,2025-11-01,2,6,5,1
HCP100006,2025-12-01,0,6,0,0
HCP100006,2026-01-01,3,7,1,1
HCP100006,2026-02-01,3,5,8,0
HCP100006,2026-03-01,2,7,4,0
HCP100006,2026-04-01,2,4,6,1
HCP100006,2026-05-01,0,4,0,1
HCP100006,2026-06-01,1,8,1,0
HCP100006,2026-07-01,2,1,5,0
HCP100006,2026-08-01,0,7,0,0
HCP100007,2024-01-01,2,8,5,1
HCP100007,2024-02-01,0,9,0,1
HCP100007,2024-03-01,0,6,0,0
HCP100007,2024-04-01,1,7,2,0
HCP100007,2024-05-01,1,8,4,0
HCP100007,2024-06-01,2,8,2,0
HCP100007,2024-07-01,3,5,6,0
HCP100007,2024-08-01,0,1,0,0
HCP100007,2024-09-01,1,12,0,0
HCP100007,2024-10-01,2,5,5,1
HCP100007,2024-11-01,1,11,6,0
HCP100007,2024-12-01,6,5,14,0
HCP100007,2025-01-01,2,7,5,1
HCP100007,2025-02-01,1,10,1,1
HCP100007,2025-03-01,2,10,2,1
HCP100007,2025-04-01,2,8,4,2
HCP100007,2025-05-01,1,8,3,1
HCP100007,2025-06-01,2,7,3,2
HCP100007,2025-07-01,0,7,0,0
HCP100007,2025-08-01,0,9,0,0
HCP100007,2025-09-01,1,10,1,0
HCP100007,2025-10-01,3,7,5,2
HCP100007,2025-11-01,2,15,4,1
HCP100007,2025-12-01,2,12,4,0
HCP100007,2026-01-01,3,15,6,0
HCP100007,2026-02-01,1,8,5,0
HCP100007,2026-03-01,2,3,4,0
HCP100007,2026-04-01,3,6,5,0
HCP100007,2026-05-01,3,9,7,2
HCP100007,2026-06-01,5,4,14,0
HCP100007,2026-07-01,3,9,7,0
HCP100007,2026-08-01,4,4,10,0
HCP100008,2024-01-01,3,5,11,0
HCP100008,2024-02-01,1,8,2,5
HCP100008,2024-03-01,2,6,4,1
HCP100008,2024-04-01,3,2,9,0
HCP100008,2024-05-01,1,7,2,1
HCP100008,2024-06-01,2,8,9,1
HCP100008,2024-07-01,2,5,4,0
HCP100008,2024-08-01,1,5,3,0
HCP100008,2024-09-01,2,6,4,1
HCP100008,2024-10-01,1,7,4,1
HCP100008,2024-11-01,2,8,7,0
HCP100008,2024-12-01,2,8,8,1
HCP100008,2025-01-01,2,11,2,0
HCP100008,2025-02-01,2,6,6,2
HCP100008,2025-03-01,6,3,14,0
HCP100008,2025-04-01,1,8,4,0
HCP100008,2025-05-01,1,7,4,3
HCP100008,2025-06-01,3,10,8,0
HCP100008,2025-07-01,2,5,5,0
HCP100008,2025-08-01,0,4,0,2
HCP100008,2025-09-01,3,11,9,0
HCP100008,2025-10-01,2,8,4,0
HCP100008,2025-11-01,4,8,15,0
HCP100008,2025-12-01,7,3,26,1
HCP100008,2026-01-01,1,7,1,0
HCP100008,2026-02-01,1,11,3,0
HCP100008,2026-03-01,4,6,13,0
HCP100008,2026-04-01,3,11,8,2
HCP100008,2026-05-01,1,7,10,0
HCP100008,2026-06-01,5,6,18,2
HCP100008,2026-07-01,3,8,11,1
HCP100008,2026-08-01,1,5,1,0
HCP100009,2024-01-01,3,9,10,1
HCP100009,2024-02-01,4,11,11,1
HCP100009,2024-03-01,5,10,14,0
HCP100009,2024-04-01,4,6,9,0
HCP100009,2024-05-01,3,4,8,0
HCP100009,2024-06-01,1,4,0,1
HCP100009,2024-07-01,3,10,6,1
HCP100009,2024-08-01,4,8,13,0
HCP100009,2024-09-01,2,6,3,2
HCP100009,2024-10-01,2,6,5,1
HCP100009,2024-11-01,0,7,0,1
HCP100009,2024-12-01,4,10,9,0
HCP100009,2025-01-01,5,4,16,1
HCP100009,2025-02-01,2,3,9,1
HCP100009,2025-03-01,4,4,10,0
HCP100009,2025-04-01,2,6,3,0
HCP100009,2025-05-01,4,10,9,0
HCP100009,2025-06-01,5,8,13,0
HCP100009,2025-07-01,6,6,17,1
HCP100009,2025-08-01,2,10,4,1
HCP100009,2025-09-01,9,4,17,1
HCP100009,2025-10-01,8,4,26,0
HCP100009,2025-11-01,5,8,13,0
HCP100009,2025-12-01,1,8,2,0
HCP100009,2026-01-01,5,6,20,0
HCP100009,2026-02-01,0,3,0,2
HCP100009,2026-03-01,2,8,6,1
HCP100009,2026-04-01,3,6,8,0
HCP100009,2026-05-01,4,3,7,1
HCP100009,2026-06-01,2,6,11,1
HCP100009,2026-07-01,6,4,7,1
HCP100009,2026-08-01,1,4,4,1
HCP100010,2024-01-01,2,2,9,1
HCP100010,2024-02-01,2,6,9,0
HCP100010,2024-03-01,1,6,1,2
HCP100010,2024-04-01,1,3,3,0
HCP100010,2024-05-01,1,1,4,0
HCP100010,2024-06-01,0,7,0,0
HCP100010,2024-07-01,0,1,0,0
HCP100010,2024-08-01,2,5,7,0
HCP100010,2024-09-01,3,1,7,0
HCP100010,2024-10-01,4,2,6,0
HCP100010,2024-11-01,0,4,0,0
HCP100010,2024-12-01,0,3,0,0
HCP100010,2025-01-01,2,7,9,0
HCP100010,2025-02-01,0,4,0,0
HCP100010,2025-03-01,2,6,4,0
HCP100010,2025-04-01,1,6,2,1
HCP100010,2025-05-01,1,6,5,0
HCP100010,2025-06-01,1,5,1,2
HCP100010,2025-07-01,0,6,0,1
HCP100010,2025-08-01,1,3,4,1
HCP100010,2025-09-01,1,8,4,2
HCP100010,2025-10-01,2,1,9,0
HCP100010,2025-11-01,0,1,0,0
HCP100010,2025-12-01,4,7,8,0
HCP100010,2026-01-01,2,6,7,0
HCP100010,2026-02-01,1,6,3,2
HCP100010,2026-03-01,1,1,2,0
HCP100010,2026-04-01,0,4,0,0
HCP100010,2026-05-01,2,2,5,0
HCP100010,2026-06-01,0,5,0,1
HCP100010,2026-07-01,0,3,0,0
HCP100010,2026-08-01,1,1,2,0
HCP100011,2024-01-01,4,2,4,1
HCP100011,2024-02-01,4,4,2,0
HCP100011,2024-03-01,5,4,9,1
HCP100011,2024-04-01,3,1,0,0
HCP100011,2024-05-01,6,7,9,1
HCP100011,2024-06-01,0,4,0,0
HCP100011,2024-07-01,5,8,5,0
HCP100011,2024-08-01,1,3,2,0
HCP100011,2024-09-01,4,3,5,0
HCP100011,2024-10-01,2,4,2,0
HCP100011,2024-11-01,1,3,3,0
HCP100011,2024-12-01,2,3,2,0
HCP100011,2025-01-01,6,5,7,1
HCP100011,2025-02-01,4,5,4,0
HCP100011,2025-03-01,5,3,5,1
HCP100011,2025-04-01,2,3,4,0
HCP100011,2025-05-01,1,1,2,2
HCP100011,2025-06-01,4,5,8,0
HCP100011,2025-07-01,1,3,0,1
HCP100011,2025-08-01,0,6,0,0
HCP100011,2025-09-01,2,3,1,0
HCP100011,2025-10-01,4,4,8,0
HCP100011,2025-11-01,2,2,1,0
HCP100011,2025-12-01,0,4,0,0
HCP100011,2026-01-01,4,4,4,0
HCP100011,2026-02-01,1,3,0,0
HCP100011,2026-03-01,3,6,9,1
HCP100011,2026-04-01,5,2,2,0
HCP100011,2026-05-01,5,5,3,3
HCP100011,2026-06-01,3,4,2,0
HCP100011,2026-07-01,3,4,4,0
HCP100011,2026-08-01,6,1,8,0
HCP100012,2024-01-01,1,2,0,0
HCP100012,2024-02-01,0,1,0,0
HCP100012,2024-03-01,0,2,0,0
HCP100012,2024-04-01,0,1,0,0
HCP100012,2024-05-01,0,0,0,0
HCP100012,2024-06-01,0,2,0,0
HCP100012,2024-07-01,0,1,0,0
HCP100012,2024-08-01,1,0,3,0
HCP100012,2024-09-01,0,1,0,0
HCP100012,2024-10-01,0,2,0,0
HCP100012,2024-11-01,0,1,0,0
HCP100012,2024-12-01,0,2,0,0
HCP100012,2025-01-01,0,2,0,0
HCP100012,2025-02-01,0,3,0,0
HCP100012,2025-03-01,0,4,0,0
HCP100012,2025-04-01,0,7,0,0
HCP100012,2025-05-01,0,0,0,1
HCP100012,2025-06-01,0,0,0,0
HCP100012,2025-07-01,0,1,0,0
HCP100012,2025-08-01,0,3,0,0
HCP100012,2025-09-01,0,2,0,0
HCP100012,2025-10-01,0,0,0,0
HCP100012,2025-11-01,0,1,0,0
HCP100012,2025-12-01,0,0,0,0
HCP100012,2026-01-01,0,0,0,0
HCP100012,2026-02-01,1,3,0,0
HCP100012,2026-03-01,0,4,0,0
HCP100012,2026-04-01,1,0,3,0
HCP100012,2026-05-01,0,4,0,0
HCP100012,2026-06-01,0,0,0,0
HCP100012,2026-07-01,0,1,0,0
HCP100012,2026-08-01,1,1,4,0
HCP100013,2024-01-01,1,5,1,1
HCP100013,2024-02-01,0,2,0,0
HCP100013,2024-03-01,0,5,0,0
HCP100013,2024-04-01,1,3,0,1
HCP100013,2024-05-01,1,3,1,2
HCP100013,2024-06-01,0,5,0,1
HCP100013,2024-07-01,1,2,0,1
HCP100013,2024-08-01,2,4,7,0
HCP100013,2024-09-01,2,6,3,3
HCP100013,2024-10-01,0,7,0,1
HCP100013,2024-11-01,1,4,1,0
HCP100013,2024-12-01,0,3,0,2
HCP100013,2025-01-01,1,4,1,0
HCP100013,2025-02-01,0,3,0,0
HCP100013,2025-03-01,0,2,0,2
HCP100013,2025-04-01,0,2,0,0
HCP100013,2025-05-01,1,3,0,0
HCP100013,2025-06-01,1,2,0,0
HCP100013,2025-07-01,0,5,0,0
HCP100013,2025-08-01,1,3,2,1
HCP100013,2025-09-01,1,6,2,0
HCP100013,2025-10-01,1,2,1,0
HCP100013,2025-11-01,0,1,0,0
HCP100013,2025-12-01,0,5,0,0
HCP100013,2026-01-01,3,6,7,2
HCP100013,2026-02-01,0,2,0,2
HCP100013,2026-03-01,1,6,3,0
HCP100013,2026-04-01,1,4,1,0
HCP100013,2026-05-01,4,4,5,1
HCP100013,2026-06-01,1,3,1,0
HCP100013,2026-07-01,1,9,0,0
HCP100013,2026-08-01,1,0,1,0
HCP100014,2024-01-01,3,7,9,0
HCP100014,2024-02-01,2,9,4,0
HCP100014,2024-03-01,4,5,9,2
HCP100014,2024-04-01,3,3,6,0
HCP100014,2024-05-01,0,9,0,0
HCP100014,2024-06-01,1,7,1,1
HCP100014,2024-07-01,3,5,3,1
HCP100014,2024-08-01,5,2,13,0
HCP100014,2024-09-01,5,9,10,0
HCP100014,2024-10-01,2,9,6,0
HCP100014,2024-11-01,2,5,5,1
HCP100014,2024-12-01,3,2,6,0
HCP100014,2025-01-01,3,5,6,0
HCP100014,2025-02-01,1,12,0,0
HCP100014,2025-03-01,4,7,5,0
HCP100014,2025-04-01,2,6,5,0
HCP100014,2025-05-01,6,5,8,1
HCP100014,2025-06-01,1,6,1,0
HCP100014,2025-07-01,5,10,2,0
HCP100014,2025-08-01,1,8,1,0
HCP100014,2025-09-01,6,5,11,0
HCP100014,2025-10-01,2,7,3,3
HCP100014,2025-11-01,3,10,7,0
HCP100014,2025-12-01,3,6,2,0
HCP100014,2026-01-01,0,6,0,0
HCP100014,2026-02-01,2,4,5,1
HCP100014,2026-03-01,3,7,6,3
HCP100014,2026-04-01,1,10,3,1
HCP100014,2026-05-01,2,9,2,1
HCP100014,2026-06-01,1,5,0,1
HCP100014,2026-07-01,1,6,4,0
HCP100014,2026-08-01,1,4,3,0
HCP100015,2024-01-01,9,5,23,0
HCP100015,2024-02-01,8,4,23,0
HCP100015,2024-03-01,12,4,27,0
HCP100015,2024-04-01,8,6,13,0
HCP100015,2024-05-01,5,3,9,1
HCP100015,2024-06-01,6,3,13,0
HCP100015,2024-07-01,6,5,15,1
HCP100015,2024-08-01,4,3,10,0
HCP100015,2024-09-01,7,3,20,0
HCP100015,2024-10-01,7,5,21,0
HCP100015,2024-11-01,8,4,23,0
HCP100015,2024-12-01,8,3,15,0
HCP100015,2025-01-01,5,6,13,1
HCP100015,2025-02-01,5,4,21,0
HCP100015,2025-03-01,16,4,42,0
HCP100015,2025-04-01,8,6,22,1
HCP100015,2025-05-01,3,4,9,0
HCP100015,2025-06-01,7,5,14,1
HCP100015,2025-07-01,12,8,43,1
HCP100015,2025-08-01,11,5,34,0
HCP100015,2025-09-01,5,3,9,1
HCP100015,2025-10-01,9,5,25,0
HCP100015,2025-11-01,11,6,22,1
HCP100015,2025-12-01,8,4,30,1
HCP100015,2026-01-01,16,0,39,0
HCP100015,2026-02-01,9,2,25,1
HCP100015,2026-03-01,7,2,30,0
HCP100015,2026-04-01,7,6,21,1
HCP100015,2026-05-01,10,8,22,0
HCP100015,2026-06-01,6,1,10,0
HCP100015,2026-07-01,7,2,15,0
HCP100015,2026-08-01,6,3,14,0
HCP100016,2024-01-01,2,8,4,0
HCP100016,2024-02-01,1,6,3,1
HCP100016,2024-03-01,0,5,0,2
HCP100016,2024-04-01,2,7,5,0
HCP100016,2024-05-01,0,3,0,2
HCP100016,2024-06-01,1,2,2,0
HCP100016,2024-07-01,0,6,0,1
HCP100016,2024-08-01,1,5,3,0
HCP100016,2024-09-01,1,4,2,1
HCP100016,2024-10-01,0,8,0,0
HCP100016,2024-11-01,2,6,7,0
HCP100016,2024-12-01,0,9,0,0
HCP100016,2025-01-01,3,5,4,0
HCP100016,2025-02-01,1,6,4,0
HCP100016,2025-03-01,2,4,3,1
HCP100016,2025-04-01,1,7,3,0
HCP100016,2025-05-01,1,7,3,0
HCP100016,2025-06-01,0,6,0,1
HCP100016,2025-07-01,1,5,1,1
HCP100016,2025-08-01,0,1,0,0
HCP100016,2025-09-01,1,9,2,2
HCP100016,2025-10-01,1,6,2,0
HCP100016,2025-11-01,3,6,5,0
HCP100016,2025-12-01,0,9,0,0
HCP100016,2026-01-01,0,4,0,0
HCP100016,2026-02-01,2,5,5,1
HCP100016,2026-03-01,4,3,10,0
HCP100016,2026-04-01,0,4,0,0
HCP100016,2026-05-01,2,4,3,2
HCP100016,2026-06-01,0,3,0,1
HCP100016,2026-07-01,0,4,0,1
HCP100016,2026-08-01,1,6,2,0
HCP100017,2024-01-01,3,0,13,0
HCP100017,2024-02-01,0,3,0,0
HCP100017,2024-03-01,0,7,0,1
HCP100017,2024-04-01,0,2,0,1
HCP100017,2024-05-01,1,5,2,1
HCP100017,2024-06-01,1,6,2,0
HCP100017,2024-07-01,1,4,1,0
HCP100017,2024-08-01,2,5,5,1
HCP100017,2024-09-01,1,5,0,0
HCP100017,2024-10-01,3,7,11,1
HCP100017,2024-11-01,2,4,4,1
HCP100017,2024-12-01,2,6,5,0
HCP100017,2025-01-01,1,5,2,0
HCP100017,2025-02-01,2,4,4,0
HCP100017,2025-03-01,2,3,4,0
HCP100017,2025-04-01,0,5,0,0
HCP100017,2025-05-01,0,3,0,0
HCP100017,2025-06-01,0,10,0,1
HCP100017,2025-07-01,3,5,6,0
HCP100017,2025-08-01,1,5,2,0
HCP100017,2025-09-01,0,4,0,0
HCP100017,2025-10-01,3,5,10,2
HCP100017,2025-11-01,0,3,0,1
HCP100017,2025-12-01,0,6,0,2
HCP100017,2026-01-01,0,6,0,0
HCP100017,2026-02-01,0,4,0,0
HCP100017,2026-03-01,0,12,0,1
HCP100017,2026-04-01,2,3,2,0
HCP100017,2026-05-01,0,11,0,0
HCP100017,2026-06-01,2,3,8,1
HCP100017,2026-07-01,2,7,5,0
HCP100017,2026-08-01,2,5,7,0
HCP100018,2024-01-01,3,3,7,0
HCP100018,2024-02-01,1,5,1,0
HCP100018,2024-03-01,1,4,2,1
HCP100018,2024-04-01,0,4,0,0
HCP100018,2024-05-01,2,9,3,1
HCP100018,2024-06-01,0,7,0,0
HCP100018,2024-07-01,0,3,0,0
HCP100018,2024-08-01,1,3,3,0
HCP100018,2024-09-01,1,6,4,0
HCP100018,2024-10-01,2,4,6,1
HCP100018,2024-11-01,0,6,0,0
HCP100018,2024-12-01,1,2,2,1
HCP100018,2025-01-01,2,5,2,0
HCP100018,2025-02-01,0,4,0,3
HCP100018,2025-03-01,0,6,0,1
HCP100018,2025-04-01,1,9,4,0
HCP100018,2025-05-01,2,2,4,0
HCP100018,2025-06-01,1,3,1,1
HCP100018,2025-07-01,0,2,0,2
HCP100018,2025-08-01,0,5,0,1
HCP100018,2025-09-01,0,4,0,1
HCP100018,2025-10-01,2,7,3,1
HCP100018,2025-11-01,0,2,0,0
HCP100018,2025-12-01,1,7,3,0
HCP100018,2026-01-01,0,4,0,0
HCP100018,2026-02-01,1,6,2,1
HCP100018,2026-03-01,0,4,0,0
HCP100018,2026-04-01,0,5,0,0
HCP100018,2026-05-01,0,7,0,0
HCP100018,2026-06-01,2,5,2,0
HCP100018,2026-07-01,0,4,0,1
HCP100018,2026-08-01,1,7,1,0
HCP100019,2024-01-01,2,7,7,1
HCP100019,2024-02-01,1,4,0,0
HCP100019,2024-03-01,0,8,0,0
HCP100019,2024-04-01,0,4,0,1
HCP100019,2024-05-01,2,5,3,2
HCP100019,2024-06-01,0,6,0,1
HCP100019,2024-07-01,1,3,4,0
HCP100019,2024-08-01,1,3,0,0
HCP100019,2024-09-01,0,4,0,0
HCP100019,2024-10-01,0,4,0,0
HCP100019,2024-11-01,1,4,0,0
HCP100019,2024-12-01,1,4,0,0
HCP100019,2025-01-01,3,9,12,0
HCP100019,2025-02-01,3,4,6,0
HCP100019,2025-03-01,0,4,0,2
HCP100019,2025-04-01,0,6,0,0
HCP100019,2025-05-01,2,5,2,0
HCP100019,2025-06-01,0,5,0,0
HCP100019,2025-07-01,1,4,2,2
HCP100019,2025-08-01,2,6,7,0
HCP100019,2025-09-01,3,5,8,1
HCP100019,2025-10-01,1,6,2,3
HCP100019,2025-11-01,0,5,0,1
HCP100019,2025-12-01,3,6,4,0
HCP100019,2026-01-01,2,4,4,0
HCP100019,2026-02-01,1,3,0,0
HCP100019,2026-03-01,0,4,0,0
HCP100019,2026-04-01,1,4,1,0
HCP100019,2026-05-01,4,6,8,1
HCP100019,2026-06-01,1,6,0,0
HCP100019,2026-07-01,0,3,0,0
HCP100019,2026-08-01,3,6,6,1
HCP100020,2024-01-01,2,6,6,0
HCP100020,2024-02-01,3,9,3,3
HCP100020,2024-03-01,1,9,1,0
HCP100020,2024-04-01,7,12,11,1
HCP100020,2024-05-01,3,8,5,0
HCP100020,2024-06-01,1,8,0,0
HCP100020,2024-07-01,3,10,6,0
HCP100020,2024-08-01,0,6,0,1
HCP100020,2024-09-01,1,2,3,0
HCP100020,2024-10-01,5,8,13,1
HCP100020,2024-11-01,3,13,4,0
HCP100020,2024-12-01,5,4,11,0
HCP100020,2025-01-01,3,9,9,2
HCP100020,2025-02-01,2,7,3,1
HCP100020,2025-03-01,1,10,1,2
HCP100020,2025-04-01,3,11,1,1
HCP100020,2025-05-01,4,10,5,0
HCP100020,2025-06-01,2,6,1,0
HCP100020,2025-07-01,3,10,8,0
HCP100020,2025-08-01,1,4,3,0
HCP100020,2025-09-01,4,5,3,1
HCP100020,2025-10-01,3,11,1,0
HCP100020,2025-11-01,2,8,0,0
HCP100020,2025-12-01,1,5,1,0
HCP100020,2026-01-01,5,6,4,0
HCP100020,2026-02-01,2,9,2,0
HCP100020,2026-03-01,4,9,10,0
HCP100020,2026-04-01,4,4,8,0
HCP100020,2026-05-01,4,5,3,0
HCP100020,2026-06-01,4,8,11,0
HCP100020,2026-07-01,2,2,3,1
HCP100020,2026-08-01,1,5,2,1
HCP100021,2024-01-01,2,1,3,0
HCP100021,2024-02-01,0,5,0,1
HCP100021,2024-03-01,1,2,2,1
HCP100021,2024-04-01,1,1,1,0
HCP100021,2024-05-01,0,5,0,0
HCP100021,2024-06-01,0,3,0,1
HCP100021,2024-07-01,0,7,0,0
HCP100021,2024-08-01,0,4,0,0
HCP100021,2024-09-01,0,4,0,0
HCP100021,2024-10-01,0,7,0,2
HCP100021,2024-11-01,2,5,2,1
HCP100021,2024-12-01,4,2,8,0
HCP100021,2025-01-01,1,5,5,0
HCP100021,2025-02-01,0,4,0,0
HCP100021,2025-03-01,2,2,2,0
HCP100021,2025-04-01,3,6,7,0
HCP100021,2025-05-01,0,5,0,0
HCP100021,2025-06-01,0,2,0,0
HCP100021,2025-07-01,1,2,3,0
HCP100021,2025-08-01,2,6,5,0
HCP100021,2025-09-01,0,7,0,1
HCP100021,2025-10-01,2,3,3,1
HCP100021,2025-11-01,2,2,5,2
HCP100021,2025-12-01,1,3,1,0
