hcp_id,product,n_observed,n_missing
HCP100076,ENDOSTAT,32,0
HCP100076,NEUROVANT,31,1
HCP100076,ONCOLERA,30,2
HCP100077,CARDIVEX,32,0
HCP100077,ENDOSTAT,32,0
HCP100077,NEUROVANT,32,0
HCP100077,ONCOLERA,32,0
HCP100078,CARDIVEX,32,0
HCP100078,ENDOSTAT,31,1
HCP100078,NEUROVANT,32,0
HCP100078,ONCOLERA,32,0
HCP100079,ENDOSTAT,32,0
HCP100079,NEUROVANT,32,0
HCP100079,ONCOLERA,32,0
HCP100080,CARDIVEX,31,1
HCP100080,ONCOLERA,32,0
HCP100081,CARDIVEX,32,0
HCP100081,ENDOSTAT,31,1
HCP100081,NEUROVANT,31,1
HCP100081,ONCOLERA,31,1
HCP100082,NEUROVANT,32,0
HCP100082,ONCOLERA,32,0
HCP100083,ENDOSTAT,30,2
HCP100083,NEUROVANT,29,3
HCP100083,ONCOLERA,32,0
HCP100084,ONCOLERA,31,1
HCP100085,CARDIVEX,32,0
HCP100085,ENDOSTAT,32,0
HCP100085,ONCOLERA,31,1
HCP100086,CARDIVEX,32,0
HCP100086,NEUROVANT,32,0
HCP100086,ONCOLERA,31,1
HCP100087,CARDIVEX,32,0
HCP100087,ENDOSTAT,31,1
HCP100088,CARDIVEX,31,1
HCP100088,ENDOSTAT,32,0
HCP100088,NEUROVANT,31,1
HCP100089,CARDIVEX,32,0
HCP100089,ENDOSTAT,32,0
HCP100089,NEUROVANT,31,1
HCP100089,ONCOLERA,31,1
HCP100090,CARDIVEX,32,0
HCP100090,ENDOSTAT,30,2
HCP100090,NEUROVANT,31,1
HCP100090,ONCOLERA,31,1
HCP100091,CARDIVEX,25,7
HCP100091,ENDOSTAT,24,8
HCP100091,NEUROVANT,25,7
HCP100091,ONCOLERA,26,6
HCP100092,CARDIVEX,32,0
HCP100092,ENDOSTAT,32,0
HCP100092,NEUROVANT,31,1
HCP100093,CARDIVEX,30,2
HCP100093,ENDOSTAT,31,1
HCP100094,NEUROVANT,31,1
HCP100095,CARDIVEX,31,1
HCP100095,NEUROVANT,32,0
HCP100096,CARDIVEX,31,1
HCP100096,ENDOSTAT,32,0
HCP100097,CARDIVEX,31,1
HCP100097,ENDOSTAT,31,1
HCP100097,NEUROVANT,31,1
HCP100098,CARDIVEX,32,0
HCP100098,ENDOSTAT,32,0
HCP100098,NEUROVANT,30,2
HCP100099,CARDIVEX,31,1
HCP100099,ENDOSTAT,31,1
HCP100099,ONCOLERA,31,1
HCP100100,NEUROVANT,32,0
HCP100100,ONCOLERA,31,1
HCP100101,CARDIVEX,32,0
HCP100101,ENDOSTAT,32,0
HCP100101,NEUROVANT,29,3
HCP100102,CARDIVEX,31,1
HCP100102,ENDOSTAT,30,2
HCP100102,NEUROVANT,31,1
HCP100103,CARDIVEX,31,1
HCP100103,ENDOSTAT,30,2
HCP100103,NEUROVANT,32,0
HCP100104,CARDIVEX,31,1
HCP100104,ENDOSTAT,32,0
HCP100104,NEUROVANT,32,0
HCP100105,NEUROVANT,31,1
HCP100106,CARDIVEX,31,1
HCP100107,CARDIVEX,32,0
HCP100107,ENDOSTAT,31,1
HCP100107,ONCOLERA,32,0
HCP100108,ENDOSTAT,30,2
HCP100108,NEUROVANT,30,2
HCP100109,ENDOSTAT,32,0
HCP100109,NEUROVANT,32,0
HCP100110,CARDIVEX,31,1
HCP100111,CARDIVEX,31,1
HCP100111,ENDOSTAT,31,1
HCP100111,ONCOLERA,32,0
HCP100112,CARDIVEX,32,0
HCP100112,ENDOSTAT,31,1
HCP100112,NEUROVANT,31,1
HCP100113,ONCOLERA,32,0
HCP100114,CARDIVEX,32,0
HCP100114,ENDOSTAT,29,3
HCP100115,CARDIVEX,31,1
HCP100115,ENDOSTAT,32,0
HCP100115,NEUROVANT,31,1
HCP100116,CARDIVEX,32,0
HCP100116,ENDOSTAT,32,0
HCP100116,NEUROVANT,32,0
HCP100117,CARDIVEX,31,1
HCP100117,ENDOSTAT,31,1
HCP100117,NEUROVANT,31,1
HCP100118,CARDIVEX,31,1
HCP100118,ENDOSTAT,31,1
HCP100118,NEUROVANT,31,1
HCP100119,CARDIVEX,32,0
HCP100119,NEUROVANT,30,2
HCP100120,CARDIVEX,32,0
HCP100120,ENDOSTAT,30,2
HCP100120,NEUROVANT,32,0
HCP100121,CARDIVEX,32,0
HCP100121,ENDOSTAT,30,2
HCP100121,NEUROVANT,31,1
HCP100121,ONCOLERA,32,0
HCP100122,NEUROVANT,30,2
HCP100122,ONCOLERA,32,0
HCP100123,NEUROVANT,31,1
HCP100124,CARDIVEX,32,0
HCP100124,ENDOSTAT,32,0
HCP100124,NEUROVANT,32,0
HCP100124,ONCOLERA,29,3
HCP100125,ONCOLERA,31,1
HCP100126,CARDIVEX,31,1
HCP100126,ENDOSTAT,31,1
HCP100126,NEUROVANT,30,2
HCP100126,ONCOLERA,32,0
HCP100127,ENDOSTAT,30,2
HCP100127,NEUROVANT,32,0
HCP100128,CARDIVEX,31,1
HCP100128,ENDOSTAT,32,0
HCP100128,NEUROVANT,31,1
HCP100129,CARDIVEX,32,0
HCP100129,ENDOSTAT,32,0
HCP100129,ONCOLERA,31,1
HCP100130,CARDIVEX,32,0
HCP100130,ENDOSTAT,32,0
HCP100130,NEUROVANT,31,1
HCP100131,CARDIVEX,32,0
HCP100131,ENDOSTAT,32,0
HCP100131,NEUROVANT,32,0
HCP100132,CARDIVEX,31,1
HCP100132,ENDOSTAT,30,2
HCP100133,CARDIVEX,30,2
HCP100133,ENDOSTAT,31,1
HCP100133,NEUROVANT,31,1
HCP100133,ONCOLERA,32,0
HCP100134,CARDIVEX,31,1
HCP100134,ENDOSTAT,32,0
HCP100134,NEUROVANT,31,1
HCP100135,CARDIVEX,32,0
HCP100135,ENDOSTAT,31,1
HCP100135,NEUROVANT,32,0
HCP100136,CARDIVEX,30,2
HCP100136,ENDOSTAT,30,2
HCP100136,NEUROVANT,30,2
HCP100137,ENDOSTAT,31,1
HCP100138,CARDIVEX,32,0
HCP100138,ENDOSTAT,31,1
HCP100139,CARDIVEX,32,0
HCP100139,ENDOSTAT,31,1
HCP100139,NEUROVANT,32,0
HCP100139,ONCOLERA,32,0
HCP100140,CARDIVEX,32,0
HCP100140,ENDOSTAT,30,2
HCP100140,ONCOLERA,32,0
HCP100141,NEUROVANT,31,1
HCP100142,NEUROVANT,32,0
HCP100143,CARDIVEX,29,3
HCP100143,ENDOSTAT,31,1
HCP100143,NEUROVANT,32,0
HCP100143,ONCOLERA,32,0
HCP100144,CARDIVEX,31,1
HCP100144,ENDOSTAT,31,1
HCP100145,CARDIVEX,32,0
HCP100145,ENDOSTAT,30,2
HCP100145,NEUROVANT,32,0
HCP100146,CARDIVEX,31,1
HCP100146,ENDOSTAT,30,2
HCP100147,ENDOSTAT,31,1
HCP100147,ONCOLERA,31,1
HCP100148,CARDIVEX,32,0
HCP100148,NEUROVANT,30,2
HCP100148,ONCOLERA,32,0
HCP100149,CARDIVEX,32,0
HCP100149,ENDOSTAT,32,0
HCP100149,NEUROVANT,32,0
HCP100150,NEUROVANT,31,1
HCP100150,ONCOLERA,30,2
HCP100151,CARDIVEX,31,1
HCP100151,ENDOSTAT,29,3
HCP100151,NEUROVANT,32,0
HCP100152,CARDIVEX,31,1
HCP100152,ENDOSTAT,32,0
HCP100152,NEUROVANT,32,0
HCP100153,CARDIVEX,32,0
HCP100153,ENDOSTAT,32,0
HCP100153,NEUROVANT,32,0
HCP100153,ONCOLERA,30,2
HCP100154,CARDIVEX,32,0
HCP100154,ENDOSTAT,32,0
HCP100154,NEUROVANT,32,0
HCP100154,ONCOLERA,32,0
HCP100155,CARDIVEX,31,1
HCP100155,ENDOSTAT,30,2
HCP100155,NEUROVANT,32,0
HCP100155,ONCOLERA,32,0
HCP100156,CARDIVEX,32,0
HCP100156,ENDOSTAT,31,1
HCP100156,NEUROVANT,31,1
HCP100157,CARDIVEX,32,0
HCP100157,ENDOSTAT,31,1
HCP100157,NEUROVANT,30,2
HCP100158,ENDOSTAT,32,0
HCP100158,ONCOLERA,31,1
HCP100159,CARDIVEX,32,0
HCP100159,ENDOSTAT,31,1
HCP100159,NEUROVANT,31,1
HCP100160,CARDIVEX,32,0
HCP100160,NEUROVANT,32,0
HCP100160,ONCOLERA,30,2
HCP100161,CARDIVEX,31,1
HCP100161,ENDOSTAT,31,1
HCP100161,NEUROVANT,30,2
HCP100162,ENDOSTAT,32,0
HCP100162,ONCOLERA,32,0
HCP100163,CARDIVEX,31,1
HCP100163,ENDOSTAT,30,2
HCP100163,NEUROVANT,32,0
HCP100164,CARDIVEX,31,1
HCP100164,ENDOSTAT,30,2
HCP100164,NEUROVANT,32,0
HCP100165,ONCOLERA,31,1
HCP100166,CARDIVEX,32,0
HCP100166,ENDOSTAT,32,0
HCP100166,NEUROVANT,32,0
HCP100166,ONCOLERA,31,1
HCP100167,ONCOLERA,32,0
HCP100168,CARDIVEX,30,2
HCP100168,ENDOSTAT,30,2
HCP100169,CARDIVEX,32,0
HCP100169,ENDOSTAT,29,3
HCP100169,ONCOLERA,32,0
HCP100170,CARDIVEX,30,2
HCP100170,ENDOSTAT,31,1
HCP100170,NEUROVANT,31,1
HCP100171,CARDIVEX,30,2
HCP100171,ENDOSTAT,30,2
HCP100171,NEUROVANT,31,1
HCP100171,ONCOLERA,32,0
HCP100172,ENDOSTAT,31,1
HCP100172,ONCOLERA,31,1
HCP100173,CARDIVEX,31,1
HCP100173,ENDOSTAT,32,0
HCP100173,NEUROVANT,32,0
HCP100173,ONCOLERA,31,1
HCP100174,CARDIVEX,31,1
HCP100174,NEUROVANT,31,1
HCP100174,ONCOLERA,32,0
HCP100175,ENDOSTAT,32,0
HCP100175,NEUROVANT,32,0
HCP100175,ONCOLERA,32,0
HCP100176,CARDIVEX,31,1
HCP100176,ENDOSTAT,31,1
HCP100176,ONCOLERA,32,0
HCP100177,ENDOSTAT,22,10
HCP100177,NEUROVANT,22,10
HCP100177,ONCOLERA,23,9
HCP100178,CARDIVEX,32,0
HCP100178,ENDOSTAT,32,0
HCP100178,NEUROVANT,32,0
HCP100179,CARDIVEX,32,0
HCP100179,ENDOSTAT,32,0
HCP100179,NEUROVANT,32,0
HCP100180,CARDIVEX,31,1
HCP100180,ENDOSTAT,32,0
HCP100180,NEUROVANT,31,1
HCP100181,CARDIVEX,32,0
HCP100181,ENDOSTAT,31,1
HCP100181,ONCOLERA,32,0
HCP100182,CARDIVEX,31,1
HCP100182,ENDOSTAT,30,2
HCP100182,ONCOLERA,31,1
HCP100183,CARDIVEX,32,0
HCP100183,ENDOSTAT,30,2
HCP100183,ONCOLERA,30,2
HCP100184,CARDIVEX,30,2
HCP100184,ENDOSTAT,31,1
HCP100184,NEUROVANT,31,1
HCP100185,ENDOSTAT,32,0
HCP100185,ONCOLERA,30,2
HCP100186,CARDIVEX,32,0
HCP100186,NEUROVANT,32,0
HCP100187,CARDIVEX,32,0
HCP100187,ENDOSTAT,32,0
HCP100188,ONCOLERA,32,0
HCP100189,CARDIVEX,32,0
HCP100189,ENDOSTAT,32,0
HCP100189,NEUROVANT,31,1
HCP100189,ONCOLERA,31,1
HCP100190,CARDIVEX,32,0
HCP100190,ENDOSTAT,32,0
HCP100190,ONCOLERA,31,1
HCP100191,CARDIVEX,32,0
HCP100191,ENDOSTAT,31,1
HCP100191,NEUROVANT,30,2
HCP100192,CARDIVEX,32,0
HCP100192,ENDOSTAT,31,1
HCP100192,NEUROVANT,31,1
HCP100192,ONCOLERA,31,1
HCP100193,CARDIVEX,31,1
HCP100193,ENDOSTAT,32,0
HCP100194,CARDIVEX,32,0
HCP100194,ENDOSTAT,31,1
HCP100194,ONCOLERA,30,2
HCP100195,CARDIVEX,32,0
HCP100195,ENDOSTAT,30,2
HCP100195,NEUROVANT,32,0
HCP100195,ONCOLERA,31,1
HCP100196,CARDIVEX,31,1
HCP100196,ENDOSTAT,32,0
HCP100196,NEUROVANT,31,1
HCP100197,CARDIVEX,31,1
HCP100197,NEUROVANT,32,0
HCP100197,ONCOLERA,31,1
HCP100198,CARDIVEX,31,1
HCP100198,ENDOSTAT,32,0
HCP100198,NEUROVANT,29,3
HCP100198,ONCOLERA,31,1
HCP100199,CARDIVEX,31,1
HCP100199,ENDOSTAT,32,0
HCP100199,NEUROVANT,32,0
HCP100200,CARDIVEX,32,0
HCP100200,ENDOSTAT,32,0
HCP100200,NEUROVANT,30,2
HCP100200,ONCOLERA,31,1
HCP100201,CARDIVEX,32,0
HCP100201,ENDOSTAT,32,0
HCP100201,NEUROVANT,32,0
HCP100202,CARDIVEX,31,1
HCP100202,ENDOSTAT,32,0
HCP100202,NEUROVANT,32,0
HCP100203,ENDOSTAT,32,0
HCP100203,ONCOLERA,30,2
HCP100204,ENDOSTAT,31,1
HCP100204,NEUROVANT,32,0
HCP100205,CARDIVEX,30,2
HCP100205,ENDOSTAT,32,0
HCP100205,NEUROVANT,31,1
HCP100206,CARDIVEX,32,0
HCP100206,ENDOSTAT,31,1
HCP100206,NEUROVANT,32,0
HCP100207,CARDIVEX,30,2
HCP100207,ENDOSTAT,31,1
HCP100207,NEUROVANT,31,1
HCP100207,ONCOLERA,31,1
HCP100208,CARDIVEX,31,1
HCP100208,ENDOSTAT,32,0
HCP100208,ONCOLERA,32,0
HCP100209,CARDIVEX,31,1
HCP100209,ENDOSTAT,31,1
HCP100209,NEUROVANT,32,0
HCP100209,ONCOLERA,31,1
HCP100210,CARDIVEX,31,1
HCP100210,ENDOSTAT,32,0
HCP100210,NEUROVANT,32,0
HCP100211,NEUROVANT,32,0
HCP100211,ONCOLERA,29,3
HCP100212,ENDOSTAT,32,0
HCP100213,CARDIVEX,32,0
HCP100213,ENDOSTAT,31,1
HCP100213,NEUROVANT,31,1
HCP100213,ONCOLERA,30,2
HCP100214,ONCOLERA,32,0
HCP100215,NEUROVANT,31,1
HCP100216,ENDOSTAT,31,1
HCP100216,ONCOLERA,31,1
HCP100217,CARDIVEX,31,1
HCP100217,ENDOSTAT,31,1
HCP100218,CARDIVEX,32,0
HCP100218,ENDOSTAT,32,0
HCP100219,CARDIVEX,32,0
HCP100219,ENDOSTAT,31,1
HCP100219,NEUROVANT,32,0
HCP100219,ONCOLERA,32,0
HCP100220,CARDIVEX,31,1
HCP100220,ENDOSTAT,30,2
HCP100220,NEUROVANT,30,2
HCP100221,NEUROVANT,31,1
HCP100221,ONCOLERA,32,0
HCP100222,CARDIVEX,29,3
HCP100222,ENDOSTAT,29,3
HCP100223,CARDIVEX,32,0
HCP100223,ENDOSTAT,31,1
HCP100223,NEUROVANT,30,2
HCP100224,CARDIVEX,31,1
HCP100224,ENDOSTAT,31,1
HCP100224,NEUROVANT,32,0
HCP100225,ENDOSTAT,32,0
HCP100225,NEUROVANT,30,2
HCP100225,ONCOLERA,31,1
HCP100226,CARDIVEX,30,2
HCP100226,ENDOSTAT,32,0
HCP100227,ENDOSTAT,32,0
HCP100227,NEUROVANT,32,0
HCP100227,ONCOLERA,32,0
HCP100228,CARDIVEX,31,1
HCP100228,ENDOSTAT,32,0
HCP100228,NEUROVANT,31,1
HCP100228,ONCOLERA,32,0
HCP100229,ENDOSTAT,31,1
HCP100229,ONCOLERA,32,0
HCP100230,CARDIVEX,31,1
HCP100230,ENDOSTAT,30,2
HCP100230,NEUROVANT,32,0
HCP100231,ENDOSTAT,32,0
HCP100231,NEUROVANT,32,0
HCP100232,CARDIVEX,32,0
HCP100232,ENDOSTAT,31,1
HCP100233,CARDIVEX,32,0
HCP100233,ENDOSTAT,32,0
HCP100233,NEUROVANT,31,1
HCP100234,CARDIVEX,32,0
HCP100234,ENDOSTAT,30,2
HCP100234,NEUROVANT,31,1
HCP100235,NEUROVANT,29,3
HCP100235,ONCOLERA,31,1
HCP100236,ENDOSTAT,31,1
HCP100236,ONCOLERA,31,1
HCP100237,CARDIVEX,32,0
HCP100237,ENDOSTAT,31,1
HCP100237,NEUROVANT,31,1
HCP100238,ENDOSTAT,29,3
HCP100238,NEUROVANT,30,2
HCP100238,ONCOLERA,31,1
HCP100239,NEUROVANT,23,9
HCP100240,ENDOSTAT,31,1
HCP100240,NEUROVANT,32,0
HCP100241,CARDIVEX,31,1
HCP100241,ENDOSTAT,32,0
HCP100241,NEUROVANT,32,0
HCP100242,CARDIVEX,31,1
HCP100242,ENDOSTAT,28,4
HCP100242,ONCOLERA,31,1
HCP100243,CARDIVEX,31,1
HCP100243,ENDOSTAT,30,2
HCP100243,NEUROVANT,31,1
HCP100243,ONCOLERA,31,1
HCP100244,CARDIVEX,31,1
HCP100244,ENDOSTAT,31,1
HCP100244,NEUROVANT,31,1
HCP100244,ONCOLERA,31,1
HCP100245,ENDOSTAT,30,2
HCP100245,NEUROVANT,32,0
HCP100245,ONCOLERA,32,0
HCP100246,CARDIVEX,31,1
HCP100246,NEUROVANT,31,1
HCP100247,CARDIVEX,32,0
HCP100247,ENDOSTAT,29,3
HCP100248,CARDIVEX,31,1
HCP100248,ENDOSTAT,30,2
HCP100248,NEUROVANT,32,0
HCP100249,CARDIVEX,32,0
HCP100249,ENDOSTAT,32,0
HCP100249,NEUROVANT,32,0
HCP100250,CARDIVEX,32,0
HCP100250,ENDOSTAT,32,0
HCP100250,NEUROVANT,31,1
HCP100251,CARDIVEX,30,2
HCP100251,ENDOSTAT,32,0
HCP100251,ONCOLERA,32,0
HCP100252,CARDIVEX,32,0
HCP100252,ENDOSTAT,31,1
HCP100252,NEUROVANT,31,1
HCP100252,ONCOLERA,32,0
HCP100253,ONCOLERA,31,1
HCP100254,CARDIVEX,32,0
HCP100254,ENDOSTAT,32,0
HCP100254,NEUROVANT,30,2
HCP100254,ONCOLERA,31,1
HCP100255,CARDIVEX,31,1
HCP100255,ENDOSTAT,31,1
HCP100255,NEUROVANT,31,1
HCP100255,ONCOLERA,31,1
HCP100256,CARDIVEX,29,3
HCP100256,ENDOSTAT,32,0
HCP100256,NEUROVANT,32,0
HCP100256,ONCOLERA,32,0
HCP100257,ONCOLERA,32,0
HCP100258,ENDOSTAT,31,1
HCP100258,ONCOLERA,31,1
HCP100259,CARDIVEX,31,1
HCP100259,ENDOSTAT,31,1
HCP100259,ONCOLERA,29,3
HCP100260,CARDIVEX,30,2
HCP100260,ENDOSTAT,31,1
HCP100261,CARDIVEX,32,0
HCP100261,ENDOSTAT,32,0
HCP100261,NEUROVANT,31,1
HCP100261,ONCOLERA,30,2
HCP100262,CARDIVEX,29,3
HCP100262,ENDOSTAT,32,0
HCP100262,NEUROVANT,32,0
HCP100263,CARDIVEX,30,2
HCP100263,ENDOSTAT,31,1
HCP100263,NEUROVANT,31,1
HCP100263,ONCOLERA,32,0
HCP100264,CARDIVEX,31,1
HCP100264,ENDOSTAT,32,0
HCP100264,NEUROVANT,30,2
HCP100265,ENDOSTAT,31,1
HCP100265,ONCOLERA,32,0
HCP100266,CARDIVEX,31,1
HCP100266,ENDOSTAT,32,0
HCP100266,NEUROVANT,31,1
HCP100267,CARDIVEX,32,0
HCP100267,ENDOSTAT,31,1
HCP100267,NEUROVANT,32,0
HCP100268,CARDIVEX,30,2
HCP100268,ENDOSTAT,29,3
HCP100268,NEUROVANT,31,1
HCP100269,CARDIVEX,32,0
HCP100269,ENDOSTAT,32,0
HCP100269,NEUROVANT,32,0
HCP100270,CARDIVEX,32,0
HCP100270,ENDOSTAT,31,1
HCP100270,NEUROVANT,32,0
HCP100270,ONCOLERA,32,0
HCP100271,ONCOLERA,32,0
HCP100272,ENDOSTAT,32,0
HCP100272,NEUROVANT,31,1
HCP100272,ONCOLERA,32,0
HCP100273,CARDIVEX,30,2
HCP100273,ENDOSTAT,32,0
HCP100273,NEUROVANT,32,0
HCP100273,ONCOLERA,32,0
HCP100274,CARDIVEX,31,1
HCP100274,ENDOSTAT,32,0
HCP100275,CARDIVEX,30,2
HCP100275,ENDOSTAT,31,1
HCP100275,NEUROVANT,32,0
HCP100275,ONCOLERA,30,2
HCP100276,CARDIVEX,31,1
HCP100276,ENDOSTAT,30,2
HCP100276,NEUROVANT,32,0
HCP100277,ENDOSTAT,32,0
HCP100277,ONCOLERA,32,0
HCP100278,ENDOSTAT,32,0
HCP100278,NEUROVANT,31,1
HCP100278,ONCOLERA,32,0
HCP100279,CARDIVEX,31,1
HCP100279,ENDOSTAT,31,1
HCP100279,ONCOLERA,31,1
HCP100280,ENDOSTAT,30,2
HCP100280,NEUROVANT,31,1
HCP100280,ONCOLERA,32,0
HCP100281,CARDIVEX,31,1
HCP100281,ENDOSTAT,31,1
HCP100282,CARDIVEX,29,3
HCP100282,ENDOSTAT,30,2
HCP100282,NEUROVANT,32,0
