hcp_id,brand_id,month,nrx,trx
8cee7c3d-0529-4dca-b7f3-8c21557b190a,ae559633-edeb-4b81-a6f1-97e2cc2df9bb,2025-02,23,41
ee56a3f2-c876-4127-a0c1-324ba474368a,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-12,50,90
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-08,11,27
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-06,48,74
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2025-09,11,60
,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-03,10,20
cd3e6c9f-701a-4131-955a-e4b3dbb4d509,not-a-uuid,2025-04,5,15
0c0bb12f-39a8-4269-9026-2d4f4ef8ab71,1f9e9cbe-01be-4f9a-b02a-05b591421c24,2025-05,abc,30
ee56a3f2-c876-4127-a0c1-324ba474368a,23fc6839-6bd4-4576-b889-ef8380fbc1c7,2027-01,8,25
870dce2a-76c8-4765-b1da-21d6d3b34997,080255b0-3b99-4aeb-b8ca-9ad2c5f1c8f8,2025-06,99,10
