hcp_id,specialty,region,segment,active_flag
HCP100365,Dermatology,Southeast,Low,0
HCP100366,Dermatology,Midwest,Low,1
HCP100367,Psychiatry,Northeast,Low,1
HCP100368,Cardiology,Southwest,Medium,1
HCP100369,Dermatology,Midwest,Low,1
HCP100370,Neurology,Southeast,High,1
HCP100371,Cardiology,Pacific Northwest,Low,1
HCP100372,Cardiology,Mountain,Low,1
HCP100373,Primary Care,Southwest,Low,0
HCP100374,Primary Care,Southwest,Low,0
HCP100375,Oncology,Northeast,Low,1
HCP100376,Cardiology,Southeast,Low,1
HCP100377,Cardiology,Southeast,Low,1
HCP100378,Neurology,Northeast,High,1
HCP100379,Oncology,Midwest,Low,1
HCP100380,Cardiology,Southeast,Medium,1
HCP100381,Primary Care,Pacific Northwest,Low,1
HCP100382,Endocrinology,Midwest,High,0
HCP100383,Primary Care,Pacific Northwest,Low,1
HCP100384,Primary Care,West,Low,1
HCP100385,Primary Care,Southeast,Medium,1
HCP100386,Primary Care,Southwest,High,1
HCP100387,Endocrinology,Midwest,Medium,1
HCP100388,Primary Care,Midwest,Medium,1
HCP100389,Cardiology,Southwest,Medium,1
HCP100390,Endocrinology,Midwest,Low,1
HCP100391,Oncology,Southwest,Medium,1
HCP100392,Gastroenterology,Northeast,Low,0
HCP100393,Cardiology,Southeast,Medium,1
HCP100394,Gastroenterology,Midwest,Medium,1
HCP100395,Cardiology,Southwest,High,1
HCP100396,Endocrinology,West,Low,1
HCP100397,Primary Care,Northeast,Low,1
HCP100398,Cardiology,Northeast,Medium,1
HCP100399,Oncology,West,Low,0
HCP100400,Oncology,West,Low,1
HCP100401,Dermatology,Southwest,Low,1
HCP100402,Endocrinology,West,Medium,1
HCP100403,Cardiology,Midwest,Low,1
HCP100404,Oncology,Southwest,Medium,1
HCP100405,Cardiology,Northeast,Medium,1
HCP100406,Endocrinology,Northeast,Medium,1
HCP100407,Neurology,Northeast,High,1
HCP100408,Primary Care,Northeast,Low,1
HCP100410,Endocrinology,Midwest,Low,1
HCP100411,Psychiatry,Northeast,Low,1
HCP100412,Endocrinology,Southwest,High,1
HCP100413,Primary Care,Northeast,Medium,1
HCP100414,Cardiology,Northeast,Low,1
HCP100415,Primary Care,Southeast,Medium,1
HCP100416,Oncology,Northeast,Low,1
HCP100418,Primary Care,Southeast,Low,1
HCP100419,Dermatology,Pacific Northwest,Low,1
HCP100420,Cardiology,Southeast,High,1
HCP100421,Primary Care,Northeast,Medium,1
HCP100422,Oncology,Southwest,Low,1
HCP100423,Endocrinology,Northeast,Low,1
HCP100424,Dermatology,Northeast,Low,1
HCP100425,Dermatology,West,Low,0
HCP100426,Endocrinology,West,Low,1
HCP100427,Oncology,Southeast,Low,1
HCP100428,Oncology,Southwest,Medium,1
HCP100429,Primary Care,Southwest,Medium,1
HCP100430,Primary Care,Northeast,Low,0
HCP100431,Oncology,Northeast,High,1
HCP100432,Primary Care,Pacific Northwest,Low,1
HCP100433,Cardiology,Midwest,Low,1
HCP100435,Primary Care,Northeast,High,1
HCP100436,Gastroenterology,Northeast,High,1
HCP100437,Gastroenterology,Southwest,Medium,1
HCP100438,Oncology,West,Low,0
HCP100439,Primary Care,Southeast,Medium,1
HCP100440,Endocrinology,West,Medium,1
HCP100441,Primary Care,Pacific Northwest,Low,1
HCP100442,Psychiatry,Midwest,Medium,1
HCP100443,Dermatology,Northeast,Medium,1
HCP100444,Primary Care,Southwest,Medium,1
HCP100445,Gastroenterology,Southwest,Medium,1
HCP100446,Dermatology,Northeast,Low,0
HCP100447,Gastroenterology,Northeast,Medium,1
HCP100448,Dermatology,Pacific Northwest,Medium,0
HCP100449,Gastroenterology,Midwest,High,1
HCP100451,Cardiology,Pacific Northwest,High,1
HCP100452,Dermatology,West,Medium,1
HCP100453,Cardiology,West,Medium,1
HCP100454,Endocrinology,Mountain,Low,1
HCP100455,Psychiatry,West,Low,1
HCP100456,Dermatology,Northeast,Low,1
HCP100457,Psychiatry,Midwest,Medium,1
HCP100458,Cardiology,West,Low,1
HCP100459,Primary Care,Southwest,Medium,1
HCP100460,Neurology,Northeast,High,1
HCP100461,Neurology,Southeast,Low,0
HCP100462,Primary Care,Midwest,High,1
HCP100463,Cardiology,Northeast,Low,0
HCP100464,Primary Care,Midwest,Low,1
HCP100465,Psychiatry,Southeast,Medium,1
HCP100466,Primary Care,Northeast,Low,1
HCP100467,Primary Care,Northeast,Low,1
HCP100468,Oncology,Northeast,Low,1
HCP100469,Oncology,West,Medium,1
HCP100470,Psychiatry,Southeast,Medium,1
HCP100471,Cardiology,Midwest,Medium,1
HCP100472,Primary Care,Northeast,High,1
HCP100474,Cardiology,Mountain,Medium,0
HCP100475,Gastroenterology,West,Medium,1
HCP100476,Neurology,Southwest,Low,1
HCP100478,Primary Care,Midwest,Medium,1
HCP100479,Endocrinology,Southeast,Low,0
HCP100480,Primary Care,Northeast,Medium,1
HCP100481,Psychiatry,Pacific Northwest,High,1
HCP100482,Primary Care,West,Medium,1
HCP100483,Cardiology,Midwest,Low,0
HCP100484,Primary Care,Northeast,Low,1
HCP100485,Endocrinology,Mountain,Low,1
HCP100486,Endocrinology,West,Low,0
HCP100487,Psychiatry,West,Low,1
HCP100488,Neurology,West,Low,1
HCP100489,Gastroenterology,Southeast,Medium,1
HCP100490,Cardiology,Northeast,Medium,1
HCP100491,Neurology,Southeast,Low,0
HCP100492,Oncology,Northeast,Low,1
HCP100493,Psychiatry,Northeast,Low,1
HCP100494,Endocrinology,Southwest,Low,0
HCP100495,Psychiatry,Northeast,High,0
HCP100496,Primary Care,West,High,1
HCP100497,Endocrinology,Pacific Northwest,High,1
HCP100498,Psychiatry,West,Medium,1
HCP100499,Neurology,Southwest,Medium,1
HCP100500,Primary Care,Southeast,Low,1
HCP100501,Dermatology,West,Low,1
HCP100502,Psychiatry,Mountain,Medium,1
HCP100503,Primary Care,Southeast,High,1
HCP100504,Primary Care,West,High,1
HCP100505,Primary Care,Southeast,Low,0
HCP100506,Psychiatry,Northeast,Medium,1
HCP100507,Oncology,Mountain,High,1
HCP100508,Cardiology,Northeast,Medium,1
HCP100509,Cardiology,West,Medium,1
HCP100510,Oncology,Southeast,Low,1
HCP100511,Oncology,Southwest,Medium,1
HCP100512,Oncology,Midwest,Medium,1
HCP100513,Dermatology,Southeast,Medium,1
HCP100514,Dermatology,Southeast,Low,0
HCP100515,Oncology,Southwest,Medium,1
HCP100516,Psychiatry,Northeast,High,1
HCP100517,Cardiology,Southeast,Medium,1
HCP100518,Primary Care,West,Low,1
HCP100519,Neurology,Northeast,Medium,1
HCP100520,Cardiology,Southwest,High,1
HCP100521,Neurology,Midwest,Medium,1
HCP100522,Primary Care,Northeast,Low,1
HCP100523,Primary Care,Northeast,Medium,1
HCP100524,Cardiology,Northeast,Low,1
HCP100525,Oncology,Southeast,High,1
HCP100526,Neurology,Southeast,Low,0
HCP100527,Oncology,Southwest,Low,1
HCP100528,Primary Care,Northeast,High,1
HCP100529,Neurology,West,Medium,1
HCP100530,Neurology,Northeast,Medium,1
HCP100531,Dermatology,Southwest,Medium,1
HCP100532,Primary Care,Mountain,Low,1
HCP100533,Primary Care,Northeast,Low,1
HCP100534,Cardiology,Midwest,Low,1
HCP100535,Primary Care,West,Low,1
HCP100536,Cardiology,West,Low,1
HCP100537,Neurology,Northeast,Low,1
HCP100538,Endocrinology,Southeast,Low,1
HCP100539,Dermatology,Northeast,Low,1
HCP100540,Endocrinology,Southwest,Medium,1
HCP100541,Oncology,Northeast,High,1
HCP100542,Oncology,Midwest,Low,1
HCP100543,Primary Care,Northeast,Low,1
HCP100544,Psychiatry,West,Medium,1
HCP100545,Neurology,Northeast,Low,0
HCP100547,Primary Care,Northeast,Low,1
HCP100548,Oncology,Southwest,Medium,1
HCP100549,Psychiatry,West,Low,1
HCP100550,Oncology,Northeast,High,1
HCP100551,Primary Care,Southeast,Medium,1
HCP100552,Psychiatry,Midwest,Low,1
HCP100553,Psychiatry,Northeast,Low,1
HCP100555,Psychiatry,Midwest,Low,1
HCP100556,Neurology,Southeast,Medium,1
HCP100557,Neurology,Southwest,High,1
HCP100559,Endocrinology,Midwest,High,1
HCP100560,Oncology,Southeast,Low,1
HCP100561,Cardiology,Southwest,Low,1
HCP100562,Primary Care,West,Medium,1
HCP100563,Cardiology,Northeast,Medium,1
HCP100564,Endocrinology,Southwest,Medium,1
HCP100565,Neurology,Southwest,High,1
HCP100566,Primary Care,Southwest,Medium,1
HCP100567,Primary Care,Southeast,Low,1
HCP100568,Cardiology,Southeast,High,1
HCP100569,Endocrinology,Southeast,Low,1
HCP100570,Primary Care,West,Medium,1
HCP100571,Oncology,Southwest,Low,0
HCP100572,Primary Care,Midwest,Low,1
HCP100573,Primary Care,West,Medium,1
HCP100574,Neurology,Midwest,Low,1
HCP100576,Gastroenterology,West,Low,1
HCP100577,Neurology,West,Low,1
HCP100578,Oncology,Southeast,Low,1
HCP100579,Cardiology,Northeast,Medium,1
HCP100580,Primary Care,Midwest,Medium,1
HCP100581,Dermatology,Pacific Northwest,High,1
HCP100583,Dermatology,Midwest,Medium,1
HCP100584,Endocrinology,Pacific Northwest,Low,1
HCP100585,Gastroenterology,Southeast,High,1
HCP100586,Primary Care,Midwest,High,1
HCP100587,Primary Care,West,Low,1
HCP100588,Endocrinology,Midwest,Low,1
HCP100589,Cardiology,Southeast,Medium,1
HCP100590,Psychiatry,Southwest,Low,1
HCP100591,Gastroenterology,West,Medium,1
HCP100592,Cardiology,Pacific Northwest,Low,1
HCP100593,Primary Care,West,Medium,1
HCP100594,Primary Care,Mountain,Low,1
HCP100595,Psychiatry,Pacific Northwest,High,1
HCP100596,Primary Care,Southwest,Low,1
HCP100597,Psychiatry,Midwest,High,1
HCP100598,Primary Care,Midwest,Low,1
HCP100599,Cardiology,Northeast,Low,1
HCP100600,Endocrinology,West,High,1
HCP100601,Cardiology,Southeast,High,1
HCP100602,Dermatology,Southwest,Medium,1
HCP100603,Primary Care,Southwest,Low,1
HCP100604,Dermatology,Midwest,Low,0
HCP100605,Primary Care,West,Medium,1
HCP100606,Cardiology,Midwest,Medium,1
HCP100607,Gastroenterology,Southeast,Medium,1
HCP100608,Primary Care,Pacific Northwest,Medium,1
HCP100609,Cardiology,Northeast,High,1
HCP100610,Cardiology,Southwest,Low,1
HCP100611,Neurology,Southwest,Medium,1
HCP100612,Gastroenterology,West,Medium,1
HCP100613,Gastroenterology,Southeast,Medium,1
HCP100614,Endocrinology,West,Low,1
HCP100615,Endocrinology,Northeast,Low,1
HCP100616,Primary Care,Northeast,High,1
HCP100617,Dermatology,Midwest,Low,1
HCP100618,Dermatology,Northeast,Low,0
HCP100619,Primary Care,Southeast,High,1
HCP100620,Primary Care,Northeast,High,1
HCP100621,Neurology,Mountain,Low,1
HCP100622,Neurology,Southeast,Low,1
HCP100623,Primary Care,Northeast,Low,1
HCP100624,Psychiatry,Northeast,Low,1
HCP100625,Cardiology,Mountain,Low,1
HCP100626,Gastroenterology,West,High,1
HCP100627,Primary Care,Southeast,Medium,1
HCP100628,Endocrinology,West,Low,1
HCP100629,Oncology,West,Low,1
HCP100630,Dermatology,West,High,1
HCP100631,Primary Care,West,Low,1
HCP100632,Psychiatry,West,Medium,1
HCP100633,Oncology,Midwest,Medium,1
HCP100634,Cardiology,West,High,1
HCP100635,Endocrinology,Northeast,Medium,1
HCP100636,Primary Care,Northeast,Medium,1
HCP100637,Primary Care,Pacific Northwest,Medium,1
HCP100638,Psychiatry,Midwest,Medium,0
HCP100639,Cardiology,Northeast,High,1
HCP100640,Cardiology,Northeast,High,1
HCP100641,Gastroenterology,Midwest,Medium,1
HCP100642,Primary Care,Southeast,Low,1
HCP100643,Primary Care,Pacific Northwest,Low,1
HCP100644,Psychiatry,Southwest,Low,1
HCP100645,Endocrinology,West,Medium,1
HCP100646,Dermatology,West,Medium,1
HCP100647,Psychiatry,West,Low,1
HCP100648,Primary Care,Midwest,Low,1
HCP100649,Primary Care,West,Low,0
HCP100650,Primary Care,Northeast,Medium,1
HCP100651,Dermatology,Southeast,Medium,1
HCP100652,Endocrinology,Midwest,Medium,1
HCP100653,Gastroenterology,Southwest,Low,0
HCP100654,Gastroenterology,Northeast,Low,1
HCP100655,Oncology,Southwest,Low,0
HCP100656,Cardiology,Midwest,High,1
HCP100657,Primary Care,Northeast,High,1
HCP100658,Psychiatry,Midwest,Medium,1
HCP100659,Cardiology,Midwest,High,1
HCP100660,Oncology,Southwest,Low,0
HCP100661,Cardiology,Midwest,Medium,1
HCP100662,Cardiology,Southwest,Low,1
HCP100663,Cardiology,Northeast,High,1
HCP100664,Cardiology,Midwest,Medium,1
HCP100665,Dermatology,Northeast,Low,1
HCP100666,Psychiatry,Northeast,Low,1
HCP100667,Gastroenterology,Mountain,Low,1
HCP100668,Dermatology,Midwest,Low,1
HCP100670,Neurology,Southeast,Medium,1
HCP100671,Endocrinology,Northeast,High,1
HCP100672,Gastroenterology,Northeast,Low,1
