event_id,honorarium,venue,meal,travel,agency,total,finance_review_flag
EV2047,3616.45,647.62,1221.94,1368.18,2791.43,9645.62,0
EV2048,2397.57,1020.39,936.88,1203.42,3057.35,8615.61,0
EV2049,3160.14,1087.14,1107.63,2792.52,3573.0,11720.43,0
EV2050,3881.79,1528.88,1778.76,1712.89,1701.83,10604.15,0
EV2051,3893.93,1614.86,2524.54,1786.51,3033.19,12853.03,0
EV2052,2417.12,174.87,224.05,6.57,1608.84,4431.45,0
EV2053,602.54,86.47,5.09,31.19,1590.74,2316.03,0
EV2054,4689.12,1493.18,1661.66,3452.03,2831.52,14127.51,0
EV2055,2006.18,390.32,59.85,112.64,1390.7,3959.69,0
EV2056,3129.85,1896.01,2411.2,2527.37,3439.96,13404.39,0
EV2057,3427.55,1860.2,3287.83,2827.73,2405.53,13808.84,0
EV2058,2394.3,192.04,383.34,111.05,1053.91,4134.64,0
EV2059,1730.64,403.74,178.53,10.86,1159.86,3483.63,0
EV2060,2546.86,595.02,542.8,833.66,2434.77,6953.11,0
EV2061,2128.79,360.04,387.37,69.74,1348.48,4294.42,0
EV2062,1750.58,441.55,393.14,25.88,2349.36,4960.51,0
EV2063,2361.5,1177.75,949.15,2585.58,3263.69,10337.67,0
EV2064,2279.28,164.69,274.53,40.69,1931.61,4690.8,0
EV2065,11956.97,3898.95,6823.65,5956.48,8685.09,37321.14,1
EV2066,3092.71,1062.87,759.55,1889.76,3170.47,9975.36,0
EV2067,3064.2,661.5,717.43,1289.26,1612.95,7345.34,0
EV2068,3551.95,739.84,1102.94,980.22,2142.11,8517.06,0
EV2069,1856.27,157.91,226.25,78.44,1438.88,3757.75,0
EV2070,2829.41,1408.76,1791.85,2959.05,2311.95,11301.02,0
EV2071,1949.58,374.97,51.66,84.37,1795.62,4256.2,0
EV2072,1241.05,228.53,32.3,520.64,1694.76,3717.28,0
EV2073,3642.54,1712.72,1640.0,2865.9,2361.92,12223.08,0
EV2074,3303.79,1180.86,1265.13,2495.85,2001.24,10246.87,0
EV2075,3526.28,1986.45,3223.84,2963.36,2898.95,14598.88,0
EV2076,2536.52,162.65,234.56,41.61,1862.92,4838.26,0
EV2077,2447.2,177.8,40.15,27.37,1956.93,4649.45,0
EV2078,2827.03,721.04,1180.39,1271.08,2917.99,8917.53,0
EV2079,3823.42,1244.3,1453.78,3313.25,1903.23,11737.98,0
EV2080,2547.77,417.27,169.95,68.21,1329.27,4532.47,0
EV2081,2099.62,339.07,591.93,59.01,1264.63,4354.26,0
EV2082,3027.84,1305.49,1572.52,2123.14,2545.02,10574.01,0
EV2083,2487.87,199.28,261.68,103.12,1652.34,4704.29,0
EV2084,3594.42,1084.84,968.72,2375.57,1671.08,9694.63,0
EV2085,3388.93,1278.73,1657.5,2912.17,1717.42,10954.75,0
EV2086,2213.36,364.88,252.69,51.27,2251.74,5133.94,0
EV2087,2305.51,859.8,1307.17,1645.58,2639.23,8757.29,0
EV2088,3286.35,728.65,1351.6,1825.37,3298.4,10490.37,0
EV2089,1582.45,355.13,302.01,112.99,981.15,3333.73,0
EV2090,2448.47,454.13,48.68,43.49,2137.93,5132.7,0
EV2091,2012.08,251.47,564.27,103.6,1384.58,4316.0,0
EV2092,2571.93,380.86,59.11,92.41,2083.7,5188.01,0
EV2093,2259.79,329.77,523.67,86.93,1337.3,4537.46,0
EV2094,2935.78,782.3,918.48,889.55,2294.35,7820.46,0
EV2095,1657.8,462.82,396.8,36.64,2071.73,4625.79,0
EV2096,2405.4,677.87,844.98,1001.83,2727.11,7657.19,0
EV2097,3679.23,1400.19,1916.57,2691.79,3593.33,13281.11,0
EV2098,3557.96,997.72,363.62,1652.83,1906.44,8478.57,0
EV2099,2581.83,678.47,633.4,933.81,2163.06,6990.57,0
EV2100,3402.53,749.71,1601.12,1517.75,1993.05,9264.16,0
EV2101,3317.98,1389.8,2633.94,3626.21,3484.13,14452.06,0
EV2102,3950.77,1843.44,3480.99,3481.83,2427.13,15184.16,0
EV2103,3661.87,1479.1,1673.89,1763.36,2195.59,10773.81,0
EV2104,3591.8,598.21,372.25,941.91,3120.77,8624.94,0
EV2105,3610.56,1139.56,719.22,2522.59,2316.79,10308.72,0
EV2106,4045.95,1516.45,2039.59,1680.24,2139.54,11421.77,0
EV2107,3027.09,544.14,715.74,1170.32,1636.24,7093.53,0
EV2108,2728.0,670.34,1146.24,1277.56,3282.74,9104.88,0
EV2109,1586.29,305.03,392.89,61.06,1136.46,3481.73,0
EV2110,3596.14,1151.29,986.22,2281.85,1660.48,9675.98,0
EV2111,3155.33,619.26,411.8,583.56,2144.41,6914.36,0
EV2112,1677.45,304.89,279.02,108.25,1004.2,3373.81,0
EV2113,3674.0,618.39,507.13,867.82,2248.43,7915.77,0
EV2114,3509.26,1489.89,1455.09,3115.49,1844.76,11414.49,0
EV2115,1525.82,443.83,47.65,698.24,1276.3,3991.84,0
EV2116,4617.77,1313.89,1014.29,3202.45,3202.01,13350.41,0
EV2117,1947.08,224.26,267.28,63.83,1478.63,3981.08,0
EV2118,1689.97,262.25,407.19,5.7,1053.18,3418.29,0
EV2119,3128.29,653.46,981.13,1444.41,2835.85,9043.14,0
EV2120,4623.11,1055.11,520.75,2627.27,2620.33,11446.57,0
EV2121,3127.88,591.91,643.91,1363.37,3148.19,8875.26,0
EV2122,3582.96,1108.24,1112.49,2421.31,2096.37,10321.37,0
EV2123,2673.33,518.3,462.11,521.64,2628.75,6804.13,0
EV2124,3031.82,1524.23,1583.9,2795.66,1940.05,10875.66,0
EV2125,2915.36,651.69,827.32,723.84,1665.42,6783.63,0
EV2126,3514.48,1652.07,2375.19,2031.54,2445.34,12018.62,0
EV2127,3020.11,1429.79,2478.41,3490.05,3514.25,13932.61,0
EV2128,3594.71,1300.3,916.91,2068.56,3073.74,10954.22,0
EV2129,660.77,304.85,82.6,520.66,1050.36,2619.24,0
EV2130,2358.97,234.14,1187.86,74.99,1739.72,5595.68,0
EV2131,2564.12,181.64,182.06,66.16,2077.91,5071.89,0
EV2132,2507.63,309.98,49.24,44.69,1817.76,4729.3,0
EV2133,3889.69,1770.02,2701.35,2499.27,2903.07,13763.4,0
EV2134,2482.32,321.97,574.02,94.84,1550.33,5023.48,0
EV2135,2341.54,170.63,130.77,22.75,1242.35,3908.04,0
EV2136,3396.46,1370.46,2066.78,2773.94,3598.47,13206.11,0
EV2137,3288.87,1228.11,1446.26,2897.73,2590.21,11451.18,0
EV2138,517.77,79.81,17.71,1.17,965.25,1581.71,0
EV2139,3455.42,592.63,820.06,1016.13,2577.13,8461.37,0
EV2140,994.49,193.97,45.23,370.82,1058.5,2663.01,0
EV2141,1626.71,434.31,395.65,119.02,2371.29,4946.98,0
EV2142,4390.41,1862.85,2502.14,4140.99,2867.06,15763.45,0
EV2143,2014.41,368.21,141.66,64.76,1484.71,4073.75,0
EV2144,2942.39,1824.73,2497.31,1692.78,3539.85,12497.06,0
EV2145,4243.22,1435.59,1652.09,2028.35,2278.14,11637.39,0
EV2146,3270.94,1196.51,1110.0,3045.43,3086.27,11709.15,0
EV2147,2689.56,1356.63,1553.06,2580.63,2196.28,10376.16,0
EV2148,3889.73,1643.61,2881.36,2888.48,3276.61,14579.79,0
EV2149,2741.86,1301.7,2045.26,2090.75,2216.4,10395.97,0
EV2150,2092.62,219.08,453.72,102.27,1117.99,3985.68,0
EV2151,2305.99,526.82,419.55,1299.15,1855.27,6406.78,0
EV2152,2790.21,673.68,428.46,1005.57,2536.22,7434.14,0
EV2153,1601.45,363.49,16.85,47.69,2215.71,4245.19,0
EV2154,2666.29,580.05,563.02,832.47,2421.41,7063.24,0
EV2155,2099.4,196.73,221.98,97.02,2217.12,4832.25,0
EV2156,2448.14,903.9,1894.11,1310.05,1840.54,8396.74,0
EV2157,2241.42,593.81,504.01,1098.52,3048.27,7486.03,0
EV2158,3450.42,1213.41,1087.57,1902.33,2119.83,9773.56,0
EV2159,2921.41,1310.45,1344.75,1878.13,2639.64,10094.38,0
EV2160,2737.21,726.03,1525.65,1452.31,2696.98,9138.18,0
EV2161,4801.07,1423.31,1396.48,2255.24,2514.09,12390.19,0
EV2162,2127.63,331.06,517.28,2.08,1896.51,4874.56,0
EV2163,3661.47,722.66,996.81,1233.27,2704.7,9318.91,0
EV2164,2917.75,1264.6,1333.82,1961.69,2777.81,10255.67,0
EV2165,988.74,384.16,78.88,779.29,1356.5,3587.57,0
EV2166,1490.96,278.67,158.51,99.76,1484.48,3512.38,0
EV2167,2228.97,299.72,166.46,8.8,2070.29,4774.24,0
EV2168,1541.71,311.69,634.0,10.35,1113.44,3611.19,0
EV2169,4038.05,1313.24,1194.87,2322.69,3554.06,12422.91,0
EV2170,2861.64,1094.96,1054.15,3048.43,2949.84,11009.02,0
EV2171,1141.53,217.31,43.01,335.47,1464.14,3201.46,0
EV2172,2182.95,373.43,249.59,25.5,1682.21,4513.68,0
EV2173,2330.03,606.48,786.57,1154.09,3231.36,8108.53,0
EV2174,874.98,68.95,3.55,7.62,1453.07,2408.17,0
EV2175,4245.77,1325.33,1164.68,2388.51,2588.26,11712.55,0
EV2176,2624.95,703.99,550.82,677.71,2747.56,7305.03,0
EV2177,637.75,98.7,5.67,7.6,1399.73,2149.45,0
EV2178,3893.81,650.14,630.25,1586.83,1722.83,8483.86,0
EV2179,2603.68,1155.38,1237.03,2235.97,2177.66,9409.72,0
EV2180,2037.75,401.64,393.67,103.09,1775.06,4711.21,0
EV2181,4286.54,1405.57,1113.8,3307.83,1606.89,11720.63,0
EV2182,1939.4,188.13,93.55,27.26,1515.63,3763.97,0
EV2183,3670.57,650.57,617.37,1338.73,3007.1,9284.34,0
EV2184,2073.25,254.89,658.48,46.37,902.94,3935.93,0
EV2185,3949.66,1173.74,1119.85,1804.14,3083.02,11130.41,0
EV2186,6415.94,1311.19,133.28,314.28,6011.09,14185.78,1
EV2187,1693.93,306.56,1.0,52.0,1122.55,3176.04,0
EV2188,4110.63,1528.39,1898.54,3535.9,2529.32,13602.78,0
EV2189,4535.5,1391.62,1440.83,2113.99,3427.64,12909.58,0
EV2190,1714.65,227.18,69.25,95.59,1311.12,3417.79,0
EV2191,5637.94,1481.41,139.17,4019.95,6618.83,17897.3,0
EV2192,4735.64,2095.82,3562.11,3330.65,2988.69,16712.91,0
EV2193,3869.86,765.79,608.47,1389.9,1960.61,8594.63,0
EV2194,2960.96,1461.87,1853.38,3511.25,2174.88,11962.34,0
EV2195,4617.4,1682.85,2558.92,3336.18,2948.55,15143.9,0
EV2196,3915.6,1251.59,794.59,1876.14,2599.08,10437.0,0
EV2197,4403.67,1269.45,1289.93,1932.94,3068.6,11964.59,0
EV2198,3867.14,1241.39,1120.45,2529.96,2420.83,11179.77,0
EV2199,2335.96,227.89,51.07,72.58,1398.11,4085.61,0
EV2200,3090.11,1528.98,2181.52,3282.07,2505.2,12587.88,0
EV2201,2461.78,371.38,653.91,105.11,1954.91,5547.09,0
EV2202,4365.62,1591.35,2351.02,3636.03,3277.5,15221.52,0
EV2203,3896.38,3343.46,6479.74,3375.04,2121.07,19215.69,0
EV2204,3190.0,1336.81,1980.37,2431.42,3030.39,11968.99,0
EV2205,4355.47,1719.41,2304.83,3004.65,2152.96,13537.32,0
EV2206,3897.24,684.83,857.66,924.93,2085.36,8450.02,0
EV2207,3918.97,1298.11,1049.38,1844.64,3555.89,11666.99,0
EV2208,3786.99,1219.51,1487.62,2660.78,3550.09,12704.99,0
EV2209,2633.72,1447.79,1456.16,2721.3,1777.2,10036.17,0
EV2210,1989.47,369.89,133.63,41.73,2192.11,4726.83,0
EV2211,4656.51,1123.77,1229.18,2723.96,1757.87,11491.29,0
EV2212,2497.23,421.4,448.98,10.12,1632.12,5009.85,0
EV2213,2481.33,342.59,134.51,79.42,2243.77,5281.62,0
EV2214,3476.63,732.37,649.68,754.66,2030.51,7643.85,0
EV2215,2800.25,1025.02,671.86,1559.48,2143.85,8200.46,0
EV2216,2619.89,1390.61,1230.01,2340.1,3231.74,10812.35,0
EV2217,3469.96,571.59,526.08,1275.91,3208.31,9051.85,0
EV2218,4700.71,1419.33,1349.37,2996.89,1997.09,12463.39,0
EV2219,1699.23,326.91,19.09,118.09,1361.48,3524.8,0
EV2220,2971.97,2303.05,4308.08,3603.61,2549.6,15736.31,0
EV2221,1657.65,271.63,147.32,64.27,2192.49,4333.36,0
EV2222,4087.81,1256.24,854.46,1808.39,3128.23,11135.13,0
EV2223,3641.05,1599.82,1945.51,3040.44,2050.63,12277.45,0
EV2224,2558.69,366.45,202.56,103.05,1663.01,4893.76,0
EV2225,3120.49,1422.93,1354.42,2544.0,1722.66,10164.5,0
EV2226,1703.71,463.99,185.51,112.63,2296.65,4762.49,0
EV2227,4400.46,1164.76,995.8,1705.78,1694.86,9961.66,0
EV2228,16551.54,4703.09,4834.6,8270.05,6619.67,40978.95,1
EV2229,2908.68,1481.05,2220.11,2885.94,2059.76,11555.54,0
EV2230,3974.77,1120.88,830.6,1862.13,1766.81,9555.19,0
EV2231,4287.47,1845.67,2671.26,3235.02,1929.03,13968.45,0
EV2232,1634.92,236.26,450.9,106.83,2038.81,4467.72,0
EV2233,2931.0,1619.15,2382.73,3092.08,3568.22,13593.18,0
EV2234,3565.53,1102.11,793.84,2748.45,2947.94,11157.87,0
EV2235,3404.21,1567.16,2427.37,3007.39,2162.4,12568.53,0
EV2236,2249.92,934.78,1396.65,1426.89,1572.44,7580.68,0
EV2237,1104.1,331.75,95.94,681.11,1532.26,3745.16,0
EV2238,1058.98,650.56,228.44,1454.09,1522.77,4914.84,0
EV2239,2429.95,436.47,303.19,102.75,1399.4,4671.76,0
EV2240,1459.63,263.19,239.69,75.0,1278.45,3315.96,0
EV2241,4701.35,1190.71,954.06,1692.14,2706.07,11244.33,0
EV2242,3835.6,1496.63,2325.42,2790.65,2351.05,12799.35,0
EV2243,2366.75,165.67,5.32,30.31,940.04,3508.09,0
EV2244,2184.34,273.44,515.54,19.12,1167.16,4159.6,0
EV2245,1535.1,372.54,262.31,17.32,1812.34,3999.61,0
EV2246,2056.34,437.06,98.42,17.69,1860.59,4470.1,0
EV2247,3806.54,1330.64,1209.34,2889.73,2981.13,12217.38,0
EV2248,3629.64,1603.75,2437.91,2890.29,3356.85,13918.44,0
EV2249,2710.5,630.18,551.03,891.55,2806.48,7589.74,0
EV2250,3238.65,1218.93,1181.44,2768.57,2145.69,10553.28,0
EV2251,2495.35,306.37,169.05,89.71,1464.27,4524.75,0
EV2252,4215.53,1580.73,2479.26,4087.55,2031.5,14394.57,0
EV2253,1792.93,471.27,98.0,89.36,2298.91,4750.47,0
EV2254,4229.76,2123.24,4024.93,3267.7,2652.73,16298.36,0
EV2255,2677.56,643.76,818.26,917.23,1546.39,6603.2,0
EV2256,1721.54,176.71,159.79,78.94,1531.54,3668.52,0
EV2257,2479.43,200.69,523.94,32.07,1495.2,4731.33,0
EV2258,2825.4,1116.33,631.48,1699.56,2165.09,8437.86,0
EV2259,2119.99,239.0,118.05,35.71,1154.35,3667.1,0
EV2260,3039.17,1359.63,1835.63,2654.26,3027.69,11916.38,0
EV2261,3598.11,1252.59,1249.81,3269.33,2466.11,11835.95,0
EV2262,3740.31,778.72,1356.07,1293.07,1860.39,9028.56,0
EV2263,1910.17,294.02,216.02,50.42,2272.49,4743.12,0
EV2264,3165.05,766.25,1041.5,1329.04,2817.56,9119.4,0
EV2265,4793.81,1053.99,619.91,1550.91,3409.81,11428.43,0
EV2266,2154.75,297.99,759.66,56.0,910.83,4179.23,0
EV2267,2880.21,631.59,773.79,1346.29,2384.53,8016.41,0
EV2268,2480.08,640.58,929.2,611.87,2818.43,7480.16,0
EV2269,2527.4,995.69,401.21,2090.87,2935.59,8950.76,0
EV2270,3664.84,793.1,684.15,1271.1,2751.82,9165.01,0
EV2271,3823.0,1184.44,1093.66,1594.37,2150.04,9845.51,0
EV2272,2548.0,210.27,97.8,38.74,2013.0,4907.81,0
EV2273,4022.78,1229.25,837.45,2775.94,3438.03,12303.45,0
EV2274,4039.69,1259.51,1507.95,1754.53,3208.74,11770.42,0
EV2275,3590.56,622.58,620.74,875.41,2213.02,7922.31,0
EV2276,658.2,287.89,135.26,482.81,1772.09,3336.25,0
EV2277,4315.98,1521.14,1668.8,2107.91,2373.2,11987.03,0
EV2278,1667.19,388.12,465.53,16.4,1925.49,4462.73,0
EV2279,1471.67,273.61,146.97,83.12,2027.65,4003.02,0
EV2280,2211.83,380.1,69.4,35.12,1874.4,4570.85,0
EV2281,3588.24,1151.74,829.94,2369.58,3096.97,11036.47,0
EV2282,3400.34,510.29,402.47,934.33,3036.24,8283.67,0
EV2283,3988.94,1540.84,2151.3,1967.36,1879.19,11527.63,0
EV2284,1719.34,347.04,207.61,37.69,1900.08,4211.76,0
EV2285,4369.44,1092.08,715.02,2495.37,2941.66,11613.57,0
EV2286,2559.58,399.33,109.3,6.78,1555.08,4630.07,0
EV2287,2069.0,183.16,107.32,69.44,1521.73,3950.65,0
EV2288,4223.6,1375.88,1468.41,1620.91,3375.34,12064.14,0
EV2289,1958.42,405.89,194.16,60.99,1506.13,4125.59,0
EV2290,3686.7,1544.08,2520.17,2978.91,3239.88,13969.74,0
EV2291,3594.66,1647.35,2673.27,4023.69,3086.2,15025.17,0
EV2292,3139.92,1317.37,1497.85,2640.6,3083.7,11679.44,0
EV2293,14025.31,4429.94,5565.67,9655.14,10590.33,44266.39,1
EV2294,3625.42,1269.8,1059.79,2409.47,2843.42,11207.9,0
EV2295,3058.38,1339.05,1591.18,3331.77,2888.95,12209.33,0
EV2296,3986.15,1197.8,707.05,2088.62,1650.7,9630.32,0
EV2297,3001.42,704.44,528.46,1215.42,2382.65,7832.39,0
EV2298,2312.86,1283.72,1155.52,1671.09,2803.89,9227.08,0
EV2299,2455.95,1132.7,912.51,1830.71,1737.56,8069.43,0
EV2300,3747.58,1529.57,1748.66,3015.91,2271.26,12312.98,0
