event_id,event_date,treatment,control_candidate,excluded,total_invited
EV2059,2025-01-13,22,35,8,65
EV2060,2025-01-14,5,37,8,50
EV2061,2025-01-14,18,90,21,129
EV2062,2025-01-15,39,124,34,197
EV2063,2025-01-23,4,30,4,38
EV2064,2025-01-23,20,64,10,94
EV2065,2025-01-24,12,92,15,119
EV2066,2025-01-28,0,58,9,67
EV2067,2025-01-28,9,36,17,62
EV2068,2025-01-30,16,56,6,78
EV2069,2025-02-01,12,37,5,54
EV2070,2025-02-01,9,73,7,89
EV2071,2025-02-02,9,23,4,36
EV2073,2025-02-07,17,86,8,111
EV2074,2025-02-10,4,49,5,58
EV2075,2025-02-11,19,141,7,167
EV2076,2025-02-18,15,77,26,118
EV2077,2025-02-19,11,34,6,51
EV2078,2025-02-19,21,53,6,80
EV2079,2025-02-21,7,45,5,57
EV2080,2025-02-23,17,57,2,76
EV2081,2025-03-01,28,64,15,107
EV2082,2025-03-02,9,63,4,76
EV2083,2025-03-04,8,27,1,36
EV2084,2025-03-04,6,34,1,41
EV2085,2025-03-05,10,70,5,85
EV2086,2025-03-06,19,52,7,78
EV2087,2025-03-08,25,106,15,146
EV2088,2025-03-11,20,87,7,114
EV2089,2025-03-12,25,73,4,102
EV2090,2025-03-14,7,28,15,50
EV2091,2025-03-14,20,75,26,121
EV2092,2025-03-15,6,28,1,35
EV2093,2025-03-15,30,78,13,121
EV2094,2025-03-16,13,57,14,84
EV2095,2025-03-16,27,87,7,121
EV2096,2025-03-17,7,56,21,84
EV2097,2025-03-21,6,67,9,82
EV2098,2025-03-25,1,26,3,30
EV2099,2025-04-09,8,59,7,74
EV2100,2025-04-12,13,76,8,97
EV2101,2025-04-13,11,80,9,100
EV2102,2025-04-15,13,149,36,198
EV2103,2025-04-16,7,75,12,94
EV2104,2025-04-16,6,40,6,52
EV2105,2025-04-18,2,41,12,55
EV2106,2025-04-21,9,42,4,55
EV2107,2025-04-21,9,45,6,60
EV2108,2025-04-24,11,45,6,62
EV2109,2025-04-26,17,87,11,115
EV2110,2025-04-27,4,46,8,58
EV2111,2025-04-30,10,34,11,55
EV2112,2025-05-01,12,52,8,72
EV2113,2025-05-02,8,37,8,53
EV2114,2025-05-08,13,66,8,87
EV2116,2025-05-09,12,64,6,82
EV2117,2025-05-09,49,134,10,193
EV2118,2025-05-10,19,61,16,96
EV2119,2025-05-11,12,42,8,62
EV2120,2025-05-11,3,32,2,37
EV2121,2025-05-11,8,31,5,44
EV2122,2025-05-19,3,50,2,55
EV2123,2025-05-21,4,30,5,39
EV2124,2025-05-30,7,64,7,78
EV2125,2025-06-05,11,57,14,82
EV2126,2025-06-07,10,127,13,150
EV2127,2025-06-08,9,106,31,146
EV2128,2025-06-10,4,47,8,59
EV2130,2025-06-18,39,148,69,256
EV2131,2025-06-20,16,72,22,110
EV2132,2025-06-25,8,37,9,54
EV2133,2025-06-28,5,111,12,128
EV2134,2025-07-04,30,85,6,121
EV2135,2025-07-04,11,30,4,45
EV2136,2025-07-13,6,78,10,94
EV2137,2025-07-20,9,30,2,41
EV2139,2025-07-21,18,41,4,63
EV2141,2025-07-30,40,86,11,137
EV2142,2025-07-31,14,85,6,105
EV2143,2025-08-02,12,44,5,61
EV2144,2025-08-04,14,100,8,122
EV2145,2025-08-04,4,83,8,95
EV2146,2025-08-15,6,46,1,53
EV2147,2025-08-17,6,45,4,55
EV2148,2025-08-18,14,69,9,92
EV2149,2025-08-18,14,50,5,69
EV2150,2025-08-18,25,71,9,105
EV2151,2025-08-21,6,51,2,59
EV2152,2025-08-25,9,48,17,74
EV2153,2025-08-29,20,51,5,76
EV2154,2025-09-02,8,40,6,54
EV2155,2025-09-03,38,100,9,147
EV2156,2025-09-03,27,121,24,172
EV2157,2025-09-03,4,38,8,50
EV2158,2025-09-04,4,48,3,55
EV2159,2025-09-05,10,35,7,52
EV2160,2025-09-05,18,92,8,118
EV2161,2025-09-05,6,47,10,63
EV2162,2025-09-06,39,84,6,129
EV2163,2025-09-06,14,43,15,72
EV2164,2025-09-07,5,44,3,52
EV2166,2025-09-10,29,86,9,124
EV2167,2025-09-23,20,66,7,93
EV2168,2025-09-24,25,68,21,114
EV2169,2025-09-25,12,42,6,60
EV2170,2025-09-27,6,40,5,51
EV2172,2025-09-29,18,85,10,113
EV2173,2025-09-30,13,54,5,72
EV2175,2025-10-06,4,42,11,57
EV2176,2025-10-10,10,65,7,82
EV2178,2025-10-17,10,57,9,76
EV2179,2025-10-17,8,50,4,62
EV2180,2025-10-23,24,97,23,144
EV2181,2025-10-23,8,58,2,68
EV2182,2025-10-26,17,49,7,73
EV2183,2025-10-31,17,75,7,99
EV2184,2025-11-01,46,125,22,193
EV2185,2025-11-03,6,66,4,76
EV2186,2025-11-04,21,74,9,104
EV2187,2025-11-04,18,54,17,89
EV2188,2025-11-04,10,64,7,81
EV2189,2025-11-07,9,52,5,66
EV2190,2025-11-10,9,44,6,59
EV2192,2025-11-14,14,146,33,193
EV2193,2025-11-16,11,57,14,82
EV2194,2025-11-19,6,79,10,95
EV2195,2025-11-20,11,74,5,90
EV2196,2025-11-28,3,45,4,52
EV2197,2025-11-29,10,47,6,63
EV2198,2025-12-05,6,50,4,60
EV2199,2025-12-06,22,35,16,73
EV2200,2025-12-06,9,70,11,90
EV2201,2025-12-06,34,104,15,153
EV2202,2025-12-11,14,141,16,171
EV2203,2025-12-14,36,205,22,263
EV2204,2025-12-14,8,67,11,86
EV2205,2025-12-17,9,68,5,82
EV2206,2025-12-19,13,38,10,61
EV2207,2025-12-20,5,35,16,56
EV2208,2025-12-24,10,32,3,45
EV2209,2025-12-29,8,62,14,84
EV2210,2025-12-30,22,76,19,117
EV2211,2025-12-31,5,33,4,42
EV2212,2025-12-31,19,66,20,105
EV2213,2026-01-03,7,29,2,38
EV2214,2026-01-07,22,63,10,95
EV2215,2026-01-10,3,32,7,42
EV2216,2026-01-12,8,45,5,58
EV2217,2026-01-13,7,30,13,50
EV2218,2026-01-19,8,48,4,60
EV2219,2026-01-22,9,33,10,52
EV2220,2026-01-24,22,137,14,173
EV2221,2026-01-25,27,60,7,94
EV2222,2026-01-26,4,49,7,60
EV2223,2026-01-28,9,89,10,108
EV2224,2026-01-28,17,52,7,76
EV2225,2026-02-03,10,56,3,69
EV2226,2026-02-06,9,28,4,41
EV2227,2026-02-10,7,39,5,51
EV2228,2026-02-11,6,41,3,50
EV2229,2026-02-13,13,73,12,98
EV2230,2026-02-16,4,35,4,43
EV2231,2026-02-17,14,67,15,96
EV2232,2026-02-17,51,133,40,224
EV2233,2026-02-17,11,84,3,98
EV2234,2026-02-21,5,37,4,46
EV2235,2026-02-22,10,71,9,90
EV2236,2026-02-22,22,100,10,132
EV2239,2026-02-23,30,93,8,131
EV2240,2026-02-26,13,46,5,64
EV2241,2026-03-04,2,75,4,81
EV2242,2026-03-06,9,62,11,82
EV2243,2026-03-09,13,44,7,64
EV2244,2026-03-09,25,85,29,139
EV2245,2026-03-16,37,83,2,122
EV2246,2026-03-17,10,36,6,52
EV2247,2026-03-19,7,69,6,82
EV2248,2026-03-21,12,89,9,110
EV2249,2026-03-21,9,39,6,54
EV2250,2026-03-23,7,46,4,57
EV2251,2026-03-27,12,54,8,74
EV2252,2026-03-27,14,96,18,128
EV2253,2026-03-27,30,111,25,166
EV2254,2026-03-28,13,128,23,164
EV2255,2026-03-29,12,35,11,58
EV2256,2026-03-29,23,71,26,120
EV2257,2026-03-31,31,69,5,105
EV2258,2026-04-05,4,25,2,31
EV2259,2026-04-08,15,54,9,78
EV2260,2026-04-16,11,82,9,102
EV2261,2026-04-16,7,60,12,79
EV2262,2026-04-17,17,83,6,106
EV2263,2026-04-18,20,52,7,79
EV2264,2026-04-19,13,83,7,103
EV2265,2026-04-21,3,30,2,35
EV2266,2026-04-21,56,134,19,209
EV2267,2026-04-26,17,50,4,71
EV2268,2026-04-26,15,51,4,70
EV2269,2026-05-08,3,37,1,41
EV2270,2026-05-09,16,65,3,84
EV2271,2026-05-14,9,48,8,65
EV2272,2026-05-18,23,66,9,98
EV2273,2026-05-23,7,66,8,81
EV2274,2026-05-24,8,70,13,91
EV2275,2026-05-24,9,43,6,58
ALL_EVENTS,,3635,16952,2550,23137
