master_hcp_id,event_id,event_date,group,exclusion_reason,contaminated
HCP102061,EV2001,2024-09-01,excluded,contaminated_overlapping_exposure,True
HCP101040,EV2001,2024-09-01,control_candidate,,False
HCP102138,EV2001,2024-09-01,treatment,,False
HCP100965,EV2001,2024-09-01,control_candidate,,False
HCP100224,EV2001,2024-09-01,control_candidate,,False
HCP100027,EV2001,2024-09-01,control_candidate,,False
HCP101329,EV2001,2024-09-01,treatment,,False
HCP102020,EV2001,2024-09-01,control_candidate,,False
HCP101642,EV2001,2024-09-01,treatment,,False
HCP101085,EV2001,2024-09-01,treatment,,False
HCP100757,EV2001,2024-09-01,control_candidate,,False
HCP101321,EV2001,2024-09-01,control_candidate,,False
HCP102407,EV2001,2024-09-01,control_candidate,,False
HCP101494,EV2001,2024-09-01,treatment,,False
HCP101537,EV2001,2024-09-01,treatment,,False
HCP101384,EV2001,2024-09-01,control_candidate,,False
HCP102394,EV2001,2024-09-01,control_candidate,,False
HCP102386,EV2001,2024-09-01,control_candidate,,False
HCP102021,EV2001,2024-09-01,treatment,,False
HCP100081,EV2001,2024-09-01,control_candidate,,False
HCP101519,EV2002,2024-09-02,control_candidate,,False
HCP101157,EV2002,2024-09-02,control_candidate,,False
HCP101449,EV2002,2024-09-02,control_candidate,,False
HCP100429,EV2002,2024-09-02,excluded,insufficient_pre_event_rx_history,False
HCP101305,EV2002,2024-09-02,control_candidate,,False
HCP101713,EV2002,2024-09-02,control_candidate,,False
HCP100560,EV2002,2024-09-02,control_candidate,,False
HCP101300,EV2002,2024-09-02,control_candidate,,False
HCP101585,EV2002,2024-09-02,treatment,,False
HCP101057,EV2002,2024-09-02,control_candidate,,False
HCP100069,EV2002,2024-09-02,control_candidate,,False
HCP100927,EV2002,2024-09-02,control_candidate,,False
HCP100436,EV2002,2024-09-02,control_candidate,,False
HCP100991,EV2002,2024-09-02,control_candidate,,False
HCP100225,EV2002,2024-09-02,treatment,,False
HCP100017,EV2002,2024-09-02,control_candidate,,False
HCP102148,EV2002,2024-09-02,excluded,insufficient_pre_event_rx_history,False
HCP100016,EV2002,2024-09-02,control_candidate,,False
HCP101426,EV2002,2024-09-02,treatment,,False
HCP100353,EV2002,2024-09-02,excluded,insufficient_pre_event_rx_history,False
HCP100270,EV2002,2024-09-02,control_candidate,,False
HCP101726,EV2002,2024-09-02,excluded,insufficient_pre_event_rx_history,False
HCP101565,EV2002,2024-09-02,treatment,,False
HCP101440,EV2002,2024-09-02,treatment,,False
HCP100511,EV2002,2024-09-02,control_candidate,,False
HCP101504,EV2002,2024-09-02,control_candidate,,False
HCP102280,EV2002,2024-09-02,excluded,insufficient_pre_event_rx_history,False
HCP101086,EV2002,2024-09-02,control_candidate,,False
HCP101064,EV2002,2024-09-02,control_candidate,,False
HCP101355,EV2002,2024-09-02,control_candidate,,False
HCP101325,EV2002,2024-09-02,excluded,insufficient_pre_event_rx_history,False
HCP102474,EV2002,2024-09-02,control_candidate,,False
HCP101212,EV2002,2024-09-02,control_candidate,,False
HCP100213,EV2002,2024-09-02,control_candidate,,False
HCP100655,EV2002,2024-09-02,control_candidate,,False
HCP102258,EV2002,2024-09-02,control_candidate,,False
HCP100391,EV2002,2024-09-02,control_candidate,,False
HCP102191,EV2002,2024-09-02,control_candidate,,False
HCP101249,EV2002,2024-09-02,control_candidate,,False
HCP100010,EV2002,2024-09-02,treatment,,False
HCP102126,EV2002,2024-09-02,control_candidate,,False
HCP101943,EV2002,2024-09-02,excluded,contaminated_overlapping_exposure,True
HCP101061,EV2002,2024-09-02,control_candidate,,False
HCP100561,EV2002,2024-09-02,control_candidate,,False
HCP102147,EV2002,2024-09-02,control_candidate,,False
HCP102030,EV2002,2024-09-02,control_candidate,,False
HCP100296,EV2002,2024-09-02,control_candidate,,False
HCP102187,EV2002,2024-09-02,control_candidate,,False
HCP101265,EV2002,2024-09-02,control_candidate,,False
HCP101812,EV2002,2024-09-02,treatment,,False
HCP100344,EV2002,2024-09-02,excluded,contaminated_overlapping_exposure,True
HCP102084,EV2002,2024-09-02,control_candidate,,False
HCP102074,EV2002,2024-09-02,control_candidate,,False
HCP102413,EV2002,2024-09-02,control_candidate,,False
HCP101803,EV2002,2024-09-02,control_candidate,,False
HCP100842,EV2002,2024-09-02,control_candidate,,False
HCP101393,EV2002,2024-09-02,control_candidate,,False
HCP101032,EV2002,2024-09-02,treatment,,False
HCP100541,EV2002,2024-09-02,control_candidate,,False
HCP101458,EV2002,2024-09-02,control_candidate,,False
HCP100308,EV2002,2024-09-02,control_candidate,,False
HCP100889,EV2002,2024-09-02,control_candidate,,False
HCP101612,EV2002,2024-09-02,control_candidate,,False
HCP101579,EV2002,2024-09-02,excluded,insufficient_pre_event_rx_history,False
HCP102397,EV2002,2024-09-02,excluded,insufficient_pre_event_rx_history,False
HCP101074,EV2002,2024-09-02,control_candidate,,False
HCP101097,EV2002,2024-09-02,control_candidate,,False
HCP102353,EV2002,2024-09-02,control_candidate,,False
HCP102383,EV2002,2024-09-02,control_candidate,,False
HCP100524,EV2002,2024-09-02,control_candidate,,False
HCP101675,EV2002,2024-09-02,control_candidate,,False
HCP100173,EV2002,2024-09-02,control_candidate,,False
HCP101334,EV2002,2024-09-02,control_candidate,,False
HCP101821,EV2002,2024-09-02,excluded,insufficient_pre_event_rx_history,False
HCP101457,EV2002,2024-09-02,control_candidate,,False
HCP100428,EV2002,2024-09-02,control_candidate,,False
HCP101349,EV2002,2024-09-02,excluded,insufficient_pre_event_rx_history,False
HCP101055,EV2002,2024-09-02,excluded,insufficient_pre_event_rx_history,False
HCP101906,EV2002,2024-09-02,control_candidate,,False
HCP100815,EV2002,2024-09-02,control_candidate,,False
HCP100674,EV2002,2024-09-02,control_candidate,,False
HCP102486,EV2002,2024-09-02,treatment,,False
HCP102111,EV2002,2024-09-02,control_candidate,,False
HCP101878,EV2002,2024-09-02,control_candidate,,False
HCP101538,EV2002,2024-09-02,control_candidate,,False
HCP101072,EV2002,2024-09-02,control_candidate,,False
HCP100770,EV2002,2024-09-02,control_candidate,,False
HCP100921,EV2002,2024-09-02,control_candidate,,False
HCP100612,EV2002,2024-09-02,control_candidate,,False
HCP101641,EV2002,2024-09-02,control_candidate,,False
HCP100400,EV2002,2024-09-02,control_candidate,,False
HCP102425,EV2002,2024-09-02,control_candidate,,False
HCP101871,EV2002,2024-09-02,control_candidate,,False
HCP100078,EV2002,2024-09-02,control_candidate,,False
HCP101368,EV2002,2024-09-02,control_candidate,,False
HCP100074,EV2003,2024-09-03,treatment,,False
HCP100311,EV2003,2024-09-03,treatment,,False
HCP100504,EV2003,2024-09-03,control_candidate,,False
HCP100370,EV2003,2024-09-03,control_candidate,,False
HCP100313,EV2003,2024-09-03,control_candidate,,False
HCP100614,EV2003,2024-09-03,excluded,insufficient_pre_event_rx_history,False
HCP101300,EV2003,2024-09-03,control_candidate,,False
HCP101949,EV2003,2024-09-03,control_candidate,,False
HCP102217,EV2003,2024-09-03,treatment,,False
HCP101838,EV2003,2024-09-03,control_candidate,,False
HCP101599,EV2003,2024-09-03,excluded,contaminated_overlapping_exposure,True
HCP101933,EV2003,2024-09-03,treatment,,False
HCP100019,EV2003,2024-09-03,treatment,,False
HCP102472,EV2003,2024-09-03,control_candidate,,False
HCP101416,EV2003,2024-09-03,excluded,insufficient_pre_event_rx_history,False
HCP100270,EV2003,2024-09-03,control_candidate,,False
HCP100506,EV2003,2024-09-03,control_candidate,,False
HCP100481,EV2003,2024-09-03,treatment,,False
HCP102025,EV2003,2024-09-03,treatment,,False
HCP102330,EV2003,2024-09-03,excluded,contaminated_overlapping_exposure,True
HCP101155,EV2003,2024-09-03,control_candidate,,False
HCP101653,EV2003,2024-09-03,control_candidate,,False
HCP100791,EV2003,2024-09-03,control_candidate,,False
HCP100714,EV2003,2024-09-03,excluded,insufficient_pre_event_rx_history,False
HCP101835,EV2003,2024-09-03,excluded,insufficient_pre_event_rx_history,False
HCP100234,EV2003,2024-09-03,control_candidate,,False
HCP102351,EV2003,2024-09-03,control_candidate,,False
HCP101249,EV2003,2024-09-03,control_candidate,,False
HCP101807,EV2003,2024-09-03,control_candidate,,False
HCP102405,EV2003,2024-09-03,control_candidate,,False
HCP100926,EV2003,2024-09-03,control_candidate,,False
HCP101841,EV2003,2024-09-03,control_candidate,,False
HCP102366,EV2003,2024-09-03,treatment,,False
HCP101777,EV2003,2024-09-03,treatment,,False
HCP100466,EV2003,2024-09-03,control_candidate,,False
HCP101963,EV2003,2024-09-03,control_candidate,,False
HCP100932,EV2003,2024-09-03,control_candidate,,False
HCP100284,EV2003,2024-09-03,control_candidate,,False
HCP102083,EV2003,2024-09-03,control_candidate,,False
HCP100202,EV2003,2024-09-03,control_candidate,,False
HCP100781,EV2003,2024-09-03,control_candidate,,False
HCP101908,EV2003,2024-09-03,control_candidate,,False
HCP102411,EV2003,2024-09-03,control_candidate,,False
HCP100698,EV2003,2024-09-03,control_candidate,,False
HCP102357,EV2003,2024-09-03,control_candidate,,False
HCP100556,EV2003,2024-09-03,treatment,,False
HCP100289,EV2003,2024-09-03,control_candidate,,False
HCP102110,EV2003,2024-09-03,control_candidate,,False
HCP101049,EV2003,2024-09-03,control_candidate,,False
HCP102048,EV2003,2024-09-03,control_candidate,,False
HCP101392,EV2003,2024-09-03,control_candidate,,False
HCP101705,EV2003,2024-09-03,control_candidate,,False
HCP102326,EV2003,2024-09-03,control_candidate,,False
HCP101454,EV2003,2024-09-03,control_candidate,,False
HCP102158,EV2003,2024-09-03,control_candidate,,False
HCP100154,EV2003,2024-09-03,control_candidate,,False
HCP101874,EV2003,2024-09-03,treatment,,False
HCP100621,EV2003,2024-09-03,control_candidate,,False
HCP101420,EV2003,2024-09-03,control_candidate,,False
HCP101456,EV2003,2024-09-03,control_candidate,,False
HCP101740,EV2003,2024-09-03,control_candidate,,False
HCP101917,EV2003,2024-09-03,treatment,,False
HCP100283,EV2003,2024-09-03,control_candidate,,False
HCP100195,EV2003,2024-09-03,control_candidate,,False
HCP102279,EV2003,2024-09-03,control_candidate,,False
HCP101691,EV2003,2024-09-03,control_candidate,,False
HCP100407,EV2003,2024-09-03,control_candidate,,False
HCP100577,EV2003,2024-09-03,treatment,,False
HCP100889,EV2003,2024-09-03,control_candidate,,False
HCP102171,EV2003,2024-09-03,control_candidate,,False
HCP101911,EV2003,2024-09-03,control_candidate,,False
HCP100915,EV2003,2024-09-03,excluded,contaminated_overlapping_exposure,True
HCP101652,EV2003,2024-09-03,control_candidate,,False
HCP102488,EV2003,2024-09-03,excluded,contaminated_overlapping_exposure,True
HCP100670,EV2003,2024-09-03,control_candidate,,False
HCP100964,EV2003,2024-09-03,control_candidate,,False
HCP100048,EV2003,2024-09-03,control_candidate,,False
HCP100766,EV2003,2024-09-03,treatment,,False
HCP102358,EV2003,2024-09-03,treatment,,False
HCP102141,EV2003,2024-09-03,excluded,insufficient_pre_event_rx_history,False
HCP100787,EV2003,2024-09-03,control_candidate,,False
HCP101747,EV2003,2024-09-03,control_candidate,,False
HCP101794,EV2003,2024-09-03,treatment,,False
HCP102043,EV2003,2024-09-03,treatment,,False
HCP100233,EV2003,2024-09-03,control_candidate,,False
HCP101216,EV2003,2024-09-03,control_candidate,,False
HCP100680,EV2003,2024-09-03,control_candidate,,False
HCP102499,EV2003,2024-09-03,control_candidate,,False
HCP101497,EV2003,2024-09-03,control_candidate,,False
HCP100544,EV2003,2024-09-03,control_candidate,,False
HCP102186,EV2003,2024-09-03,excluded,contaminated_overlapping_exposure,True
HCP100261,EV2003,2024-09-03,control_candidate,,False
HCP100905,EV2003,2024-09-03,control_candidate,,False
HCP102244,EV2003,2024-09-03,control_candidate,,False
HCP100611,EV2003,2024-09-03,treatment,,False
HCP101536,EV2003,2024-09-03,control_candidate,,False
HCP101268,EV2003,2024-09-03,treatment,,False
HCP101031,EV2003,2024-09-03,control_candidate,,False
HCP101068,EV2003,2024-09-03,treatment,,False
HCP101321,EV2003,2024-09-03,control_candidate,,False
HCP101267,EV2003,2024-09-03,control_candidate,,False
HCP100859,EV2003,2024-09-03,treatment,,False
HCP102166,EV2003,2024-09-03,control_candidate,,False
HCP101876,EV2003,2024-09-03,treatment,,False
HCP102031,EV2003,2024-09-03,control_candidate,,False
HCP100880,EV2003,2024-09-03,treatment,,False
HCP100164,EV2003,2024-09-03,excluded,contaminated_overlapping_exposure,True
HCP101201,EV2003,2024-09-03,excluded,insufficient_pre_event_rx_history,False
HCP100397,EV2004,2024-09-05,control_candidate,,False
HCP100975,EV2004,2024-09-05,control_candidate,,False
HCP101318,EV2004,2024-09-05,control_candidate,,False
HCP100620,EV2004,2024-09-05,control_candidate,,False
HCP101052,EV2004,2024-09-05,excluded,insufficient_pre_event_rx_history,False
HCP101093,EV2004,2024-09-05,control_candidate,,False
HCP100846,EV2004,2024-09-05,control_candidate,,False
HCP100934,EV2004,2024-09-05,treatment,,False
HCP101048,EV2004,2024-09-05,control_candidate,,False
HCP101271,EV2004,2024-09-05,control_candidate,,False
HCP100586,EV2004,2024-09-05,control_candidate,,False
HCP100321,EV2004,2024-09-05,control_candidate,,False
HCP101606,EV2004,2024-09-05,treatment,,False
HCP101087,EV2004,2024-09-05,control_candidate,,False
HCP102457,EV2004,2024-09-05,control_candidate,,False
HCP101015,EV2004,2024-09-05,control_candidate,,False
HCP102202,EV2004,2024-09-05,control_candidate,,False
HCP100393,EV2004,2024-09-05,control_candidate,,False
HCP101982,EV2004,2024-09-05,control_candidate,,False
HCP102332,EV2004,2024-09-05,control_candidate,,False
HCP100776,EV2004,2024-09-05,control_candidate,,False
HCP100354,EV2004,2024-09-05,control_candidate,,False
HCP101046,EV2004,2024-09-05,control_candidate,,False
HCP100847,EV2004,2024-09-05,control_candidate,,False
HCP101925,EV2004,2024-09-05,control_candidate,,False
HCP102381,EV2004,2024-09-05,treatment,,False
HCP102126,EV2004,2024-09-05,excluded,insufficient_pre_event_rx_history,False
HCP101644,EV2004,2024-09-05,control_candidate,,False
HCP101709,EV2004,2024-09-05,treatment,,False
HCP101089,EV2004,2024-09-05,control_candidate,,False
HCP100420,EV2004,2024-09-05,control_candidate,,False
HCP101507,EV2004,2024-09-05,control_candidate,,False
HCP102213,EV2004,2024-09-05,control_candidate,,False
HCP102355,EV2004,2024-09-05,excluded,contaminated_overlapping_exposure,True
HCP100699,EV2004,2024-09-05,control_candidate,,False
HCP102466,EV2004,2024-09-05,control_candidate,,False
HCP102429,EV2004,2024-09-05,control_candidate,,False
HCP100433,EV2004,2024-09-05,treatment,,False
HCP102386,EV2004,2024-09-05,control_candidate,,False
HCP102239,EV2004,2024-09-05,control_candidate,,False
HCP100589,EV2004,2024-09-05,control_candidate,,False
HCP100520,EV2004,2024-09-05,control_candidate,,False
HCP101790,EV2004,2024-09-05,control_candidate,,False
HCP100970,EV2004,2024-09-05,control_candidate,,False
HCP100462,EV2005,2024-09-07,control_candidate,,False
HCP101519,EV2005,2024-09-07,control_candidate,,False
HCP100311,EV2005,2024-09-07,control_candidate,,False
HCP102194,EV2005,2024-09-07,treatment,,False
HCP102271,EV2005,2024-09-07,control_candidate,,False
HCP100968,EV2005,2024-09-07,treatment,,False
HCP100313,EV2005,2024-09-07,treatment,,False
HCP101300,EV2005,2024-09-07,control_candidate,,False
HCP101949,EV2005,2024-09-07,control_candidate,,False
HCP101838,EV2005,2024-09-07,control_candidate,,False
HCP101599,EV2005,2024-09-07,excluded,contaminated_overlapping_exposure,True
HCP100679,EV2005,2024-09-07,control_candidate,,False
HCP100178,EV2005,2024-09-07,treatment,,False
HCP101276,EV2005,2024-09-07,control_candidate,,False
HCP100966,EV2005,2024-09-07,control_candidate,,False
HCP101204,EV2005,2024-09-07,control_candidate,,False
HCP102452,EV2005,2024-09-07,control_candidate,,False
HCP101089,EV2005,2024-09-07,control_candidate,,False
HCP102241,EV2005,2024-09-07,control_candidate,,False
HCP101001,EV2005,2024-09-07,treatment,,False
HCP101114,EV2005,2024-09-07,control_candidate,,False
HCP100537,EV2005,2024-09-07,control_candidate,,False
HCP101155,EV2005,2024-09-07,control_candidate,,False
HCP102376,EV2005,2024-09-07,control_candidate,,False
HCP101697,EV2005,2024-09-07,control_candidate,,False
HCP100724,EV2005,2024-09-07,excluded,insufficient_pre_event_rx_history,False
HCP101325,EV2005,2024-09-07,control_candidate,,False
HCP101185,EV2005,2024-09-07,treatment,,False
HCP102317,EV2005,2024-09-07,excluded,insufficient_pre_event_rx_history,False
HCP101975,EV2005,2024-09-07,control_candidate,,False
HCP101249,EV2005,2024-09-07,control_candidate,,False
HCP101466,EV2005,2024-09-07,control_candidate,,False
HCP101807,EV2005,2024-09-07,treatment,,False
HCP102476,EV2005,2024-09-07,treatment,,False
HCP101019,EV2005,2024-09-07,control_candidate,,False
HCP100969,EV2005,2024-09-07,control_candidate,,False
HCP100573,EV2005,2024-09-07,excluded,insufficient_pre_event_rx_history,False
HCP101430,EV2005,2024-09-07,excluded,contaminated_overlapping_exposure,True
HCP101135,EV2005,2024-09-07,control_candidate,,False
HCP100623,EV2005,2024-09-07,control_candidate,,False
HCP102016,EV2005,2024-09-07,control_candidate,,False
HCP101927,EV2005,2024-09-07,control_candidate,,False
HCP101484,EV2005,2024-09-07,control_candidate,,False
HCP102481,EV2005,2024-09-07,treatment,,False
HCP102411,EV2005,2024-09-07,excluded,contaminated_overlapping_exposure,True
HCP100211,EV2005,2024-09-07,treatment,,False
HCP100076,EV2005,2024-09-07,control_candidate,,False
