master_hcp_id_treated,event_id,master_hcp_id_control,propensity_score_treated,propensity_score_control,match_weight
HCP101585,EV2002,HCP101074,0.594237,0.639569,0.5
HCP101585,EV2002,HCP101519,0.594237,0.601359,0.5
HCP100225,EV2002,HCP100078,0.467051,0.480767,0.5
HCP100225,EV2002,HCP102084,0.467051,0.488964,0.5
HCP101426,EV2002,HCP100436,0.534883,0.503235,0.5
HCP101426,EV2002,HCP101906,0.534883,0.488208,0.5
HCP101565,EV2002,HCP100270,0.271398,0.295933,0.5
HCP101565,EV2002,HCP100889,0.271398,0.297644,0.5
HCP101440,EV2002,HCP101305,0.462061,0.481846,0.5
HCP101440,EV2002,HCP100770,0.462061,0.487036,0.5
HCP100010,EV2002,HCP100612,0.3946,0.423272,0.5
HCP100010,EV2002,HCP101355,0.3946,0.358416,0.5
HCP101812,EV2002,HCP101212,0.539133,0.548683,0.5
HCP101812,EV2002,HCP100927,0.539133,0.496906,0.5
HCP101032,EV2002,HCP101641,0.506891,0.504766,0.5
HCP101032,EV2002,HCP101086,0.506891,0.475202,0.5
HCP102486,EV2002,HCP100391,0.605189,0.571874,0.5
HCP102486,EV2002,HCP101368,0.605189,0.58813,0.5
HCP100074,EV2003,HCP100905,0.454702,0.445967,0.5
HCP100074,EV2003,HCP102499,0.454702,0.469596,0.5
HCP100311,EV2003,HCP102110,0.550558,0.523301,0.5
HCP100311,EV2003,HCP101321,0.550558,0.551306,0.5
HCP102217,EV2003,HCP101652,0.312936,0.355784,0.5
HCP102217,EV2003,HCP100202,0.312936,0.312246,0.5
HCP101933,EV2003,HCP100621,0.524486,0.542204,0.5
HCP101933,EV2003,HCP102405,0.524486,0.475459,0.5
HCP100019,EV2003,HCP101705,0.224434,0.200384,0.5
HCP100019,EV2003,HCP101911,0.224434,0.200771,0.5
HCP100481,EV2003,HCP101949,0.416513,0.433938,0.5
HCP100481,EV2003,HCP101653,0.416513,0.438257,0.5
HCP102025,EV2003,HCP102031,0.252554,0.228046,0.5
HCP102025,EV2003,HCP101747,0.252554,0.277288,0.5
HCP102366,EV2003,HCP100154,0.600707,0.585329,0.5
HCP102366,EV2003,HCP102083,0.600707,0.555063,0.5
HCP101777,EV2003,HCP102472,0.357947,0.341512,0.5
HCP101777,EV2003,HCP100270,0.357947,0.315127,0.5
HCP100556,EV2003,HCP101963,0.452922,0.446064,0.5
HCP100556,EV2003,HCP100670,0.452922,0.458584,0.5
HCP101874,EV2003,HCP100313,0.504927,0.463696,0.5
HCP101874,EV2003,HCP101841,0.504927,0.469994,0.5
HCP101917,EV2003,HCP102048,0.602445,0.595006,0.5
HCP101917,EV2003,HCP101249,0.602445,0.630682,0.5
HCP100577,EV2003,HCP100926,0.439543,0.413378,0.5
HCP100577,EV2003,HCP101838,0.439543,0.414378,0.5
HCP100766,EV2003,HCP100932,0.163217,0.167797,0.5
HCP100766,EV2003,HCP100233,0.163217,0.206012,0.5
HCP102358,EV2003,HCP101300,0.603765,0.605897,0.5
HCP102358,EV2003,HCP102411,0.603765,0.587802,0.5
HCP101794,EV2003,HCP100284,0.367425,0.408026,0.5
HCP101794,EV2003,HCP100261,0.367425,0.389866,0.5
HCP102043,EV2003,HCP100407,0.591748,0.578141,0.5
HCP102043,EV2003,HCP102326,0.591748,0.598101,0.5
HCP100611,EV2003,HCP100289,0.567548,0.578753,0.5
HCP100611,EV2003,HCP100964,0.567548,0.52979,0.5
HCP101268,EV2003,HCP101807,0.571516,0.615372,0.5
HCP101268,EV2003,HCP101908,0.571516,0.555694,0.5
HCP101068,EV2003,HCP102279,0.37203,0.339776,0.5
HCP101068,EV2003,HCP100466,0.37203,0.368547,0.5
HCP100859,EV2003,HCP100791,0.451861,0.408001,0.5
HCP100859,EV2003,HCP101392,0.451861,0.498932,0.5
HCP101876,EV2003,HCP101740,0.349972,0.376514,0.5
HCP101876,EV2003,HCP102357,0.349972,0.397763,0.5
HCP100880,EV2003,HCP101536,0.361846,0.368759,0.5
HCP100880,EV2003,HCP100781,0.361846,0.38496,0.5
HCP100934,EV2004,HCP100586,0.519966,0.563435,0.5
HCP100934,EV2004,HCP100354,0.519966,0.470371,0.5
HCP101606,EV2004,HCP101048,0.582669,0.631812,0.5
HCP101606,EV2004,HCP100975,0.582669,0.5997,0.5
HCP102381,EV2004,HCP101925,0.540569,0.556306,0.5
HCP102381,EV2004,HCP101318,0.540569,0.561104,0.5
HCP101709,EV2004,HCP100620,0.677854,0.677639,0.5
HCP101709,EV2004,HCP101644,0.677854,0.65282,0.5
HCP100433,EV2004,HCP100393,0.589418,0.5557,0.5
HCP100433,EV2004,HCP101087,0.589418,0.54397,0.5
HCP102194,EV2005,HCP102192,0.498945,0.505311,0.5
HCP102194,EV2005,HCP101019,0.498945,0.470491,0.5
HCP100968,EV2005,HCP100679,0.561514,0.606041,0.5
HCP100968,EV2005,HCP102241,0.561514,0.546822,0.5
HCP100313,EV2005,HCP101469,0.463696,0.510734,0.5
HCP100313,EV2005,HCP101264,0.463696,0.453179,0.5
HCP100178,EV2005,HCP102376,0.458278,0.470122,0.5
HCP100178,EV2005,HCP101829,0.458278,0.49873,0.5
HCP101001,EV2005,HCP101838,0.441711,0.414378,0.5
HCP101001,EV2005,HCP100048,0.441711,0.419237,0.5
HCP101185,EV2005,HCP102158,0.50986,0.545909,0.5
HCP101185,EV2005,HCP102433,0.50986,0.506378,0.5
HCP101807,EV2005,HCP100530,0.615372,0.602158,0.5
HCP101807,EV2005,HCP101267,0.615372,0.619818,0.5
HCP102476,EV2005,HCP101466,0.308287,0.299132,0.5
HCP102476,EV2005,HCP100623,0.308287,0.293654,0.5
HCP102481,EV2005,HCP102222,0.443634,0.470049,0.5
HCP102481,EV2005,HCP100537,0.443634,0.466368,0.5
HCP100211,EV2005,HCP102357,0.401639,0.397763,0.5
HCP100211,EV2005,HCP102452,0.401639,0.416035,0.5
HCP102110,EV2005,HCP100311,0.523301,0.541125,0.5
HCP102110,EV2005,HCP101238,0.523301,0.568426,0.5
HCP102048,EV2005,HCP101249,0.595006,0.630682,0.5
HCP102048,EV2005,HCP100803,0.595006,0.620712,0.5
HCP101692,EV2005,HCP101135,0.412649,0.444286,0.5
HCP101692,EV2005,HCP100328,0.412649,0.429177,0.5
HCP100992,EV2005,HCP100551,0.424179,0.431237,0.5
HCP100992,EV2005,HCP101484,0.424179,0.411073,0.5
HCP101420,EV2005,HCP102374,0.514724,0.467584,0.5
HCP101420,EV2005,HCP102385,0.514724,0.502479,0.5
HCP101464,EV2005,HCP101114,0.565142,0.53297,0.5
HCP101464,EV2005,HCP100160,0.565142,0.563145,0.5
HCP101581,EV2005,HCP100076,0.600781,0.552846,0.5
HCP101581,EV2005,HCP101395,0.600781,0.560811,0.5
HCP102456,EV2005,HCP101049,0.495942,0.49117,0.5
HCP102456,EV2005,HCP102259,0.495942,0.486156,0.5
HCP101532,EV2005,HCP100605,0.40661,0.392822,0.5
HCP101532,EV2005,HCP100415,0.40661,0.425382,0.5
HCP101887,EV2005,HCP100488,0.562319,0.582026,0.5
HCP101887,EV2005,HCP101300,0.562319,0.605897,0.5
HCP101768,EV2005,HCP100900,0.495231,0.483739,0.5
HCP101768,EV2005,HCP100969,0.495231,0.46734,0.5
HCP100574,EV2005,HCP101583,0.504434,0.497345,0.5
HCP100574,EV2005,HCP100939,0.504434,0.504366,0.5
HCP101321,EV2005,HCP100407,0.551306,0.578141,0.5
HCP101321,EV2005,HCP101697,0.551306,0.563288,0.5
HCP102176,EV2005,HCP101204,0.622452,0.614054,0.5
HCP102176,EV2005,HCP101975,0.622452,0.616149,0.5
HCP100986,EV2005,HCP101090,0.350209,0.348515,0.5
HCP100986,EV2005,HCP102016,0.350209,0.326177,0.5
HCP100032,EV2006,HCP101102,0.647073,0.655926,0.5
HCP100032,EV2006,HCP100252,0.647073,0.649443,0.5
HCP100664,EV2006,HCP102175,0.515314,0.481533,0.5
HCP100664,EV2006,HCP100393,0.515314,0.47933,0.5
HCP100196,EV2006,HCP100730,0.614924,0.592855,0.5
HCP100196,EV2006,HCP101124,0.614924,0.569238,0.5
HCP101271,EV2006,HCP101296,0.535148,0.581585,0.5
HCP101271,EV2006,HCP100593,0.535148,0.583577,0.5
HCP101586,EV2006,HCP100852,0.556747,0.514167,0.5
HCP101586,EV2006,HCP100534,0.556747,0.564145,0.5
HCP101605,EV2006,HCP102179,0.611392,0.58806,0.5
HCP101605,EV2006,HCP102304,0.611392,0.653184,0.5
HCP100566,EV2006,HCP101568,0.572287,0.53981,0.5
HCP100566,EV2006,HCP101394,0.572287,0.540162,0.5
HCP100002,EV2006,HCP100963,0.489474,0.453238,0.5
HCP100002,EV2006,HCP100922,0.489474,0.444121,0.5
HCP102224,EV2006,HCP100126,0.683039,0.675531,0.5
HCP102224,EV2006,HCP100135,0.683039,0.659733,0.5
HCP101356,EV2006,HCP101339,0.200081,0.192956,0.5
HCP101356,EV2006,HCP101513,0.200081,0.230344,0.5
HCP102443,EV2006,HCP100293,0.53614,0.511018,0.5
HCP102443,EV2006,HCP101901,0.53614,0.489029,0.5
HCP101986,EV2006,HCP100095,0.45477,0.450233,0.5
HCP101986,EV2006,HCP101894,0.45477,0.42897,0.5
HCP100848,EV2006,HCP100420,0.677775,0.630844,0.5
HCP100848,EV2006,HCP101053,0.677775,0.7124,0.5
HCP102052,EV2007,HCP102288,0.17105,0.203349,0.5
HCP102052,EV2007,HCP100711,0.17105,0.2104,0.5
HCP100014,EV2007,HCP100905,0.481561,0.465801,0.5
HCP100014,EV2007,HCP101248,0.481561,0.449262,0.5
HCP100820,EV2007,HCP102068,0.320476,0.304652,0.5
HCP100820,EV2007,HCP101074,0.320476,0.345626,0.5
HCP100679,EV2007,HCP100586,0.503391,0.473073,0.5
HCP100679,EV2007,HCP100370,0.503391,0.545421,0.5
HCP102359,EV2007,HCP100755,0.492445,0.470744,0.5
HCP102359,EV2007,HCP102287,0.492445,0.503146,0.5
HCP100998,EV2007,HCP102360,0.412599,0.371915,0.5
HCP100998,EV2007,HCP100421,0.412599,0.36833,0.5
HCP101766,EV2007,HCP101196,0.322095,0.273965,0.5
HCP101766,EV2007,HCP101066,0.322095,0.282727,0.5
HCP102339,EV2007,HCP101051,0.489842,0.526981,0.5
HCP102339,EV2007,HCP101081,0.489842,0.476383,0.5
HCP102398,EV2007,HCP100964,0.568004,0.5269,0.5
HCP102398,EV2007,HCP101668,0.568004,0.540877,0.5
HCP102083,EV2007,HCP102472,0.422897,0.399981,0.5
HCP102083,EV2007,HCP102158,0.422897,0.447898,0.5
HCP101486,EV2007,HCP100974,0.589181,0.610234,0.5
HCP101486,EV2007,HCP100876,0.589181,0.552379,0.5
HCP100415,EV2007,HCP100650,0.339862,0.366827,0.5
HCP100415,EV2007,HCP101325,0.339862,0.294801,0.5
HCP101820,EV2007,HCP100718,0.58393,0.586637,0.5
HCP101820,EV2007,HCP100530,0.58393,0.612044,0.5
HCP100620,EV2007,HCP101739,0.79453,0.748278,1.0
HCP100824,EV2007,HCP101577,0.573847,0.582977,0.5
HCP100824,EV2007,HCP100407,0.573847,0.615403,0.5
HCP102143,EV2007,HCP100776,0.431593,0.43108,0.5
HCP102143,EV2007,HCP102416,0.431593,0.40615,0.5
HCP101745,EV2008,HCP101066,0.204305,0.210327,0.5
HCP101745,EV2008,HCP101410,0.204305,0.185383,0.5
HCP101739,EV2008,HCP101740,0.3795,0.376514,0.5
HCP101739,EV2008,HCP100793,0.3795,0.369524,0.5
HCP100407,EV2008,HCP102048,0.578141,0.610042,0.5
HCP100407,EV2008,HCP101114,0.578141,0.53297,0.5
HCP100703,EV2008,HCP101074,0.475021,0.441418,0.5
HCP100703,EV2008,HCP101428,0.475021,0.430943,0.5
HCP101089,EV2009,HCP101604,0.664621,0.675767,0.5
HCP101089,EV2009,HCP102492,0.664621,0.698407,0.5
HCP102284,EV2009,HCP101149,0.500875,0.477878,0.5
HCP102284,EV2009,HCP100266,0.500875,0.542509,0.5
HCP101071,EV2009,HCP101389,0.688952,0.652136,0.5
HCP101071,EV2009,HCP100606,0.688952,0.676688,0.5
HCP100114,EV2009,HCP100459,0.509657,0.4706,0.5
HCP100114,EV2009,HCP102401,0.509657,0.477399,0.5
HCP102179,EV2009,HCP100790,0.49934,0.48955,0.5
HCP102179,EV2009,HCP100909,0.49934,0.549072,0.5
HCP101220,EV2009,HCP100199,0.607213,0.57719,0.5
HCP101220,EV2009,HCP101048,0.607213,0.631812,0.5
HCP102466,EV2009,HCP100699,0.463993,0.480149,0.5
HCP102466,EV2009,HCP100817,0.463993,0.429521,0.5
HCP100981,EV2009,HCP101572,0.575998,0.541608,0.5
HCP100981,EV2009,HCP100260,0.575998,0.533113,0.5
HCP100517,EV2009,HCP102457,0.609688,0.620942,0.5
HCP100517,EV2009,HCP100760,0.609688,0.595698,0.5
HCP100354,EV2009,HCP100269,0.470371,0.496669,0.5
HCP100354,EV2009,HCP102385,0.470371,0.465201,0.5
HCP100427,EV2010,HCP102187,0.444214,0.442608,0.5
HCP100427,EV2010,HCP100724,0.444214,0.459377,0.5
HCP100511,EV2010,HCP101212,0.544731,0.548683,0.5
HCP100511,EV2010,HCP101815,0.544731,0.545921,0.5
HCP101504,EV2010,HCP100550,0.561761,0.551006,0.5
HCP101504,EV2010,HCP100842,0.561761,0.539602,0.5
HCP100171,EV2010,HCP100174,0.479326,0.510313,0.5
HCP100171,EV2010,HCP100921,0.479326,0.49605,0.5
HCP100447,EV2010,HCP102382,0.305395,0.341121,0.5
HCP100447,EV2010,HCP101840,0.305395,0.29453,0.5
HCP101460,EV2010,HCP102425,0.569171,0.608741,0.5
HCP101460,EV2010,HCP101743,0.569171,0.599053,0.5
HCP101564,EV2010,HCP101096,0.388618,0.351876,0.5
HCP101564,EV2010,HCP101613,0.388618,0.411459,0.5
HCP101781,EV2010,HCP102084,0.530443,0.488964,0.5
HCP101781,EV2010,HCP100089,0.530443,0.51485,0.5
HCP101171,EV2010,HCP101747,0.577807,0.625752,0.5
HCP101171,EV2010,HCP101368,0.577807,0.58813,0.5
HCP100636,EV2010,HCP100242,0.323754,0.373695,0.5
HCP100636,EV2010,HCP100297,0.323754,0.337085,0.5
HCP101074,EV2010,HCP100351,0.639569,0.659361,0.5
HCP101074,EV2010,HCP101393,0.639569,0.592353,0.5
HCP101538,EV2010,HCP101243,0.515411,0.478018,0.5
HCP101538,EV2010,HCP101086,0.515411,0.475202,0.5
HCP102162,EV2010,HCP101519,0.605315,0.601359,0.5
HCP102162,EV2010,HCP100058,0.605315,0.591949,0.5
HCP101636,EV2011,HCP100929,0.463123,0.495265,0.5
HCP101636,EV2011,HCP101046,0.463123,0.415423,0.5
HCP100321,EV2011,HCP100970,0.379193,0.42269,0.5
HCP100321,EV2011,HCP100524,0.379193,0.36716,0.5
HCP100386,EV2011,HCP100913,0.470566,0.446968,0.5
HCP100386,EV2011,HCP100975,0.470566,0.423051,0.5
HCP102452,EV2011,HCP101579,0.533854,0.554069,0.5
HCP102452,EV2011,HCP100790,0.533854,0.54361,0.5
HCP101577,EV2011,HCP100115,0.672288,0.66078,0.5
HCP101577,EV2011,HCP100914,0.672288,0.654759,0.5
HCP100267,EV2011,HCP100033,0.455194,0.485046,0.5
HCP100267,EV2011,HCP101680,0.455194,0.499012,0.5
HCP101382,EV2011,HCP101140,0.52623,0.518382,0.5
HCP101382,EV2011,HCP100855,0.52623,0.5424,0.5
HCP100462,EV2012,HCP100586,0.624853,0.58116,0.5
HCP100462,EV2012,HCP100252,0.624853,0.61393,0.5
HCP101540,EV2012,HCP101546,0.379697,0.329874,0.5
HCP101540,EV2012,HCP101602,0.379697,0.364381,0.5
HCP101305,EV2012,HCP102125,0.522993,0.500527,0.5
HCP101305,EV2012,HCP102147,0.522993,0.55278,0.5
HCP100209,EV2012,HCP100135,0.551886,0.504367,0.5
HCP100209,EV2012,HCP100943,0.551886,0.560729,0.5
HCP101901,EV2012,HCP102485,0.531097,0.560949,0.5
HCP101901,EV2012,HCP101918,0.531097,0.558832,0.5
HCP101988,EV2012,HCP102292,0.420188,0.398551,0.5
HCP101988,EV2012,HCP101341,0.420188,0.371419,0.5
HCP101466,EV2012,HCP101836,0.444063,0.478955,0.5
HCP101466,EV2012,HCP100953,0.444063,0.419533,0.5
HCP101108,EV2012,HCP102104,0.508191,0.471001,0.5
HCP101108,EV2012,HCP100605,0.508191,0.495788,0.5
HCP101663,EV2012,HCP100865,0.330443,0.314286,0.5
HCP101663,EV2012,HCP102221,0.330443,0.327408,0.5
HCP101472,EV2012,HCP101122,0.389046,0.400841,0.5
HCP101472,EV2012,HCP101008,0.389046,0.389807,0.5
HCP101054,EV2012,HCP100249,0.438325,0.460452,0.5
HCP101054,EV2012,HCP101022,0.438325,0.430841,0.5
HCP101112,EV2012,HCP101669,0.390814,0.417465,1.0
HCP100773,EV2012,HCP100819,0.454764,0.467919,0.5
HCP100773,EV2012,HCP100168,0.454764,0.45398,0.5
HCP100254,EV2012,HCP102031,0.49443,0.527254,0.5
HCP100254,EV2012,HCP101714,0.49443,0.515976,0.5
HCP101408,EV2012,HCP101146,0.421163,0.449658,0.5
HCP101408,EV2012,HCP101959,0.421163,0.452738,0.5
HCP102385,EV2012,HCP100451,0.556893,0.588153,0.5
HCP102385,EV2012,HCP100051,0.556893,0.595415,0.5
HCP101677,EV2012,HCP100342,0.493244,0.495419,0.5
HCP101677,EV2012,HCP101558,0.493244,0.496469,0.5
HCP100102,EV2012,HCP102053,0.562861,0.59068,0.5
HCP100102,EV2012,HCP102304,0.562861,0.601293,0.5
HCP101201,EV2012,HCP102368,0.610082,0.560789,0.5
HCP101201,EV2012,HCP101332,0.610082,0.622787,0.5
HCP102178,EV2012,HCP100444,0.661946,0.630442,0.5
HCP102178,EV2012,HCP101365,0.661946,0.616004,0.5
HCP101022,EV2014,HCP100765,0.454532,0.490496,0.5
HCP101022,EV2014,HCP101589,0.454532,0.479625,0.5
HCP100637,EV2014,HCP101502,0.478031,0.470195,0.5
HCP100637,EV2014,HCP102088,0.478031,0.512283,0.5
HCP100106,EV2014,HCP101044,0.501701,0.467995,0.5
HCP100106,EV2014,HCP101619,0.501701,0.540348,0.5
HCP102492,EV2014,HCP100126,0.631093,0.595656,0.5
HCP102492,EV2014,HCP100656,0.631093,0.672494,0.5
HCP102408,EV2014,HCP100335,0.528693,0.559073,0.5
HCP102408,EV2014,HCP102429,0.528693,0.53256,0.5
HCP101193,EV2014,HCP100606,0.647596,0.62564,0.5
HCP101193,EV2014,HCP101009,0.647596,0.627651,0.5
HCP101041,EV2015,HCP101715,0.247174,0.241004,0.5
HCP101041,EV2015,HCP101325,0.247174,0.294801,0.5
HCP100948,EV2015,HCP101517,0.192658,0.240921,0.5
HCP100948,EV2015,HCP100413,0.192658,0.1892,0.5
HCP100905,EV2015,HCP100173,0.465801,0.492002,0.5
HCP100905,EV2015,HCP101343,0.465801,0.495728,0.5
HCP101541,EV2015,HCP102490,0.346508,0.366408,0.5
HCP101541,EV2015,HCP101176,0.346508,0.334132,0.5
HCP101155,EV2015,HCP101204,0.619484,0.610566,0.5
HCP101155,EV2015,HCP102313,0.619484,0.623405,0.5
HCP100044,EV2015,HCP100771,0.525368,0.559218,0.5
HCP100044,EV2015,HCP100919,0.525368,0.532362,0.5
HCP101204,EV2016,HCP101808,0.610566,0.596676,0.5
HCP101204,EV2016,HCP101430,0.610566,0.590478,0.5
HCP101818,EV2016,HCP101249,0.655313,0.666385,0.5
HCP101818,EV2016,HCP100499,0.655313,0.606104,0.5
HCP101908,EV2016,HCP101218,0.486549,0.474021,0.5
HCP101908,EV2016,HCP101213,0.486549,0.472872,0.5
HCP100289,EV2016,HCP101600,0.567196,0.535217,0.5
HCP100289,EV2016,HCP100789,0.567196,0.605538,0.5
HCP100173,EV2016,HCP102343,0.492002,0.522644,0.5
HCP100173,EV2016,HCP101744,0.492002,0.472091,0.5
HCP101469,EV2016,HCP102405,0.402309,0.431906,0.5
HCP101469,EV2016,HCP101862,0.402309,0.409432,0.5
HCP101267,EV2016,HCP101963,0.502245,0.482441,0.5
HCP101267,EV2016,HCP100529,0.502245,0.515516,0.5
HCP101300,EV2017,HCP102472,0.440103,0.399981,0.5
HCP101300,EV2017,HCP101653,0.440103,0.429336,0.5
HCP101160,EV2017,HCP100951,0.422232,0.384271,0.5
HCP101160,EV2017,HCP100791,0.422232,0.38874,0.5
HCP102393,EV2017,HCP101023,0.461547,0.451254,0.5
HCP102393,EV2017,HCP101985,0.461547,0.439228,0.5
HCP100530,EV2017,HCP100718,0.612044,0.586637,0.5
HCP100530,EV2017,HCP101493,0.612044,0.61306,0.5
HCP100550,EV2018,HCP100842,0.457693,0.454437,0.5
HCP100550,EV2018,HCP101289,0.457693,0.441184,0.5
HCP100153,EV2018,HCP101792,0.479878,0.432968,0.5
HCP100153,EV2018,HCP100829,0.479878,0.439168,0.5
HCP100280,EV2018,HCP100003,0.420696,0.385795,0.5
HCP100280,EV2018,HCP101099,0.420696,0.406284,0.5
HCP102425,EV2018,HCP102353,0.346866,0.385518,0.5
HCP102425,EV2018,HCP100724,0.346866,0.382543,0.5
HCP100752,EV2018,HCP101906,0.579957,0.560711,0.5
HCP100752,EV2018,HCP100360,0.579957,0.619143,0.5
HCP101089,EV2019,HCP100115,0.630174,0.604422,0.5
HCP101089,EV2019,HCP100395,0.630174,0.58042,0.5
