master_hcp_id,event_id,group,avg_nrx_3m,avg_nrx_6m,avg_trx_3m,avg_trx_6m,nrx_trend,competitor_trx_avg,rep_calls_3m,emails_3m,samples_3m,prior_event_count,specialty_topic_match,access_index,seasonality_index,competitor_index,segment,specialty,region
HCP100444,EV2001,treatment,7.3333,7.8333,29.3333,22.1667,-1.4,34.3333,10,11,30,0,1,0.6881,1.0356,1.1606,Medium,Primary Care,Southwest
HCP101277,EV2001,control_candidate,3.3333,2.0,12.0,8.8333,0.8571,3.3333,2,22,3,0,1,0.6679,1.0274,0.9667,Low,Cardiology,West
HCP100209,EV2001,control_candidate,19.6667,23.8333,71.0,72.3333,-0.5429,82.3333,20,12,45,0,1,0.6881,1.0356,1.1606,High,Endocrinology,Southwest
HCP100064,EV2001,control_candidate,5.0,5.2,14.3333,15.0,-1.0,32.4,13,12,34,0,1,0.6881,1.0356,1.1606,Medium,Cardiology,Southwest
HCP100760,EV2001,control_candidate,3.0,6.1667,5.6667,8.6667,-1.8,9.1667,7,18,5,0,1,0.8256,1.0282,1.4798,Medium,Cardiology,Midwest
HCP100353,EV2001,control_candidate,4.6667,5.3333,9.6667,11.3333,-1.2571,27.8333,4,17,7,0,1,0.7982,1.0537,0.984,Low,Endocrinology,Southeast
HCP102336,EV2001,control_candidate,17.0,12.3333,27.0,23.3333,2.6857,28.5,14,16,32,0,1,0.7982,1.0537,0.984,High,Primary Care,Southeast
HCP102009,EV2001,treatment,5.6667,5.3333,13.3333,13.1667,0.1714,8.6667,14,14,10,0,1,0.6679,1.0274,0.9667,Medium,Primary Care,West
HCP101169,EV2001,control_candidate,6.0,9.0,23.0,34.0,-2.0,66.6667,11,18,35,0,1,0.8256,1.0282,1.4798,Medium,Endocrinology,Midwest
HCP101618,EV2001,treatment,19.6667,16.6667,56.6667,47.3333,2.1714,99.1667,9,16,13,0,1,0.7982,1.0537,0.984,Medium,Primary Care,Southeast
HCP101639,EV2001,treatment,16.0,13.1667,40.3333,35.8333,0.8286,12.6667,20,3,28,0,1,0.7799,1.0456,1.1713,High,Primary Care,Mountain
HCP100152,EV2001,treatment,16.6667,18.8333,65.3333,57.0,1.2286,69.6667,13,12,17,0,1,0.8256,1.0282,1.4798,High,Primary Care,Midwest
HCP102239,EV2001,control_candidate,51.6667,50.1667,96.3333,91.6667,-0.2571,65.8333,39,23,118,0,1,0.7799,1.0456,1.1713,High,Cardiology,Mountain
HCP102280,EV2001,control_candidate,11.0,16.5,37.3333,41.1667,-2.7143,114.3333,16,30,54,0,1,0.6881,1.0356,1.1606,Medium,Endocrinology,Southwest
HCP101187,EV2001,control_candidate,7.0,5.3333,15.0,11.1667,0.5143,13.8333,10,18,14,0,1,0.7982,1.0537,0.984,Medium,Primary Care,Southeast
HCP100907,EV2001,control_candidate,14.0,12.6667,33.3333,27.0,-0.5143,14.8333,6,14,6,0,1,0.6321,1.0402,1.1539,Medium,Endocrinology,Northeast
HCP100601,EV2001,control_candidate,19.6667,16.6667,29.6667,33.3333,0.4571,42.5,19,23,31,0,1,0.7982,1.0537,0.984,High,Cardiology,Southeast
HCP100640,EV2001,treatment,3.6667,3.4,10.3333,13.2,0.2,28.4,26,13,85,0,1,0.6321,1.0402,1.1539,High,Cardiology,Northeast
HCP100710,EV2001,control_candidate,7.0,14.0,29.6667,35.3333,-3.5429,103.5,10,11,10,0,1,0.8256,1.0282,1.4798,Medium,Endocrinology,Midwest
HCP100664,EV2001,control_candidate,1.0,2.8333,4.0,6.5,-1.0571,9.8333,8,11,22,0,1,0.8256,1.0282,1.4798,Medium,Cardiology,Midwest
HCP101664,EV2001,control_candidate,10.6667,7.1667,16.6667,15.5,2.4857,15.8333,6,13,2,0,1,0.6679,1.0274,0.9667,Medium,Primary Care,West
HCP102140,EV2001,control_candidate,2.6667,6.4,7.0,10.8,-2.4,8.2,6,21,7,0,1,0.6679,1.0274,0.9667,Medium,Endocrinology,West
HCP101835,EV2001,control_candidate,4.3333,4.6667,8.6667,8.5,-0.2857,35.0,1,7,0,0,1,0.8256,1.0282,1.4798,Low,Endocrinology,Midwest
HCP100412,EV2001,treatment,10.6667,10.3333,22.3333,20.3333,0.4,19.5,16,27,27,0,1,0.6881,1.0356,1.1606,High,Endocrinology,Southwest
HCP100389,EV2001,control_candidate,7.0,6.4,17.0,16.8,0.2,30.8,13,21,36,0,1,0.6881,1.0356,1.1606,Medium,Cardiology,Southwest
HCP102424,EV2001,control_candidate,23.6667,20.1667,59.6667,66.3333,-0.4857,88.1667,10,16,10,0,1,0.6321,1.0402,1.1539,High,Primary Care,Northeast
HCP101591,EV2001,treatment,7.3333,9.0,18.0,15.5,-1.1429,40.0,12,16,9,0,1,0.7982,1.0537,0.984,Medium,Endocrinology,Southeast
HCP100810,EV2001,treatment,8.3333,6.8,32.0,29.2,1.5,67.8,29,9,64,0,1,0.6321,1.0402,1.1539,High,Primary Care,Northeast
HCP101271,EV2001,control_candidate,15.6667,11.6667,33.6667,28.8333,2.8,25.0,16,19,16,0,1,0.8256,1.0282,1.4798,High,Cardiology,Midwest
HCP101844,EV2001,treatment,15.3333,15.8333,38.0,38.5,-1.0,73.8333,39,12,42,0,1,0.8256,1.0282,1.4798,High,Primary Care,Midwest
HCP100126,EV2001,control_candidate,6.6667,6.3333,18.3333,18.3333,-0.0571,64.6667,18,15,46,0,1,0.6321,1.0402,1.1539,High,Cardiology,Northeast
HCP100914,EV2001,control_candidate,18.3333,25.1667,50.3333,57.8333,-5.0,148.6667,14,14,46,0,1,0.6321,1.0402,1.1539,High,Endocrinology,Northeast
HCP101867,EV2001,control_candidate,15.6667,15.0,33.6667,29.3333,1.2,78.5,8,17,5,0,1,0.7982,1.0537,0.984,High,Endocrinology,Southeast
HCP100657,EV2001,treatment,17.0,17.5,23.0,26.8333,-0.3143,39.8333,9,12,23,0,1,0.6321,1.0402,1.1539,High,Primary Care,Northeast
HCP101823,EV2001,treatment,2.3333,3.0,10.3333,10.4,-0.4,8.6,0,11,0,0,1,0.7982,1.0537,0.984,Low,Primary Care,Southeast
HCP102285,EV2001,control_candidate,7.0,7.5,14.0,13.3333,1.1714,10.5,18,16,22,0,1,0.6321,1.0402,1.1539,High,Endocrinology,Northeast
HCP100363,EV2001,control_candidate,27.3333,21.6667,42.3333,37.1667,2.1143,25.6667,14,17,32,0,1,0.6679,1.0274,0.9667,High,Primary Care,West
HCP101010,EV2001,control_candidate,19.3333,12.3333,35.0,26.3333,2.1714,52.0,8,13,8,0,1,0.6321,1.0402,1.1539,Medium,Primary Care,Northeast
HCP101718,EV2001,treatment,14.3333,11.1667,24.3333,21.0,3.5143,68.8333,10,11,32,0,1,0.6321,1.0402,1.1539,Medium,Primary Care,Northeast
HCP100342,EV2001,control_candidate,6.0,6.0,20.0,21.8333,0.0571,60.5,16,11,43,0,1,0.6321,1.0402,1.1539,Medium,Cardiology,Northeast
HCP102443,EV2001,control_candidate,8.6667,7.8333,16.3333,14.6667,-0.2,23.3333,9,11,26,0,1,0.7982,1.0537,0.984,Medium,Primary Care,Southeast
HCP102403,EV2001,control_candidate,6.0,9.1667,11.0,17.1667,-1.9143,17.8333,24,11,54,0,1,0.8256,1.0282,1.4798,High,Endocrinology,Midwest
HCP101181,EV2001,control_candidate,5.0,4.5,8.6667,7.8333,0.2,7.0,2,14,5,0,1,0.7982,1.0537,0.984,Low,Endocrinology,Southeast
HCP100756,EV2001,control_candidate,26.3333,33.3333,76.3333,78.1667,-3.5429,154.3333,23,17,52,0,1,0.7982,1.0537,0.984,High,Primary Care,Southeast
HCP102104,EV2001,control_candidate,3.6667,12.0,7.6667,18.3333,-2.6857,15.1667,10,21,18,0,1,0.7982,1.0537,0.984,High,Primary Care,Southeast
HCP100269,EV2001,control_candidate,10.6667,11.0,18.0,19.1667,-0.6857,24.5,14,27,45,0,1,0.6321,1.0402,1.1539,High,Cardiology,Northeast
HCP101939,EV2001,control_candidate,22.3333,31.0,54.3333,58.3333,-4.2286,64.1667,38,16,50,0,1,0.8256,1.0282,1.4798,High,Primary Care,Midwest
HCP102398,EV2001,control_candidate,6.3333,7.6667,24.0,24.6667,-0.1714,48.5,19,17,27,0,1,0.7799,1.0456,1.1713,Medium,Primary Care,Mountain
HCP100121,EV2001,control_candidate,27.3333,29.8,44.6667,57.6,-1.2,128.0,24,11,40,0,0,0.6679,1.0274,0.9667,High,Dermatology,West
HCP102011,EV2001,control_candidate,7.6667,6.8333,14.0,12.1667,0.5429,13.8333,17,18,48,0,1,0.7799,1.0456,1.1713,High,Cardiology,Mountain
HCP101419,EV2001,treatment,25.6667,24.0,49.3333,41.5,1.4857,58.0,14,19,15,0,1,0.7982,1.0537,0.984,High,Endocrinology,Southeast
HCP100559,EV2001,treatment,19.0,25.8333,61.0,71.8333,-3.3429,52.6667,19,14,50,0,1,0.8256,1.0282,1.4798,High,Endocrinology,Midwest
HCP102109,EV2001,control_candidate,3.3333,3.1667,7.6667,7.3333,0.1429,10.8333,7,14,4,0,1,0.7982,1.0537,0.984,Low,Primary Care,Southeast
HCP100375,EV2001,control_candidate,0.6667,0.5,0.6667,1.1667,0.0286,4.1667,2,14,4,0,0,0.6321,1.0402,1.1539,Low,Oncology,Northeast
HCP100961,EV2001,treatment,10.3333,7.2,21.3333,18.2,3.3,15.6,28,21,71,0,1,0.8256,1.0282,1.4798,High,Primary Care,Midwest
HCP100671,EV2001,control_candidate,21.3333,19.5,45.0,42.8333,0.8286,30.0,10,15,6,0,1,0.6321,1.0402,1.1539,High,Endocrinology,Northeast
HCP100848,EV2001,control_candidate,13.6667,23.8333,47.0,60.5,-5.7429,179.3333,20,10,34,0,1,0.6881,1.0356,1.1606,High,Endocrinology,Southwest
HCP100588,EV2001,control_candidate,9.6667,6.6667,11.3333,9.1667,1.2571,6.8333,7,15,10,0,1,0.8256,1.0282,1.4798,Low,Endocrinology,Midwest
HCP100180,EV2001,control_candidate,5.6667,4.3333,10.3333,9.8333,0.6286,21.1667,4,8,8,0,1,0.7982,1.0537,0.984,Medium,Endocrinology,Southeast
HCP100087,EV2001,control_candidate,15.6667,25.8333,49.0,61.8333,-4.4857,102.5,13,18,45,0,1,0.6679,1.0274,0.9667,High,Primary Care,West
HCP100639,EV2001,treatment,24.0,39.8333,71.3333,93.8333,-7.6857,107.6667,70,10,223,0,1,0.6321,1.0402,1.1539,High,Cardiology,Northeast
HCP102268,EV2001,control_candidate,1.6667,1.8333,3.6667,3.5,-0.2,7.3333,0,12,0,0,1,0.6321,1.0402,1.1539,Low,Primary Care,Northeast
HCP100284,EV2001,control_candidate,36.0,34.8333,83.3333,91.3333,2.3143,240.8333,27,9,68,0,1,0.6679,1.0274,0.9667,High,Endocrinology,West
HCP100850,EV2001,treatment,17.6667,14.25,29.6667,27.0,-1.1,39.0,7,16,6,0,1,0.7982,1.0537,0.984,Medium,Endocrinology,Southeast
HCP102156,EV2001,control_candidate,5.3333,4.1667,7.6667,7.5,0.4286,3.1667,2,9,6,0,1,0.6679,1.0274,0.9667,Low,Cardiology,West
HCP101894,EV2001,control_candidate,7.6667,6.6667,14.0,15.6667,0.6286,54.3333,4,18,7,0,1,0.8256,1.0282,1.4798,Medium,Primary Care,Midwest
HCP102273,EV2001,treatment,6.6667,5.0,9.6667,7.6667,0.5143,10.8333,5,15,17,0,1,0.6679,1.0274,0.9667,Low,Endocrinology,West
HCP101995,EV2001,control_candidate,4.6667,4.8333,10.0,10.1667,-0.7714,6.8333,2,20,3,0,1,0.6881,1.0356,1.1606,Low,Primary Care,Southwest
HCP100817,EV2001,control_candidate,25.0,21.1667,41.0,37.5,2.3143,20.3333,13,12,23,0,1,0.6679,1.0274,0.9667,High,Endocrinology,West
HCP102389,EV2001,treatment,18.6667,17.8333,29.0,29.1667,-1.0,60.8333,54,13,118,0,1,0.8256,1.0282,1.4798,High,Primary Care,Midwest
HCP101146,EV2001,control_candidate,6.3333,6.1667,28.6667,31.0,-0.3143,69.0,10,11,8,0,1,0.7982,1.0537,0.984,Medium,Endocrinology,Southeast
HCP101322,EV2001,treatment,3.6667,2.8333,10.3333,7.5,0.4857,14.8333,1,14,1,0,1,0.6679,1.0274,0.9667,Low,Endocrinology,West
HCP102253,EV2001,control_candidate,13.6667,17.6,26.3333,32.4,-3.9,86.0,20,9,32,0,1,0.6321,1.0402,1.1539,High,Endocrinology,Northeast
HCP101392,EV2001,control_candidate,40.3333,33.2,83.3333,79.0,5.8,38.6,45,19,132,0,1,0.8256,1.0282,1.4798,High,Primary Care,Midwest
HCP100802,EV2001,control_candidate,8.6667,6.4,17.3333,14.4,0.9,14.0,7,16,12,0,1,0.8256,1.0282,1.4798,Medium,Cardiology,Midwest
HCP101583,EV2001,control_candidate,13.3333,10.2,29.6667,24.2,1.2,64.0,12,17,32,0,1,0.7799,1.0456,1.1713,Medium,Primary Care,Mountain
HCP102328,EV2001,treatment,5.3333,4.0,11.3333,8.3333,0.4571,5.6667,0,13,0,0,1,0.8256,1.0282,1.4798,Low,Endocrinology,Midwest
HCP101102,EV2001,control_candidate,11.6667,20.3333,40.6667,46.0,-5.8857,103.5,14,8,29,0,1,0.7982,1.0537,0.984,High,Endocrinology,Southeast
HCP102341,EV2001,treatment,8.6667,8.0,14.0,15.8333,0.4571,13.8333,9,8,17,0,1,0.6321,1.0402,1.1539,High,Primary Care,Northeast
HCP102375,EV2001,control_candidate,31.3333,25.0,50.0,44.1667,3.0286,23.8333,28,10,63,0,1,0.8256,1.0282,1.4798,High,Cardiology,Midwest
HCP100222,EV2001,control_candidate,17.3333,13.4,27.0,23.0,1.6,32.2,20,18,41,0,1,0.6321,1.0402,1.1539,High,Cardiology,Northeast
HCP100358,EV2001,control_candidate,2.6667,1.8333,4.6667,3.6667,0.4857,14.3333,2,8,1,0,1,0.6321,1.0402,1.1539,Low,Cardiology,Northeast
HCP100382,EV2001,control_candidate,3.6667,3.0,5.0,4.4,0.7,3.8,4,7,9,0,1,0.8256,1.0282,1.4798,High,Endocrinology,Midwest
HCP101454,EV2001,control_candidate,6.6667,7.0,16.0,14.1667,0.6857,57.5,27,14,75,0,0,0.6881,1.0356,1.1606,High,Neurology,Southwest
HCP101619,EV2001,control_candidate,1.3333,1.5,3.3333,3.1667,-0.1429,14.0,2,11,4,0,1,0.7016,1.0471,1.0173,Low,Cardiology,Pacific Northwest
HCP100503,EV2001,treatment,17.0,14.8333,35.3333,44.1667,0.4286,67.3333,18,13,38,0,1,0.7982,1.0537,0.984,High,Primary Care,Southeast
HCP101287,EV2001,treatment,21.6667,14.0,30.3333,22.1667,4.6857,69.3333,16,16,46,0,1,0.6321,1.0402,1.1539,Medium,Endocrinology,Northeast
HCP101879,EV2001,treatment,14.0,12.0,19.6667,21.3333,1.5429,55.5,7,15,11,0,1,0.8256,1.0282,1.4798,Medium,Cardiology,Midwest
HCP101603,EV2001,treatment,2.3333,3.8333,12.3333,14.1667,-0.6571,21.3333,26,10,15,0,1,0.8256,1.0282,1.4798,High,Endocrinology,Midwest
HCP102422,EV2001,treatment,8.3333,11.6667,47.3333,41.1667,-0.6857,71.5,11,11,13,0,1,0.6679,1.0274,0.9667,Medium,Endocrinology,West
HCP101692,EV2001,control_candidate,16.3333,15.5,35.6667,34.5,-0.6,25.6667,18,8,15,0,1,0.6679,1.0274,0.9667,High,Primary Care,West
HCP100788,EV2001,control_candidate,2.0,5.1667,9.3333,14.1667,-1.7429,21.0,4,13,12,0,1,0.7982,1.0537,0.984,Low,Endocrinology,Southeast
HCP101462,EV2001,control_candidate,6.0,7.0,12.6667,15.5,-0.6286,18.5,24,12,27,0,0,0.6321,1.0402,1.1539,High,Neurology,Northeast
HCP101421,EV2001,control_candidate,1.6667,1.1667,3.6667,2.6667,-0.0286,3.1667,3,9,2,0,1,0.6321,1.0402,1.1539,Medium,Endocrinology,Northeast
HCP101032,EV2001,control_candidate,3.3333,5.0,12.3333,12.1667,-1.8857,49.6667,13,24,38,0,0,0.6321,1.0402,1.1539,Medium,Oncology,Northeast
HCP101017,EV2001,treatment,9.6667,7.1667,27.3333,24.8333,1.2286,21.0,21,9,27,0,1,0.8256,1.0282,1.4798,High,Cardiology,Midwest
HCP102430,EV2001,control_candidate,8.0,7.6667,21.3333,21.1667,0.8571,18.5,8,18,10,0,1,0.8256,1.0282,1.4798,Medium,Endocrinology,Midwest
HCP102374,EV2001,control_candidate,24.3333,21.5,91.0,92.8333,0.6571,30.0,24,15,67,0,1,0.6679,1.0274,0.9667,High,Primary Care,West
HCP102468,EV2001,treatment,3.0,5.6667,6.3333,10.3333,-1.7714,9.3333,3,14,5,0,1,0.7982,1.0537,0.984,Low,Endocrinology,Southeast
HCP102355,EV2001,control_candidate,19.3333,19.8333,68.6667,58.3333,-1.0,29.5,27,14,86,0,1,0.6679,1.0274,0.9667,High,Cardiology,West
HCP102466,EV2001,control_candidate,66.6667,66.1667,122.0,120.3333,4.2,68.8333,54,18,135,0,1,0.7982,1.0537,0.984,High,Cardiology,Southeast
HCP101624,EV2001,treatment,12.0,19.0,31.0,34.8,-7.5,37.0,31,19,44,0,0,0.8256,1.0282,1.4798,High,Dermatology,Midwest
HCP100497,EV2001,treatment,16.6667,13.6667,36.6667,34.0,2.0,151.8333,5,11,5,0,1,0.7016,1.0471,1.0173,High,Endocrinology,Pacific Northwest
HCP100405,EV2001,control_candidate,3.0,2.8333,6.6667,9.8333,0.3143,12.3333,8,25,22,0,1,0.6321,1.0402,1.1539,Medium,Cardiology,Northeast
HCP102209,EV2001,control_candidate,3.6667,5.6667,16.0,17.6667,-0.4,85.5,7,10,10,0,1,0.6321,1.0402,1.1539,Medium,Endocrinology,Northeast
HCP101193,EV2001,control_candidate,16.0,15.6667,33.0,31.5,0.8,29.6667,35,20,87,0,1,0.6881,1.0356,1.1606,High,Cardiology,Southwest
HCP101090,EV2001,control_candidate,8.0,8.0,19.6667,18.6,0.6,13.8,4,20,8,0,1,0.6881,1.0356,1.1606,Low,Primary Care,Southwest
HCP101627,EV2001,control_candidate,33.0,36.0,64.6667,65.3333,0.6857,70.3333,17,10,13,0,1,0.6679,1.0274,0.9667,High,Primary Care,West
HCP102397,EV2001,control_candidate,35.0,27.6667,80.6667,64.8333,4.0,71.8333,20,6,32,0,1,0.6321,1.0402,1.1539,High,Endocrinology,Northeast
HCP100406,EV2001,control_candidate,5.0,4.6667,15.0,12.5,-0.4571,6.8333,2,14,3,0,1,0.6321,1.0402,1.1539,Medium,Endocrinology,Northeast
HCP100337,EV2001,treatment,11.0,10.2,35.0,29.4,-1.0,26.8,4,14,4,0,1,0.7982,1.0537,0.984,Medium,Cardiology,Southeast
HCP100999,EV2001,control_candidate,18.6667,27.2,42.3333,54.4,-4.0,53.2,24,15,45,0,1,0.6321,1.0402,1.1539,High,Cardiology,Northeast
HCP102448,EV2001,treatment,10.0,11.6667,37.0,44.6667,-2.5714,43.1667,38,17,120,0,1,0.6321,1.0402,1.1539,High,Primary Care,Northeast
HCP100075,EV2001,control_candidate,10.3333,21.6667,29.6667,41.5,-7.4286,86.0,9,10,5,0,1,0.8256,1.0282,1.4798,Medium,Endocrinology,Midwest
HCP101137,EV2001,treatment,26.6667,27.3333,45.6667,45.6667,-0.6286,100.1667,11,11,28,0,1,0.7982,1.0537,0.984,High,Endocrinology,Southeast
HCP101266,EV2001,control_candidate,8.0,5.8333,13.3333,15.0,1.1714,23.5,2,13,3,0,1,0.7016,1.0471,1.0173,Medium,Endocrinology,Pacific Northwest
HCP101022,EV2001,control_candidate,5.3333,4.8333,27.0,23.8333,0.7714,78.3333,9,22,11,0,1,0.6321,1.0402,1.1539,Medium,Primary Care,Northeast
HCP102004,EV2001,control_candidate,1.6667,3.1667,5.0,8.8333,-0.7714,39.5,1,10,2,0,1,0.6321,1.0402,1.1539,Low,Endocrinology,Northeast
HCP101730,EV2001,treatment,17.0,13.8333,47.0,46.3333,2.2571,106.0,6,11,18,0,1,0.7982,1.0537,0.984,Medium,Endocrinology,Southeast
HCP100785,EV2001,control_candidate,5.0,5.1667,7.0,7.0,-0.3143,17.3333,0,12,0,0,1,0.8256,1.0282,1.4798,Medium,Primary Care,Midwest
HCP100594,EV2001,treatment,1.3333,1.6667,3.6667,4.3333,0.0571,2.6667,3,13,3,0,1,0.7799,1.0456,1.1713,Low,Primary Care,Mountain
HCP101836,EV2001,control_candidate,7.6667,7.0,14.3333,12.1667,0.2857,20.8333,4,9,10,0,1,0.8256,1.0282,1.4798,Low,Endocrinology,Midwest
HCP100943,EV2001,control_candidate,28.0,20.1667,67.0,53.0,1.8571,69.1667,34,7,90,0,1,0.6881,1.0356,1.1606,High,Primary Care,Southwest
HCP101690,EV2001,treatment,13.6667,15.3333,36.6667,33.3333,-0.0,44.5,18,17,13,0,0,0.6321,1.0402,1.1539,High,Dermatology,Northeast
HCP102155,EV2001,control_candidate,8.0,13.5,13.0,22.5,-4.6,66.8333,5,27,16,0,1,0.7982,1.0537,0.984,Medium,Primary Care,Southeast
HCP101408,EV2001,control_candidate,2.3333,6.8333,9.6667,16.3333,-2.4857,22.3333,4,11,3,0,1,0.6321,1.0402,1.1539,Medium,Endocrinology,Northeast
HCP102121,EV2001,control_candidate,2.3333,3.6,5.3333,7.4,-0.4,11.6,0,18,0,0,1,0.7982,1.0537,0.984,Low,Endocrinology,Southeast
HCP100252,EV2001,control_candidate,13.6667,11.1667,26.3333,22.5,0.1429,12.3333,19,20,21,0,1,0.6321,1.0402,1.1539,High,Primary Care,Northeast
HCP100564,EV2001,control_candidate,19.3333,13.1667,25.3333,19.5,1.6286,31.8333,11,10,19,0,1,0.6881,1.0356,1.1606,Medium,Endocrinology,Southwest
HCP102248,EV2001,treatment,33.3333,26.6667,45.0,50.1667,5.2571,59.8333,43,25,66,0,1,0.6321,1.0402,1.1539,High,Cardiology,Northeast
HCP102433,EV2001,control_candidate,25.3333,24.8333,43.3333,43.1667,0.6,22.0,9,13,20,0,1,0.8256,1.0282,1.4798,High,Primary Care,Midwest
HCP101527,EV2001,treatment,4.0,7.3333,11.6667,15.0,-1.8286,28.1667,11,15,23,0,1,0.6881,1.0356,1.1606,Medium,Cardiology,Southwest
HCP102202,EV2001,control_candidate,8.0,9.8333,20.6667,22.6667,-0.3143,30.3333,28,12,56,0,1,0.6679,1.0274,0.9667,High,Cardiology,West
HCP100847,EV2001,control_candidate,5.6667,8.1667,25.0,20.1667,-1.7429,48.3333,12,22,12,0,1,0.6321,1.0402,1.1539,Medium,Endocrinology,Northeast
HCP102329,EV2001,treatment,28.0,35.1667,61.6667,70.1667,-3.8571,77.1667,32,12,79,0,1,0.7982,1.0537,0.984,High,Endocrinology,Southeast
HCP101296,EV2001,control_candidate,26.6667,27.8,65.0,65.4,0.6,120.6,19,11,14,0,1,0.6321,1.0402,1.1539,High,Primary Care,Northeast
HCP100824,EV2001,treatment,15.3333,16.8,33.0,37.6,-1.5,24.8,20,19,55,0,1,0.8256,1.0282,1.4798,High,Primary Care,Midwest
HCP101525,EV2001,control_candidate,4.0,3.8333,8.6667,9.8333,0.2,19.1667,8,12,9,0,1,0.7016,1.0471,1.0173,Medium,Primary Care,Pacific Northwest
HCP101925,EV2001,control_candidate,9.6667,13.6667,26.0,24.3333,-0.0571,18.6667,6,11,15,0,1,0.8256,1.0282,1.4798,Medium,Cardiology,Midwest
HCP100682,EV2001,control_candidate,1.6667,1.8333,4.3333,6.1667,-0.0857,24.6667,3,11,8,0,1,0.8256,1.0282,1.4798,Medium,Endocrinology,Midwest
