hcp_id,specialty,region,segment,active_flag,reason,source_file,event_id,invited_at,channel,eligible_reason,registered,verified_attended,duration,engagement,month,product,nrx,trx,competitor_trx,date,rep_calls,emails,samples,other_events
HCP101116,Cardiology,Northeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101134,Primary Care,West,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101147,Primary Care,Southeast,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101182,Endocrinology,West,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101188,Endocrinology,Southwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101210,Cardiology,Midwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101226,Cardiology,Southeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101261,Primary Care,Midwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101269,Primary Care,Northeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101273,Endocrinology,Northeast,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101298,Primary Care,Southeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101306,Oncology,Southeast,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101309,Cardiology,Southeast,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101326,Primary Care,Southeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101336,Oncology,West,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101344,Oncology,Southeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101346,Cardiology,Midwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101463,Psychiatry,Midwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101479,Cardiology,Southwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101489,Cardiology,Northeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101503,Neurology,Southwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101510,Neurology,Midwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101511,Primary Care,Midwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101512,Primary Care,Northeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101601,Psychiatry,Southwest,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101616,Primary Care,Northeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101621,Primary Care,West,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101637,Cardiology,Southwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101689,Psychiatry,Mountain,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101695,Neurology,West,Low,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101701,Oncology,Northeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101710,Cardiology,Mountain,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101723,Primary Care,Southeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101727,Psychiatry,Midwest,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101734,Primary Care,Southeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101769,Oncology,Southeast,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101780,Oncology,West,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101788,Oncology,Southeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101819,Endocrinology,Midwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101827,Gastroenterology,Southeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101849,Endocrinology,Southwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101873,Primary Care,West,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101893,Cardiology,Southeast,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101900,Cardiology,West,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102029,Endocrinology,Southwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102032,Oncology,Northeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102073,Cardiology,Northeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102120,Neurology,Midwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102207,Cardiology,Southwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102230,Primary Care,West,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102294,Cardiology,Southeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102296,Dermatology,Southwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102315,Psychiatry,Southwest,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102377,Neurology,Northeast,Medium,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102404,Oncology,Midwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102412,Psychiatry,Southeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102415,Oncology,Midwest,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102420,Primary Care,Midwest,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102427,Endocrinology,Mountain,Medium,0.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102459,Oncology,Southwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102461,Cardiology,Northeast,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102464,Endocrinology,Pacific Northwest,Low,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP102491,Primary Care,Northeast,High,1.0,unresolved_identity,hcp_master.csv,,,,,,,,,,,,,,,,,,
HCP101326,,,,,unresolved_identity,event_invitations.csv,EV2001,2024-07-25,Portal,Product affinity,,,,,,,,,,,,,,
HCP101616,,,,,unresolved_identity,event_invitations.csv,EV2001,2024-08-16,Portal,Combination of factors,,,,,,,,,,,,,,
HCP101346,,,,,unresolved_identity,event_invitations.csv,EV2001,2024-08-16,Portal,Product affinity,,,,,,,,,,,,,,
HCP100947,,,,,unresolved_identity,event_invitations.csv,EV2001,2024-08-09,Email,Product affinity,,,,,,,,,,,,,,
HCP100690,,,,,unresolved_identity,event_invitations.csv,EV2001,2024-08-16,Portal,Combination of factors,,,,,,,,,,,,,,
HCP101261,,,,,unresolved_identity,event_invitations.csv,EV2001,2024-08-24,Phone,Product affinity,,,,,,,,,,,,,,
HCP100161,,,,,unresolved_identity,event_invitations.csv,EV2001,2024-07-09,Rep,Product affinity,,,,,,,,,,,,,,
HCP101637,,,,,unresolved_identity,event_invitations.csv,EV2001,2024-08-23,Email,Patient-volume threshold,,,,,,,,,,,,,,
HCP101849,,,,,unresolved_identity,event_invitations.csv,EV2001,2024-08-13,Email,Product affinity,,,,,,,,,,,,,,
HCP100111,,,,,unresolved_identity,event_invitations.csv,EV2001,2024-07-07,Rep,Product affinity,,,,,,,,,,,,,,
HCP100170,,,,,unresolved_identity,event_invitations.csv,EV2001,2024-07-29,Rep,Combination of factors,,,,,,,,,,,,,,
HCP100043,,,,,unresolved_identity,event_invitations.csv,EV2002,2024-08-16,Phone,Combination of factors,,,,,,,,,,,,,,
HCP101780,,,,,unresolved_identity,event_invitations.csv,EV2002,2024-07-31,Email,Specialty match,,,,,,,,,,,,,,
HCP100546,,,,,unresolved_identity,event_invitations.csv,EV2002,2024-08-16,Email,Combination of factors,,,,,,,,,,,,,,
HCP100873,,,,,unresolved_identity,event_invitations.csv,EV2002,2024-08-08,Email,Product affinity,,,,,,,,,,,,,,
HCP100896,,,,,unresolved_identity,event_invitations.csv,EV2003,2024-08-05,Email,Product affinity,,,,,,,,,,,,,,
HCP102120,,,,,unresolved_identity,event_invitations.csv,EV2003,2024-07-22,Rep,Product affinity,,,,,,,,,,,,,,
HCP101503,,,,,unresolved_identity,event_invitations.csv,EV2003,2024-08-26,Phone,Product affinity,,,,,,,,,,,,,,
HCP101637,,,,,unresolved_identity,event_invitations.csv,EV2003,2024-08-02,Email,Patient-volume threshold,,,,,,,,,,,,,,
HCP100818,,,,,unresolved_identity,event_invitations.csv,EV2003,2024-08-07,Email,Product affinity,,,,,,,,,,,,,,
HCP100962,,,,,unresolved_identity,event_invitations.csv,EV2003,2024-08-05,Rep,Combination of factors,,,,,,,,,,,,,,
HCP102294,,,,,unresolved_identity,event_invitations.csv,EV2004,2024-07-28,Rep,Product affinity,,,,,,,,,,,,,,
HCP100026,,,,,unresolved_identity,event_invitations.csv,EV2004,2024-08-26,Phone,Product affinity,,,,,,,,,,,,,,
HCP102491,,,,,unresolved_identity,event_invitations.csv,EV2005,2024-08-12,Email,Patient-volume threshold,,,,,,,,,,,,,,
HCP101503,,,,,unresolved_identity,event_invitations.csv,EV2005,2024-08-15,Rep,Product affinity,,,,,,,,,,,,,,
HCP100220,,,,,unresolved_identity,event_invitations.csv,EV2005,2024-08-15,Email,Specialty match,,,,,,,,,,,,,,
HCP102377,,,,,unresolved_identity,event_invitations.csv,EV2005,2024-08-24,Email,Combination of factors,,,,,,,,,,,,,,
HCP100883,,,,,unresolved_identity,event_invitations.csv,EV2005,2024-08-28,Email,Combination of factors,,,,,,,,,,,,,,
HCP101601,,,,,unresolved_identity,event_invitations.csv,EV2005,2024-08-20,Email,Product affinity,,,,,,,,,,,,,,
HCP100962,,,,,unresolved_identity,event_invitations.csv,EV2006,2024-08-31,Email,Combination of factors,,,,,,,,,,,,,,
HCP100161,,,,,unresolved_identity,event_invitations.csv,EV2006,2024-08-17,Rep,Patient-volume threshold,,,,,,,,,,,,,,
HCP101226,,,,,unresolved_identity,event_invitations.csv,EV2006,2024-08-24,Portal,Product affinity,,,,,,,,,,,,,,
HCP101346,,,,,unresolved_identity,event_invitations.csv,EV2006,2024-08-09,Email,Product affinity,,,,,,,,,,,,,,
HCP100807,,,,,unresolved_identity,event_invitations.csv,EV2007,2024-07-12,Rep,Patient-volume threshold,,,,,,,,,,,,,,
HCP102420,,,,,unresolved_identity,event_invitations.csv,EV2007,2024-08-28,Email,Combination of factors,,,,,,,,,,,,,,
HCP100582,,,,,unresolved_identity,event_invitations.csv,EV2007,2024-08-11,Rep,Patient-volume threshold,,,,,,,,,,,,,,
HCP100161,,,,,unresolved_identity,event_invitations.csv,EV2007,2024-08-01,Rep,Patient-volume threshold,,,,,,,,,,,,,,
HCP100896,,,,,unresolved_identity,event_invitations.csv,EV2007,2024-08-17,Rep,Product affinity,,,,,,,,,,,,,,
HCP101503,,,,,unresolved_identity,event_invitations.csv,EV2007,2024-07-21,Rep,Product affinity,,,,,,,,,,,,,,
HCP101510,,,,,unresolved_identity,event_invitations.csv,EV2008,2024-08-25,Email,Product affinity,,,,,,,,,,,,,,
HCP100962,,,,,unresolved_identity,event_invitations.csv,EV2008,2024-08-10,Email,Combination of factors,,,,,,,,,,,,,,
HCP100994,,,,,unresolved_identity,event_invitations.csv,EV2009,2024-08-23,Phone,Product affinity,,,,,,,,,,,,,,
HCP101067,,,,,unresolved_identity,event_invitations.csv,EV2009,2024-07-19,Rep,Patient-volume threshold,,,,,,,,,,,,,,
HCP100450,,,,,unresolved_identity,event_invitations.csv,EV2009,2024-08-27,Email,Patient-volume threshold,,,,,,,,,,,,,,
HCP101346,,,,,unresolved_identity,event_invitations.csv,EV2009,2024-08-17,Email,Product affinity,,,,,,,,,,,,,,
HCP102073,,,,,unresolved_identity,event_invitations.csv,EV2009,2024-09-02,Email,Product affinity,,,,,,,,,,,,,,
HCP101210,,,,,unresolved_identity,event_invitations.csv,EV2009,2024-08-11,Rep,Combination of factors,,,,,,,,,,,,,,
HCP100554,,,,,unresolved_identity,event_invitations.csv,EV2009,2024-07-26,Rep,Combination of factors,,,,,,,,,,,,,,
HCP101326,,,,,unresolved_identity,event_invitations.csv,EV2009,2024-07-19,Rep,Combination of factors,,,,,,,,,,,,,,
HCP100409,,,,,unresolved_identity,event_invitations.csv,EV2010,2024-08-29,Email,Combination of factors,,,,,,,,,,,,,,
HCP102415,,,,,unresolved_identity,event_invitations.csv,EV2010,2024-08-10,Rep,Product affinity,,,,,,,,,,,,,,
HCP102032,,,,,unresolved_identity,event_invitations.csv,EV2010,2024-08-08,Portal,Specialty match,,,,,,,,,,,,,,
HCP101701,,,,,unresolved_identity,event_invitations.csv,EV2010,2024-08-30,Email,Product affinity,,,,,,,,,,,,,,
HCP102404,,,,,unresolved_identity,event_invitations.csv,EV2010,2024-08-16,Email,Combination of factors,,,,,,,,,,,,,,
HCP100162,,,,,unresolved_identity,event_invitations.csv,EV2010,2024-08-31,Email,Combination of factors,,,,,,,,,,,,,,
HCP102230,,,,,unresolved_identity,event_invitations.csv,EV2011,2024-08-15,Email,Combination of factors,,,,,,,,,,,,,,
HCP101147,,,,,unresolved_identity,event_invitations.csv,EV2011,2024-08-16,Rep,Product affinity,,,,,,,,,,,,,,
HCP100244,,,,,unresolved_identity,event_invitations.csv,EV2011,2024-09-09,Email,Product affinity,,,,,,,,,,,,,,
HCP101346,,,,,unresolved_identity,event_invitations.csv,EV2011,2024-08-16,Email,Product affinity,,,,,,,,,,,,,,
HCP100161,,,,,unresolved_identity,event_invitations.csv,EV2012,2024-08-13,Rep,Product affinity,,,,,,,,,,,,,,
HCP101849,,,,,unresolved_identity,event_invitations.csv,EV2012,2024-09-14,Phone,Product affinity,,,,,,,,,,,,,,
HCP100026,,,,,unresolved_identity,event_invitations.csv,EV2012,2024-09-05,Phone,Combination of factors,,,,,,,,,,,,,,
HCP101067,,,,,unresolved_identity,event_invitations.csv,EV2012,2024-07-25,Rep,Specialty match,,,,,,,,,,,,,,
HCP102491,,,,,unresolved_identity,event_invitations.csv,EV2012,2024-08-21,Email,Combination of factors,,,,,,,,,,,,,,
HCP100554,,,,,unresolved_identity,event_invitations.csv,EV2012,2024-07-28,Rep,Combination of factors,,,,,,,,,,,,,,
HCP100582,,,,,unresolved_identity,event_invitations.csv,EV2012,2024-08-20,Email,Combination of factors,,,,,,,,,,,,,,
HCP100230,,,,,unresolved_identity,event_invitations.csv,EV2012,2024-07-23,Rep,Product affinity,,,,,,,,,,,,,,
HCP102461,,,,,unresolved_identity,event_invitations.csv,EV2014,2024-08-28,Email,Product affinity,,,,,,,,,,,,,,
HCP101503,,,,,unresolved_identity,event_invitations.csv,EV2015,2024-09-14,Email,Product affinity,,,,,,,,,,,,,,
HCP101510,,,,,unresolved_identity,event_invitations.csv,EV2015,2024-09-01,Rep,Product affinity,,,,,,,,,,,,,,
HCP100039,,,,,unresolved_identity,event_invitations.csv,EV2015,2024-09-07,Email,Combination of factors,,,,,,,,,,,,,,
HCP100161,,,,,unresolved_identity,event_invitations.csv,EV2016,2024-09-15,Phone,Patient-volume threshold,,,,,,,,,,,,,,
HCP100881,,,,,unresolved_identity,event_invitations.csv,EV2016,2024-09-16,Portal,Product affinity,,,,,,,,,,,,,,
HCP100994,,,,,unresolved_identity,event_invitations.csv,EV2016,2024-08-13,Rep,Combination of factors,,,,,,,,,,,,,,
HCP102073,,,,,unresolved_identity,event_invitations.csv,EV2016,2024-08-27,Rep,Prior engagement,,,,,,,,,,,,,,
HCP101734,,,,,unresolved_identity,event_invitations.csv,EV2016,2024-08-28,Email,Geographic proximity,,,,,,,,,,,,,,
HCP101510,,,,,unresolved_identity,event_invitations.csv,EV2016,2024-09-12,Phone,Product affinity,,,,,,,,,,,,,,
HCP101510,,,,,unresolved_identity,event_invitations.csv,EV2017,2024-08-22,Rep,Product affinity,,,,,,,,,,,,,,
HCP100807,,,,,unresolved_identity,event_invitations.csv,EV2018,2024-08-17,Rep,Patient-volume threshold,,,,,,,,,,,,,,
HCP100306,,,,,unresolved_identity,event_invitations.csv,EV2018,2024-08-03,Rep,Product affinity,,,,,,,,,,,,,,
HCP100161,,,,,unresolved_identity,event_invitations.csv,EV2019,2024-08-22,Rep,Product affinity,,,,,,,,,,,,,,
HCP100742,,,,,unresolved_identity,event_invitations.csv,EV2019,2024-09-13,Email,Prior engagement,,,,,,,,,,,,,,
HCP102464,,,,,unresolved_identity,event_invitations.csv,EV2019,2024-09-10,Email,Combination of factors,,,,,,,,,,,,,,
HCP100994,,,,,unresolved_identity,event_invitations.csv,EV2019,2024-09-15,Portal,Prior engagement,,,,,,,,,,,,,,
HCP102230,,,,,unresolved_identity,event_invitations.csv,EV2019,2024-09-17,Email,Product affinity,,,,,,,,,,,,,,
HCP100417,,,,,unresolved_identity,event_invitations.csv,EV2019,2024-09-21,Email,Product affinity,,,,,,,,,,,,,,
HCP100026,,,,,unresolved_identity,event_invitations.csv,EV2020,2024-08-29,Rep,Patient-volume threshold,,,,,,,,,,,,,,
HCP100230,,,,,unresolved_identity,event_invitations.csv,EV2020,2024-09-16,Email,Product affinity,,,,,,,,,,,,,,
HCP100883,,,,,unresolved_identity,event_invitations.csv,EV2020,2024-09-01,Email,Combination of factors,,,,,,,,,,,,,,
HCP100161,,,,,unresolved_identity,event_invitations.csv,EV2020,2024-09-01,Email,Product affinity,,,,,,,,,,,,,,
HCP102461,,,,,unresolved_identity,event_invitations.csv,EV2021,2024-09-16,Portal,Product affinity,,,,,,,,,,,,,,
HCP101226,,,,,unresolved_identity,event_invitations.csv,EV2021,2024-09-24,Email,Product affinity,,,,,,,,,,,,,,
HCP100688,,,,,unresolved_identity,event_invitations.csv,EV2021,2024-08-27,Portal,Patient-volume threshold,,,,,,,,,,,,,,
HCP102294,,,,,unresolved_identity,event_invitations.csv,EV2021,2024-09-01,Email,Product affinity,,,,,,,,,,,,,,
HCP101062,,,,,unresolved_identity,event_invitations.csv,EV2021,2024-09-17,Email,Combination of factors,,,,,,,,,,,,,,
HCP101188,,,,,unresolved_identity,event_invitations.csv,EV2021,2024-09-06,Phone,Combination of factors,,,,,,,,,,,,,,
HCP100937,,,,,unresolved_identity,event_invitations.csv,EV2022,2024-09-16,Phone,Specialty match,,,,,,,,,,,,,,
HCP100025,,,,,unresolved_identity,event_invitations.csv,EV2022,2024-09-10,Email,Product affinity,,,,,,,,,,,,,,
HCP101147,,,,,unresolved_identity,event_invitations.csv,EV2023,2024-09-04,Email,Combination of factors,,,,,,,,,,,,,,
HCP102427,,,,,unresolved_identity,event_invitations.csv,EV2023,2024-09-05,Portal,Product affinity,,,,,,,,,,,,,,
HCP102073,,,,,unresolved_identity,event_invitations.csv,EV2023,2024-08-27,Rep,Prior engagement,,,,,,,,,,,,,,
